"Table 1: Overview of ""Calf’s Nipple"" (Be’u bum)",,
Aspect,Details,
Title,The “Calf’s Nipple” (Be’u bum) of Ju Mipam: A Handbook of Tibetan Ritual Magic,
Author,Bryan J. Cuevas,
Source,Oxford Scholarship Online (2009),
Pages,165–186,
Definition,"A Tibetan term for texts containing esoteric Buddhist practices, often linked to nourishment of spiritual life.",
Etymology Debate,"Possibly a corruption of pe bum (""collection of exempla"") or literal ""calf’s nipple"" (symbolizing nourishment).",
Historical Context,Dates to at least the 11th century; associated with secret rituals and oral instructions.,
Key Themes,"Ritual magic, occult lore, spiritual sustenance.",
Table 2: Definitions of Be’u bum in Tibetan Sources,,
Tibetan Term,Definitions,
བེའུ་བུམ (Be’u bum),"1. Pithy volume of oral instructions
2. Calf’s pot
3. Cow’s teat
4. Scripture
5. Spiritual nourisher",
Other Meanings,"- ""That which yields nourishment of life"" (spiritual or physical)
- Linked to scriptures and secret teachings.",
Table 3: Eight Be’u bum Texts from the Blue Annals,,
Text Name (Tibetan),Translation,
1. zab mo dbang gi be'u bum,Initiation of the Hidden,
2. ngo sprod rtsa ba'i be'u bum,Root of Identification,
3. snyan brgyud khrid kyi be'u bum,Exposition of the Oral Tradition,
4. sgo bzhi gnad kyi be'u bum,Four Gates’ Key Points,
5. sna tshogs rdzu 'phrul gyi be'u bum,Various Miracles,
6. zab mo sngags kyi be'u bum,Hidden Mantras,
7. bka' srungs mkha’ 'gro'i be'u bum,Ḍākinī Protecting the Doctrine,
8. man ngag rgyal cha gsum gyi be'u bum,Three Royal Precepts,
Table 4: Four Bases of Miraculous Powers (Rddhipāda),,
Base,Sanskrit/Pali,Description
Intention,Chanda (Skt.),Willpower to achieve spiritual goals.
Diligence,Vīrya (Skt.),Persistent effort in practice.
Attention,Citta (Skt.),Focused mental concentration.
Discernment,Mīmāṃsā (Skt.),Analytical investigation of phenomena.
,,
Purpose: Foundation for attaining supranormal abilities (abhijñā) and enlightenment.,,
,,
Table 5: Five Paths in Buddhism,,
Path,Description,
1. Accumulation,"Gathering merit and wisdom; divided into lesser, intermediate, and greater stages.",
2. Joining (Preparation),Direct preparation for insight into reality.,
3. Seeing,First direct perception of ultimate truth (entry into stream-entry).,
4. Meditation,Deepening insight and eliminating remaining defilements.,
5. No-More-Learning,Full enlightenment (Arhat/Buddhahood).,
Table 6: Thirty-Seven Factors of Enlightenment,,
Group,Components,
1. Four Applications of Mindfulness,"Body, feelings, mind, phenomena",
2. Four Right Efforts,Prevent/abandon negative states; cultivate/preserve positive ones.,
3. Four Bases of Miraculous Powers,"Intention, diligence, attention, discernment",
4. Five Powers,"Faith, diligence, mindfulness, concentration, wisdom",
5. Five Strengths,"Same as the Five Powers, but unshakable.",
6. Seven Factors of Enlightenment,"Mindfulness, discernment, diligence, joy, pliancy, samadhi, equanimity",
7. Noble Eightfold Path,"Right view, intention, speech, action, livelihood, effort, mindfulness, concentration",
Table 7: Siddhis (Supernormal Powers) in Hinduism and Buddhism,,
Tradition,Powers (Siddhis/Abhijñā),
Hinduism (Yoga Sutras),"1. Aṇimā (shrinking)
2. Mahimā (expanding)
3. Laghimā (weightlessness)
4. Garimā (heaviness)
5. Prāpti (omnipresence)
6. Prākāmya (wish-fulfillment)
7. Īśitva (control over elements)
8. Vaśitva (mind control)",
Buddhism (Abhijñā),"1. Iddhi (levitation, etc.)
2. Divine ear (clairaudience)
3. Mind-reading
4. Past-life recall
5. Divine eye (clairvoyance)
6. Extinction of defilements (liberation)",
Table 8: Comparative Concepts of Divine Grace,,
Concept,Tradition,Description
Barakah,Islam (Sufism),Blessing power flowing from God through saints/sacred objects.
Shaktipata,Hinduism (Tantra),Transmission of spiritual energy from guru to disciple.
Karamat,Islam (Sufism),Miracles performed by saints as divine gifts.
Iddhi,Buddhism,Psychic powers attained through meditation.
