Date_Label,Date_Sort,Tradition_System,Sub_Tradition,Entry_Type,Title_Event,Person_Visionary,Location,Source_Text,Description,Key_Motifs,Parallel_Systems,Scholarly_Source,Evidence_Tier,Notes
"c. 2600–1900 BCE",-2600,Kundalini/Subtle Body,Indus Valley,Origin Marker,Proto-Shiva Pashupati Seal – Earliest Yogic Posture Iconography,"Unknown (priest-king or deity figure)",Mohenjo-daro / Harappa (Indus Valley),Pashupati Seal (c. 2600–1900 BCE; National Museum New Delhi),"Seated figure in apparent yogic posture surrounded by animals; possible proto-Shiva deity; horned headdress; earliest iconographic suggestion of meditative or yogic practice in South Asia","Seated posture; horned deity; animals; lotus-like seat; stillness","Hekhalot (divine enthroned figure); OT Visions (Ezekiel enthroned figure above firmament)","Seal: John Marshall excavation report (1931); Flood, 'The Blackwell Companion to Hinduism' (2003) pp. 74–75; McEvilley, 'The Shape of Ancient Thought' (2002)",B,"Proto-Shiva identification is debated; yogic posture reading widely accepted as Tier B; kundalini itself is Tier C here"
"c. 3100 BCE",-3100,Kundalini/Subtle Body,Egyptian Precursor,Origin Marker,Uraeus / Wadjet – Serpent Crown Power as Rising-Energy Symbol,"Wadjet (cobra goddess); pharaonic tradition",Lower Egypt; Buto (Pe),Pyramid Texts c. 2400 BCE; Early Dynastic iconography,"Cobra goddess Wadjet as uraeus on pharaonic crown; serpent power rising from forehead as symbol of divine authority and enlightened sovereignty; structural parallel to kundalini rising to crown discussed in comparative literature","Serpent; crown; royal power; rising energy; divine authority; uraeus","Kundalini (rising serpent / Shakti); Hekhalot (divine crown and throne); OT Visions (seraphim = fiery serpents in Isaiah 6)","Lurker, 'The Gods and Symbols of Ancient Egypt' (1980); Pinch, 'Egyptian Mythology' (2002); Joines, 'Serpent Symbolism in the Old Testament' (1974)",B,"Direct kundalini parallel is Tier C; serpent-as-divine-power is Tier A in Egyptian context; structural parallel only"
"c. 1500–1200 BCE",-1500,Kundalini/Subtle Body,Vedic,Origin Marker,Rigveda – Prana / Inner Fire / Tapas Concepts,"Various rishis (seers); Muni hymn (RV 10.136)",Northern India (Punjab / Sarasvati River region),"Rigveda (c. 1500–1200 BCE); esp. Muni hymn RV 10.136; Agni hymns; Indra-Vritra combat","References to prana (life-force); agni (inner fire); dhī (contemplative insight); munis described as wind-girdled and flying; tapas (inner heat from ascetic practice); proto-kundalini imagery in inner fire ascending","Prana; inner fire; tapas; ascent; wind; breath; sacred heat","Hekhalot (ascent through divine realms); OT Visions (divine spirit/breath as vehicle for vision); Kundalini (prana-nadi-fire as direct precursor)","Flood, 'An Introduction to Hinduism' (1996) ch. 4; Jamison & Brereton, 'The Rigveda' (2014) OUP 3 vols.",B,"Explicit kundalini terminology absent; prana and tapas are recognized precursors (Tier B); Muni hymn is earliest 'shamanic' reference"
"c. 1400–1200 BCE",-1400,Kundalini/Subtle Body,Vedic (Atharvavedic),Origin Marker,Atharvaveda – Early Pranic and Serpentine Magic Practices,"Atharvanic priests; anonymous composers",Northern India,"Atharvaveda (c. 1400–1200 BCE; Shaunaka and Paippalada recensions); Sections on serpent charms (kanda 7) and breath spells","Ritualistic pranic practices; mantra and breath for healing and supernatural power; serpent (ahi) imagery as both danger and protective power; proto-tantric magical framework; earliest explicit serpent-energy-in-body references","Mantra; breath; serpent-energy; magical power; healing; protection","Kundalini (Tantric elaboration of serpent energy); OT Visions (prophetic breath as divine spirit)","Padoux, 'Vāc: The Concept of the Word in Selected Hindu Tantras' (1990); Whitney & Lanman, 'Atharva-Veda Samhita' (1905)",B,"Proto-Tantra elements; kundalini not yet systematized; serpent as body-energy is Tier B inference"
"c. 1800–1500 BCE (trad.)",-1800,OT Vision,Patriarchal Narrative,Vision Episode,Genesis 15 – Abram's Covenant Vision: Deep Sleep and Fire,Abram,Canaan (between the pieces),Genesis 15:1–17,"Abram enters deep sleep (tardemah); terror and darkness; smoking firepot and flaming torch pass between divided animals; YHWH establishes covenant; visionary state with deep sleep / fire / divine voice","Deep sleep (tardemah); fire; divine voice; covenant; darkness; terror","Hekhalot (divine fire in throne approaches); NT Visions (Paul: whether in body or not – 2 Cor 12 bodily ambiguity)","Sommer, 'The Bodies of God and the World of Ancient Israel' (2009); Levenson, 'Sinai and Zion' (1985)",B,"Traditional dating; composition c. 900–500 BCE (Tier A for text; date of tradition Tier B)"
"c. 1800–1500 BCE (trad.)",-1750,OT Vision,Patriarchal Narrative,Vision Episode,Genesis 28:12–22 – Jacob's Ladder / Stairway to Heaven,Jacob,Bethel (Canaan),Genesis 28:12–22,"Jacob dreams of a ladder/stairway (sulam) reaching heaven; angels ascending and descending; YHWH speaks at top; stone anointed as pillar; earliest biblical ascent motif; direct Hekhalot parallel","Stairway/ladder; angels; ascent and descent; divine speech; gate of heaven; stone pillar; anointing","Hekhalot (ascending through heavenly palaces; angels at each station); Kundalini (spine as ladder / sushumna – Tier C structural); NT Visions (John 1:51 angels on Son of Man)","Gruenwald, 'Apocalyptic and Merkavah Mysticism' (1980); Himmelfarb, 'Ascent to Heaven in Jewish and Christian Apocalypses' (1993)",B,"Later Jewish exegesis (midrash) links this to Merkabah; composition c. 900–500 BCE"
"c. 1250 BCE (trad.)",-1250,OT Vision,Mosaic Theophany,Vision Episode,Exodus 3 – Moses and the Burning Bush,Moses,Mount Horeb / Sinai Peninsula,Exodus 3:1–15,"Bush burns but is not consumed; divine voice from within the fire; theophany through fire; Moses' commission as prophet; remove sandals on holy ground; fire as divine medium","Fire; divine voice; sacred ground; commission; theophany; unconsumed burning","Hekhalot (divine fire throughout; purification before sacred space); NT Visions (Acts 9 – Paul's blinding light; Acts 7 Stephen)","Childs, 'The Book of Exodus: A Critical Theological Commentary' (OTL 1974); Propp, 'Exodus 1–18' (Anchor Bible 1999)",A,"Classical theophany; fire as divine medium sets pattern for Ezekiel and Hekhalot"
"c. 1250 BCE (trad.)",-1249,OT Vision,Mosaic Theophany,Vision Episode,Exodus 24:9–11 – Moses and Elders See God; Sapphire Pavement,"Moses; Aaron; Nadab; Abihu; 70 elders",Mount Sinai,Exodus 24:9–11,"Moses and 70 elders ascend Sinai; they see the God of Israel; pavement of sapphire like the body of heaven; they eat and drink in divine presence; foundational precedent for Merkabah/Hekhalot throne mysticism","Ascent; divine throne / feet; sapphire pavement; group vision; eating before God; mountain","Hekhalot (7th palace throne room; sapphire pavement repeatedly appears in Hekhalot texts; eating in divine presence); Merkabah (enthroned figure above)","Halperin, 'The Faces of the Chariot' (1988) pp. 38–63; Sommer, 'The Bodies of God' (2009) ch. 2",A,"Closest OT parallel to Hekhalot throne room; sapphire pavement motif directly cited in Hekhalot Rabbati and related texts"
"c. 800 BCE",-800,OT Vision,Pre-Exilic Prophetic,Vision Episode,Isaiah 6 – Throne Vision: Seraphim; Trishagion; Coal Purification,"Isaiah ben Amoz",Jerusalem Temple,Isaiah 6:1–13,"YHWH enthroned high and exalted; seraphim with six wings each; smoke fills temple; seraph brings live coal and purifies Isaiah's lips; 'Holy Holy Holy' (trishagion); commissioning as prophet; kavod (divine glory) fills the earth","Enthroned deity; seraphim; six wings; smoke; coal purification; divine glory (kavod); trishagion; commissioning","Hekhalot (trishagion appears verbatim in Hekhalot hymns; coal purification before entering divine presence; seraphim as angelic order); Kundalini (fire purification; throat chakra activation – Tier C); NT (Revelation 4: four living creatures saying 'Holy Holy Holy')","Scholem, 'Jewish Gnosticism, Merkabah Mysticism, and Talmudic Tradition' (1960) p. 20–30; Halperin, 'The Faces of the Chariot' (1988) pp. 71–85",A,"Direct antecedent for Hekhalot Rabbati throne room; trishagion is central to Hekhalot liturgy; Kedushah prayer derived here"
"c. 740–700 BCE",-740,OT Vision,Pre-Exilic Prophetic,Vision Episode,1 Kings 22:19 / 2 Chronicles 18:18 – Micaiah's Heavenly Council,Micaiah,Israel / Samaria,"1 Kings 22:19–23; 2 Chronicles 18:18–22","Micaiah sees YHWH seated on throne; all the host of heaven standing beside him; heavenly council deliberates; lying spirit volunteers to deceive Ahab; divine court vision with deliberative council","Heavenly throne; divine council (sod); spirits; heavenly host standing; lying spirit","Hekhalot (heavenly court; angelic host before throne); OT Visions (Job 1–2 divine council; Isaiah 6; Zechariah 3); NT Visions (Revelation throne room with 24 elders)","Day, 'Yahweh and the Gods and Goddesses of Canaan' (2000); Smith, 'The Origins of Biblical Monotheism' (2001)",A,"Divine assembly / sod YHWH motif; background for Hekhalot angelic hierarchies"
"c. 700–600 BCE",-700,OT Vision,Pre-Exilic Prophetic,Vision Episode,2 Kings 2:11 – Elijah's Fiery Chariot Ascent,Elijah,Jordan River crossing (Transjordan),"2 Kings 2:11–12","Elijah taken up in chariot of fire and horses of fire; whirlwind (saar) carries him to heaven; Elisha watches and cries out; first fully explicit heavenly ascent of a living human in Hebrew Bible; prototype for all subsequent ascent traditions","Fiery chariot; horses of fire; whirlwind; bodily ascent; translation without death; mantle left behind","Hekhalot (Merkabah = divine chariot; heavenly ascent as paradigm); OT Visions (Ezekiel chariot 600 BCE); Kundalini (fiery energy ascending – Tier C); NT (Transfiguration: Elijah appears; cf. also John Baptist = Elijah)","Himmelfarb, 'Ascent to Heaven in Jewish and Christian Apocalypses' (1993) pp. 9–28; Kugel, 'The Bible As It Was' (1997)",A,"Primary antecedent for Merkabah mysticism; Elijah-Enoch-Moses triad are the paradigmatic 'ascended humans'"
