Reference/Source,Book,Date (BCE/CE),Visionary/Recipient,Chariot/Wheel Motif,Four Winds,Four Beasts/Living Creatures,Four Wings,Four Angels/Chariot Bearers,Related Merkabah/Hekhalot Themes/Symbolism,
2 Chronicles 18:18,Chronicles,c. -500 to -300,Micaiah,"Vision of the Lord on His throne, heavenly council, lying spirit",,,,,"Divine sovereignty, prophetic authority, heavenly deliberation",
2 Corinthians 12:2–4,2 Corinthians,c. 100,Paul,"Caught up to the third heaven, hears inexpressible things, No explicit chariot",No,No,No,No,"Ascent to Paradise/third heaven, ineffable vision, possible mystical context",
2 Enoch (Slavonic Enoch),,c. 100,Enoch,"Implied (throne vision, ascent)",Not explicit,Angelic hosts,Not explicit,Angelic guides,"Multi-heaven ascent, transformation, pre-3 Enoch",
2 Kings 2:11,Kings,c. -700 to -600,Elijah,"Chariot of fire, horses of fire, whirlwind ascent",Whirlwind (implied wind),No,No,No,Prototype of heavenly ascent; basis for later merkabah mysticism,
Acts 10:9-16,Acts,c. 100,Peter,"Sheet with unclean animals, divine command to eat",,,,,"Inclusion of Gentiles, abrogation of ritual barriers",
Acts 7:55-56,Acts,c. 100,Stephen,Sees Jesus standing at the right hand of God as he is martyred,,,,,"Christ's exaltation, heavenly vindication",
Acts 9:3-6,Acts,c. 100,Saul/Paul,"Blinding light, vision of Jesus, conversion",,,,,"Divine intervention, apostolic calling",
Apocalypse of Abraham,,c. 100 to 200,Abraham,"Implied (angelic ascent, fiery motifs)",Not explicit,Angelic hosts,Not explicit,Angelic mediator (Yahoel),"Ascent, purification, vision of Glory, theosis",
"Daniel 2, 7, 8, 10–12",Daniel,c. -600 to -200,Daniel (and Nebuchadnezzar),"Statue dream, four beasts, ram and goat, angelic revelations, end times",,,,,"Gentile kingdoms, divine judgment, messianic kingdom, apocalyptic imagery",
Daniel 7,Daniel,c. -600 to -200,Daniel,Throne with wheels (Dan 7:9),Four winds stir the sea (Dan 7:2),Four beasts emerge from the sea,Leopard beast has four wings,"Not explicit, but four beasts as cosmic powers",Apocalyptic vision; connects with Ezekiel’s imagery; cosmic judgment,
Exodus 24:9-11,Exodus,c. -1000 to -500,"Moses, Aaron, elders",Vision of God on Mount Sinai; eating and drinking in God's presence,,,,,"Theophany, covenant ratification, divine holiness",
