Name / Title,Traditional Dates,Religion / Order,Region,Historicity Problems
Shiva,Prehistoric–present,Shaivism/Hinduism,South Asia,Composite deity; origins trace to pre-Vedic and tribal cults; no historical person; amalgamation of many local gods6912.
Krishna,Mythic (c. 3200–1200 BCE),Hinduism,South Asia,No historical evidence; earliest texts centuries later; widely regarded as mythic or symbolic.
Vyasa,Mythic/uncertain,Hinduism/Epic tradition,South Asia,Attributed with compiling Vedas and Mahabharata; no independent historical evidence; likely composite.
Buddha (Siddhartha Gautama),c. 5th–4th c. BCE,Buddhism,South Asia,No contemporary records; earliest inscriptions 200+ years later; details from later hagiography.
Mahākāśyapa,c. 5th c. BCE,Early Buddhism,South Asia,Known only from Buddhist tradition; no independent evidence.
Laozi (Lao Tzu),6th–4th c. BCE,Daoism,East Asia,No contemporary evidence; earliest references centuries later; possibly legendary or composite figure.
Zoroaster (Zarathustra),c. 1200–600 BCE,Zoroastrianism,Persia/Iran,No contemporary records; earliest texts undated; traditional chronology varies by centuries.
Orpheus,Mythic/uncertain,Orphism/Hero cult,Greece,Entirely mythological; no evidence for a historical person.
Pythagoras,c. 570–495 BCE,Pythagoreanism/Hero cult,Greece,Earliest sources are decades/centuries later; life story filled with legend and miracle tales.
Apollonius of Tyana,c. 15–100 CE,Neopythagoreanism,Anatolia (Turkey),Main source is Philostratus’s Life (centuries later); abundant miracle stories; some evidence for historicity but details are legendary710.
Jesus of Nazareth,c. 4 BCE–30/33 CE,Christianity,Judea,"No contemporary records; earliest texts decades after death; details debated, but basic historicity widely accepted."
St. Paul (Paul of Tarsus),c. 5–64/65 CE,Christianity,"Asia Minor, Greece","No evidence outside the New Testament; main sources are his letters and Acts, written decades after events; most scholars accept historicity but details are debated12511."
Bodhidharma,5th–6th c. CE,Chan/Zen Buddhism,India/China,No contemporary records; earliest sources centuries later; life layered with legend and contradictory traditions.
Huineng,638–713 CE,Chan Buddhism,China,"Sixth patriarch; biography is hagiographic, with legendary elements and late sources."
Romulus,Mythic/uncertain,Roman hero cult,"Rome, Italy",No evidence for historical person; origin legend for Rome; considered mythological by historians.
Gilgamesh,c. 2700 BCE (legendary),Sumerian hero cult,Mesopotamia,"Epic is mythic; possible historical king, but no direct evidence for described deeds."
Odin,Mythic/uncertain,Norse religion,Scandinavia,Mythological god; no evidence for historical person.
