Timeline of Nonduality Throughout Eurasia,,,,,,
Date,Region,Tradition/Figure,Development,,,
c. 1500 BCE,India,Vedic tradition,"Early nondual concepts in the Rigveda, particularly in the hymns to Varuna and the notion of Rita (cosmic order)",,,
c. 800-600 BCE,India,Early Upanishads,Emergence of Advaita (non-dual) concepts; introduction of Brahman-Atman identity,,,
c. 700-500 BCE,China,Early Daoism,Laozi's teachings on the unity of opposites and the Dao as the non-dual ground of being,,,
c. 600-500 BCE,Greece,Pre-Socratic philosophers,"Parmenides' concept of ""the One"" and denial of plurality; Heraclitus' unity of opposites",,,
c. 563-483 BCE,India,Buddha (Siddhartha Gautama),Early Buddhist concepts challenging duality of self/other; dependent origination,,,
c. 500-400 BCE,China,Zhuangzi,Development of wuwei (non-action) and unity of all things in Daoist philosophy,,,
c. 400-300 BCE,Greece,Plato,Theory of Forms suggesting a unified reality beyond appearances,,,
c. 300-200 BCE,India,Ashtavakra Gita,"Radical nondualism expressed in Hindu text, emphasizing immediate self-realization",,,
c. 200 BCE,India/China,Mahayana Buddhism emerges,Development of Sunyata (emptiness) and non-dual awareness,,,
c. 150-250 CE,India,Nagarjuna,Madhyamaka (Middle Way) philosophy focusing on emptiness and rejection of dualistic extremes,,,
c. 200-500 CE,India,Yogacara Buddhism,"""Mind-only"" (Cittamatra) school emphasizing consciousness as the ground of reality",,,
c. 300-400 CE,Mediterranean,Neoplatonism (Plotinus),"The ""One"" as the ineffable source beyond all duality",,,
c. 500-600 CE,India,Gaudapada,Systematization of Advaita Vedanta through Mandukya Karika,,,
c. 700-750 CE,India,Shankara,Classical formulation of Advaita Vedanta philosophy,,,
c. 700-900 CE,Tibet/China,Dzogchen tradition,"Development of ""Great Perfection"" teaching emphasizing primordial awareness",,,
c. 700-900 CE,China/Japan,Chan/Zen Buddhism,Direct pointing to nondual awareness beyond conceptual thought,,,
c. 900-1200 CE,Persia/Middle East,Sufism,Ibn Arabi and others developing wahdat al-wujud (unity of being),,,
c. 1000-1100 CE,India,Kashmir Shaivism,Abhinavagupta's formulation of non-dual Shaivism,,,
c. 1100-1250 CE,Europe,Christian mysticism,Meister Eckhart's teachings on the Godhead beyond distinction,,,
c. 1400-1600 CE,India,Bhakti movements,Nondual devotional approaches through figures like Kabir and Mirabai,,,
c. 1700-1800 CE,Europe,German Idealism,Schelling and Hegel developing concepts of the Absolute beyond subject-object division,,,
1856-1939 CE,India,Ramakrishna and Vivekananda,Revival and modern interpretation of Advaita Vedanta,,,
1879-1950 CE,India,Ramana Maharshi,Direct path to self-realization and inquiry into the nature of self,,,
1895-1981 CE,India,Nisargadatta Maharaj,"Nondual teachings focused on consciousness and ""I Am""",,,
1900-present,Global,Various traditions,Cross-cultural dialogue and integration of nondualistic traditions,,,
Time Period,School / Sub-School / Sect / Cult,Founder(s) / Key Figure(s),Region,Core Philosophy / Ideas,Key Texts / Scriptures,Classification
600–500 BCE,Sāṃkhya,Kapila,Northern India,"Dualism (Purusha + Prakriti), rational atheism","Sāṃkhya Kārikā, Sāṃkhya Sūtra",Āstika (Orthodox)
600–500 BCE,Jainism,"Mahāvīra, Pārśvanātha",Eastern India,"Anekāntavāda, Ahimsā, Karma, Liberation","Tattvārtha Sūtra, Āgamas",Nāstika
200 BCE–present,Digambara (Jain),"Bhadrabāhu, Kundakunda",South India,"Asceticism, nudity, strict non-possession","Gommatsāra, Samayasāra",Jain (Sect)
200 BCE–present,Śvetāmbara (Jain),"Sthūlabhadra, Haribhadra",West India,"White-clad, less ascetic, image worship","Kalpasūtra, Āgamas",Jain (Sect)
1600 CE–present,Sthānakavāsī (Jain),Lavaji,West India,"Non-idolatrous, reformist Śvetāmbara sect",-,Jain (Subsect)
1760 CE–present,Terāpanthī (Jain),Bhikshu,Rajasthan,"Non-idolatrous, disciplined monastic order",-,Jain (Subsect)
600 BCE,Cārvāka (Lokāyata),Bṛhaspati,Northern India,"Materialism, empiricism, atheism",Bārhaspatya Sūtra (lost),Nāstika
500 BCE,Ājīvika,Makkhali Gosāla,Eastern India,"Fatalism, determinism, asceticism",Lost texts (fragments),Nāstika
500 BCE,Buddhism,Siddhārtha Gautama (Buddha),Northern India,"Four Noble Truths, Nirvāṇa, Anātman","Tripiṭaka, Pāli Canon",Nāstika
400 BCE–present,Theravāda (Buddhism),"Upāli, Moggaliputta Tissa",Sri Lanka/SE Asia,"Conservative, Pāli Canon, Arhat ideal",Pāli Canon (Tipiṭaka),Buddhism (Subsect)
300 BCE–100 CE,Mahāsāṃghika (Buddhism),-,India,"Liberal, Mahāyāna roots, cosmic Buddhas",Mahāsāṃghika Vinaya,Buddhism (Subsect)
200 BCE–400 CE,Sarvāstivāda (Buddhism),Katyāyanīputra,NW India/Central Asia,"All dharmas exist in past, present, future",Abhidharma Mahāvibhāṣā Śāstra,Buddhism (Subsect)
100 BCE–present,Mahāyāna (Buddhism),"Nāgārjuna, Asaṅga, Vasubandhu",India/East Asia,"Emptiness (Śūnyatā), Bodhisattva ideal, Buddha-nature","Prajñāpāramitā Sūtras, Mahāyāna Sūtras",Buddhism (Sect)
150–250 CE,Madhyamaka (Mahāyāna),Nāgārjuna,India,"Emptiness (Śūnyatā), Two Truths doctrine",Mūlamadhyamakakārikā,Mahāyāna (Subschool)
300–400 CE,Yogācāra (Mahāyāna),"Asaṅga, Vasubandhu",India,"Mind-only (Cittamātra), Storehouse consciousness (Ālaya-vijñāna)",Yogācārabhūmi Śāstra,Mahāyāna (Subschool)
600–1000 CE,Vajrayāna (Tantric Buddhism),"Padmasambhava, Śāntarakṣita",India/Tibet,"Tantra, mantra, esoteric practices","Tantras, Tibetan Kangyur",Buddhism (Sect)
600–200 BCE,Vaiśeṣika,Kaṇāda,Northern India,"Atomism, naturalism, metaphysics of substances",Vaiśeṣika Sūtra,Āstika (Orthodox)
600–200 BCE,Nyāya,Gautama (Akṣapāda),Eastern India,"Logic, epistemology, debate, realism",Nyāya Sūtras,Āstika (Orthodox)
1200–1700 CE,Navya-Nyāya (New Logic),Gangeśa Upādhyāya,Bengal,Refined logic and epistemology,Tattva Chintāmaṇi,Nyāya (Subschool)
400–200 BCE,Yoga (Classical),Patañjali,Northern India,"Meditation-based liberation, theistic Sāṃkhya",Yoga Sūtras,Āstika (Orthodox)
900–1700 CE,"Hatha Yoga, Nātha Sampradāya","Matsyendranātha, Gorakṣanātha",North/Central India,"Physical and tantric yoga, body as vehicle for liberation",Haṭha Yoga Pradīpikā,Yoga (Subsect)
300 BCE–100 CE,Pūrva-Mīmāṃsā,Jaimini,Western India,"Ritual exegesis, Vedic authority, anti-mysticism",Mīmāṃsā Sūtras,Āstika (Orthodox)
100 BCE–present,Vedānta / Uttara-Mīmāṃsā,Bādarāyaṇa (Vyāsa),Pan-India,Upanishadic non-dualism/dualism (Brahman-focused),"Brahma Sūtras, Upaniṣads, Bhagavad Gītā",Āstika (Orthodox)
788–820 CE,Advaita Vedānta,Adi Śaṅkara,Southern India,"Non-dualism (Brahman-only), illusionism (Māyā)","Upadeśa Sāhasrī, Viveka Chūḍāmaṇi",Vedānta (Subschool)
1017–1137 CE,Viśiṣṭādvaita Vedānta,Rāmānuja,Southern India,Qualified non-dualism (Brahman + attributes),"Śrī Bhāṣya, Vedārtha Saṅgraha",Vedānta (Subschool)
1238–1317 CE,Dvaita Vedānta,Madhvācārya,Southern India,"Dualism (Brahman ≠ Jīva), Vaishnavism","Anuvyākhyāna, Tattvavāda",Vedānta (Subschool)
1479–1531 CE,Śuddhādvaita Vedānta,Vallabha,Western India,Pure non-dualism (Krishna as Brahman),Tattvārtha Dīpa Nibandha,Vedānta (Subschool)
1486–1534 CE,Acintya Bhedābheda Vedānta,Caitanya Mahāprabhu,Eastern India,Inconceivable dual-non-dual (Krishna devotion),"Caitanya Caritāmṛta, Bhagavata Purāṇa",Vedānta (Subschool)
1000–1600 CE,Bhedābheda Vedānta,"Bhāskara, Nimbārka",Central India,Difference and non-difference (Brahman and world both real),Brahma Sūtra Bhāṣya,Vedānta (Subschool)
1800–present,Akshar-Purushottam Darshan,Swaminarayan,Gujarat,"Brahman as Akshar, Purushottam as supreme (Swaminarayan)",Vachanamrut,Vedānta (Subschool)
100–200 CE,Pāśupata Śaivism,Lakulīśa,Western India,Dualistic theism (Śiva as supreme),Pāśupata Sūtras,Śaiva (Sect)
700–1200 CE,Shaiva Siddhānta,"Meykaṇḍār, Tirumular",Southern India,Dualistic ritual-theism (Śiva’s grace),"Śaiva Āgamas, Meykaṇḍa Śāstras",Śaiva (Sect)
850–900 CE,"Kashmir Shaivism (Trika, Pratyabhijñā)","Vasugupta, Abhinavagupta, Utpaladeva",Kashmir,"Non-dual theism (Śiva-Śakti monism), Recognition (Pratyabhijñā), Spanda","Śiva Sūtras, Tantrāloka, Pratyabhijñā Kārikā",Śaiva (Sect)
1100–1400 CE,Shiva Advaita,Srikantha,South India,Non-dual Shaivism,Srikantha Bhāṣya,Śaiva (Subschool)
1200–1600 CE,Raseśvara,Unknown,Western India,"Tantric Shaivism, mercury as divine substance",Raseśvara Sūtra,Shaiva (Minor)
1100–present,Lingayatism (Vīraśaiva),"Basava, Allama Prabhu",Karnataka,"Monotheistic Shaivism, social equality, anti-caste",Vachanas,Shaiva (Sect)
