"Below is a comprehensive table of the major and minor early Buddhist schools and sects you listed, including year founded (numeric), location, main founders or origin, empire/dynasty context, philosophical distinctions, and core texts. This table is based on the most authoritative modern sources and your supplied list13568.",,,,,,
,,,,,,
School/Sect,Year Founded,Location,Main Founder/Origin,Empire/Royal Line,Philosophical Distinctions,Core Texts/Canonical Works
Sthaviravāda,c. 350 BCE,"Vaishali, India",Sthavira elders,Magadha,"Conservative, strict Vinaya, Arhat ideal","Early Suttas, Vinaya"
Pudgalavāda,c. 280 BCE,"Mathura, India",Vatsīputra,Maurya (Ashoka),"Person' (pudgala) theory, intermediate between self and no-self",Pudgalavāda Abhidharma
Vatsīputrīya,c. 280 BCE,"Mathura, India",Vatsīputra,Maurya (Ashoka),"Personalist, precursor to Saṃmitīya",Vatsīputrīya texts
Saṃmitīya,c. 250 BCE,India,Vatsīputrīya branch,Maurya (Ashoka),"Most prominent Pudgalavāda, 'person' as real",Saṃmitīya Abhidharma
Dharmottarīya,c. 250 BCE,India,Vatsīputrīya branch,Maurya (Ashoka),Subtle Abhidharma distinctions,Dharmottarīya texts
Bhadrayānīya,c. 250 BCE,India,Vatsīputrīya branch,Maurya (Ashoka),Minor doctrinal differences,Bhadrayānīya texts
Sannāgarika,c. 250 BCE,India,Vatsīputrīya branch,Maurya (Ashoka),Monastic discipline emphasis,Sannāgarika texts
Vibhajjavāda,c. 250 BCE,India/South India,Sthavira branch,Maurya (Ashoka),"""Analysts,"" doctrine of analysis, led to Theravāda and others",Vibhajjavāda texts
Theravāda,c. 240 BCE,Sri Lanka,Mahinda (Ashoka's son),"Maurya (Ashoka), Anuradhapura","Surviving Nikāya school, Pali Canon, Arhat ideal","Pali Canon (Tipitaka), Visuddhimagga"
Kāśyapīya,c. 200 BCE,"Kashmir, India",Sthavira branch,"Maurya, Kushan","Eclectic, blended Sthavira and Mahāsāṃghika doctrines",Kāśyapīya texts
Mahīśāsaka,c. 200 BCE,South India,Sthavira branch,Satavahana,"Unique Vinaya, Abhidharma distinctions",Mahīśāsaka texts
Dharmaguptaka,c. 200 BCE,"Gandhara, NW India",Dharmagupta,"Indo-Greek, Kushan","Distinct Vinaya, missionary activity, split Bhikshu/Bhikshuni ordination","Dharmaguptaka Vinaya, Dīrgha Āgama"
Sarvāstivāda,c. 237 BCE,"Kashmir, NW India",Katyayaniputra,"Maurya, Kushan","""All exists"" (past, present, future), Abhidharma realism","Mahāvibhāṣa Śāstra, Sarvāstivāda Vinaya"
Sautrāntika,c. 50 BCE–100 CE,"Gandhara, NW India",Sarvāstivāda branch,Kushan,"Emphasis on sutras over Abhidharma, momentariness",Sautrāntika texts
Mūlasarvāstivāda,3rd–4th c. CE,Mathura/Kashmir,Sarvāstivāda branch,"Kushan, Gupta","Root Sarvāstivāda, Vinaya used in Tibet",Mūlasarvāstivāda Vinaya
