,,,,,,,
,,,,,,,
Title / Motif,Summary / Theme,Source / Reference (with detail),Attributed Year,Publication/Recording,Location,Culture,Language
The Tale of Tsar Saltan,"Three sisters; youngest promises wonders, becomes queen, is betrayed, son becomes hero.","Pushkin, ""The Tale of Tsar Saltan""; ATU 707",c. 1600s,1831.0,Russia,Russian,Russian
Tsar and his Bogatyr Son,"Three sisters; youngest promises hero, betrayal, sea exile, magical reunification.","Russian folktale, ATU 707",c. 1600s,19th c.,Russia,Russian,Russian
The Oak Dorokhvei,"Three sisters, youngest promises miraculous sons, betrayal, sea exile, magical reunion.","Belarusian folktale, ATU 707",c. 1700s,19th c.,Belarus,Belarusian,Belarusian
"Pesynsky, Zhabynsky, Sukhynsky...","Three sisters, youngest promises golden-haired sons, betrayal, magical rescue, reunion.","Ukrainian folktale, ATU 707",c. 1700s,19th c.,Ukraine,Ukrainian,Ukrainian
The Three Sisters and Their Glass Hearts,Three princesses with glass hearts; vulnerability and transformation.,"""The Golden Fairy Book""",c. 1700s,1894.0,Central Europe,Central European,Various
Brides on their Trial (Three Sisters),Three sisters compete in trials to win a husband; youngest succeeds.,"Grimm #155, ""Die drei Schwestern""",c. 1700s,1857.0,Germany,Germanic,German
The Three Sisters (Italian),"Three sisters, youngest succeeds, often marries prince.","Italian folktale, World of Tales",c. 1700s,19th c.,Italy,Italian,Italian
The Death of Koschei the Deathless,"King with three daughters, magical dangers, magical helpers.",Russian folktale,c. 1600s,19th c.,Russia,Russian,Russian
Eglė the Queen of Serpents,"Three sisters, youngest marries serpent king, faces trials, transformation.","Lithuanian folklore, August Schleicher",c. 1500s,1837.0,Lithuania,Baltic,Lithuanian
The Three Golden Hairs,"Hero must obtain three golden hairs, passes three trials, wins princess.","Grimm #29, ATU 300",c. 1600s,1812.0,Slovakia/Germany,Slavic/Germanic,Slovak/German
The Goat and Her Three Kids,"Three siblings, mother warns, wolf devours careless ones, youngest survives.","Ion Creangă, ""Capra cu trei iezi""",c. 1700s,1875.0,Romania,Romanian,Romanian
Ryaba the Chicken,"Simplicity and fortune; golden egg, loss, and acceptance.","Afanasyev, #1",c. 1700s,1855.0,Russia,Russian,Russian
Prince Sobur / The Fan Prince / Prince Sabar,"Youngest of seven sisters expelled, magical fan brings prince, sisters' jealousy, reunion.",Bengal/Indian folktales,c. 1600s,1870s–1890s,India (Bengal),Bengali/Indian,Bengali
Aladdin and the Magic Lamp,"Poor boy acquires magic lamp, becomes wealthy, faces trials, wins princess.","1001 Nights, Galland translation",c. 1500s,1704–1717 (French),Middle East/China,Arabic/Persian,Arabic
Rags to Riches (Hero’s Journey motif),"Humble origins, trials, magical aid, rise to kingship or wealth.",International folktale motif,Ancient,Various,Eurasia,Various,Various
King Arthur (sword in the stone),"Young Arthur pulls sword from stone, proves royal lineage, becomes king.","Geoffrey of Monmouth, ""Historia Regum Britanniae""",c. 1136,1136.0,Britain,Celtic/British,Latin/English
The Legend of the Three Sisters (Iroquois),"Three agricultural sisters (corn, beans, squash) represent unity and interdependence.",Iroquois oral tradition,Pre-1500,19th c. (recorded),North America,Iroquois,Iroquoian
The Prince and the Silver Rabbit,"King with three daughters, magical dangers, prince as helper, rags-to-riches.","Russian folktale, Koschei variant",c. 1600s,19th c.,Russia,Russian,Russian
,,,,,,,
Notes:,,,,,,,
,,,,,,,
"Attributed Year is the estimated period when the story or motif entered oral tradition, not just when it was published.",,,,,,,
,,,,,,,
Location refers to the region of origin or where the tale is most strongly associated.,,,,,,,
,,,,,,,
Culture and Language reflect the primary ethnic group and language of the earliest or most canonical version.,,,,,,,
,,,,,,,
Many of these tales have ancient roots and exist in multiple cultures; the table focuses on the most influential or well-documented variants.,,,,,,,
,,,,,,,
"If you want to expand this further to include additional motifs, regions, or a particular tradition, just let me know!",,,,,,,
,,,,,,,
Answer from Perplexity: pplx.ai/share,,,,,,,
