"Comprehensive Table of Biblical Prophets, Heroes, and Villains",,,,,,
Name,Role,Era (Approx.),Relationship with God,Royal/Caste Status,Key Visions/Predictions,Source Texts (Verses)
Adam,First Man,Creation,"Direct communion, then estranged after Fall",None (created perfect),Prophecy of Messiah (Gen 3:15),Genesis 1-5
Enoch,Prophet,Pre-Flood,"""Walked with God"" (translated)",Non-royal,Prophecy of judgment (Jude 1:14-15),Genesis 5:21-24
Noah,Righteous Preacher,2300 BC?,"Obedient, covenant with God",Non-royal,"Flood prophecy, rainbow covenant",Genesis 6-9
Abraham,Patriarch,~2000 BC,"Covenant, ""Friend of God""",Nomadic chieftain,"Promised land, descendants like stars",Genesis 12-25
Moses,Prophet/Lawgiver,~1446 BC (Exodus),Face-to-face with God (Ex 33:11),"Prince, then leader","Burning Bush, Ten Plagues, Torah",Exodus-Deuteronomy
Deborah,Prophetess/Judge,~1200 BC,Spoke for God,Judge of Israel,Victory over Canaanites (Judges 4-5),Judges 4-5
Samuel,Prophet/Judge,~1100 BC,Called as a child,Priest/Judge,"Anoints Saul & David, warns of kingship",1 Samuel 1-16
David,King/Psalmist,~1000 BC,"""Man after God’s heart""",King of Israel,"Messianic prophecies (Psalms 22, 110)","1/2 Samuel, Psalms"
Elijah,Prophet,~850 BC,"Miracles, confronts Baal",Non-royal,"Drought, fire from heaven, chariot to heaven",1 Kings 17-2 Kings 2
Elisha,Prophet,~800 BC,Double portion of Elijah’s spirit,Non-royal,"Healing Naaman, prophecies for kings",2 Kings 2-13
Isaiah,Major Prophet,~700 BC,Sees God’s throne (Is 6),Possibly royal,"Messianic prophecies (Is 7, 9, 53)",Isaiah
Jeremiah,Weeping Prophet,~600 BC,Reluctant but faithful,Priest,"Fall of Jerusalem, New Covenant (Jer 31)","Jeremiah, Lamentations"
Ezekiel,Prophet,~590 BC (Exile),Visions of glory/chariot,Priest in exile,"Valley of Dry Bones, New Temple",Ezekiel
Daniel,Prophet/Statesman,~550 BC,Interpreter of dreams,Royal advisor,"70 Weeks, Four Beasts (Dan 7, 9)",Daniel
Jonah,Reluctant Prophet,~750 BC,Repentance preacher,Non-royal,Nineveh’s destruction (then mercy),Jonah
Herod the Great,Villain (NT),~4 BC,Opposed Messiah,King under Rome,Massacre of infants (Matt 2),Matthew 2
John the Baptist,Final OT Prophet,~30 AD,Prepares way for Christ,Ascetic,"""Repent, Kingdom is near!"" (Matt 3)",Gospels
Jesus Christ,Messiah/Savior,~30 AD,Divine Son,King of Kings,"Resurrection, Second Coming","Gospels, Revelation"
