"Below is a categorized table of notable Jewish parables, organized by Biblical, Talmudic/Midrashic, Medieval, and Apocryphal/Hagiographic sources, including references to apocryphal and hagiographic traditions such as Balaam and Jehosaphat, and the legend of Saint Christopher (the dog-headed saint, as referenced in later Christian hagiography with some Jewish folkloric parallels).",,,,
Parable Title / Legend,Summary / Theme,Source / Book / Tradition,Era (766 BCE=0),Related Parables / Notes
Nathan’s Ewe Lamb,Rich man takes poor man's lamb; rebuke to David,2 Samuel 12:1-416,~270,
Jotham’s Trees,Trees seek a king; only bramble accepts,Judges 9:7-1516,~320,
Vineyard of the Lord,Vineyard yields wild grapes; Israel’s unfaithfulness,Isaiah 5:1-716,~40,
The Watchman,Responsibility for warning others,Ezekiel 33:1-916,~-40,
The Wise Woman of Tekoa,Reconciliation and justice,2 Samuel 14:6-86,~270,
The Plowman,Laziness leads to loss,Proverbs 20:41,~-30,
The Farmer and the Field,Methodical divine action,Isaiah 28:24-286,~40,
Balaam’s Ass,Animal speaks to warn prophet; divine intervention,Numbers 22:21-305,~420,Apocryphal/legendary expansions exist
The Eagle and the Vine,Allegory of exile and restoration,Ezekiel 17:1-106,~-40,
The Lost Princess,King’s daughter taken; quest for restoration,"Midrash Rabbah, Shir HaShirim 5:11",Rabbinic,
The Palace and the King,Recognition of divine presence,"Midrash Rabbah, Bereshit 39:11",Rabbinic,
The Banquet,Preparedness for the unknown,Avot de-Rabbi Natan 31b1,Rabbinic,
The Shipwreck,Individual actions affect the community,Talmud Berakhot 5b1,Rabbinic,
The Four Guests,Different responses to divine gifts,Avot de-Rabbi Natan 28a1,Rabbinic,
The King’s Son and Robbers,Divine protection and rescue,Midrash Tehillim6,Rabbinic,
The Lamp and the Jar,Concealing or revealing wisdom,Midrash (various)6,Rabbinic,
The King and the Slave,Forgiveness and second chances,"Ibn Gabirol, Mivchar HaPeninim16",Medieval,
The Apple Tree,Mixed sources of good and evil,"Bachya ibn Pakuda, Chovot HaLevavot16",Medieval,
The Palace and the Jewel,Spiritual quest and perseverance,"Maimonides, Guide for the Perplexed16",Medieval,
The Fish and the Ocean,Seeking what is already present,"Luzzatto, Mesillat Yesharim1",Medieval,
The Three Servants,Using gifts wisely,"Nachman of Breslov, Stories1",Medieval,
Balaam and Jehosaphat,Balaam’s visions and Jehosaphat’s wisdom; often expanded in apocryphal and haggadic literature,"Numbers 22–24, Apocrypha, Haggadah5","~420, later",Balaam’s Ass (see above)
Barlaam and Josaphat,Buddhist-Jewish-Christian legend of a prince’s spiritual journey,"Medieval hagiography, Apocrypha",Medieval,"Parallels to Job, Prodigal Son"
Saint Christopher (Dog-Headed Saint),"Legendary figure, sometimes depicted as cynocephalus (dog-headed); themes of conversion, service","Christian hagiography, medieval folklore",Medieval,Jewish tales of monstrous races in folklore
