Expanded Timeline of Meditation Development in Ancient Eurasian Traditions,,,,,,
Year,Text/Source,Tradition,Region,Description of Meditation Practices,Key Concepts,Historical Context
c. 3000-2500 BCE,Pyramid Texts,Egyptian,Egypt,Instructions for consciousness transformation after death; visualization practices,"Ka (vital essence), preparation for afterlife, identification with deities",Old Kingdom Egypt; earliest known religious texts
c. 2000-1500 BCE,Coffin Texts and Book of the Dead,Egyptian,Egypt,Contemplative visualization techniques; recitation of transformative spells,"Journey of consciousness, identification with Osiris",Middle Kingdom through New Kingdom Egypt
c. 1700-1100 BCE,Sumerian and Akkadian Incantation Texts,Mesopotamian,Mesopotamia,Ritual consciousness-altering practices; internalized visualization of deities,"Divine presence invocation, breath control, ritual purification",Late Bronze Age Mesopotamia
c. 1500-1200 BCE,Rigveda,Vedic,South Asia,"Early references to contemplative practices using the term ""dhī"" (thought, reflection); mentions of yogic-like practices among ascetics","Mantra recitation, concentration on deities, inner sacrifice",Composed during early Vedic period; oldest extant religious texts of South Asia
c. 1400-1200 BCE,"Gathas (Yasna 28-34, 43-51, 53)",Zoroastrian,Persia (Iran),"Contemplative practices involving ""deep thinking"" (manah) and reflection (dāitya)","Concentration on Asha (Truth/Order), moral discernment, transformation of consciousness",Bronze Age Iran; earliest Zoroastrian compositions attributed to Zarathustra himself
c. 1000 BCE,Oracle Bone Divination Practices,Early Chinese,China,Trance states induced for divination purposes; techniques of focused attention,"Connecting with ancestral spirits, altered states of consciousness",Shang Dynasty; early Chinese religious practices
c. 900-700 BCE,Homer's Odyssey,Greek,Mediterranean,References to incubation practices in temples for prophetic dreams,"Dream incubation, temple sleep, divine insight",Early Archaic Greece; literary descriptions of actual religious practices
c. 800-600 BCE,"Early Upanishads (Brihadaranyaka, Chandogya)",Hindu,South Asia,"First systematic descriptions of meditation as self-inquiry; introduces concept of ""dhyana"" (meditation)","Atman-Brahman, inner knowledge, transcendence of dualities",Period of philosophical revolution in northern India
c. 800-500 BCE,Early Hebrew Prophetic Traditions,Hebrew,Levant,Practices of hitbodedut (self-isolation) and contemplation to receive divine messages,"Devekut (cleaving to God), prophetic consciousness",Pre-Exilic biblical period; prophetic traditions of Israel
c. 700-500 BCE,Tao Te Ching,Daoist,China,"Describes ""emptying the mind"" and ""returning to the root""; quiet sitting practices","Wu-wei (non-action), emptiness, naturalness, returning to the source",Spring and Autumn period in China
c. 700-500 BCE,Orphic and Eleusinian Mystery Texts,Greek Mystery Religions,Greece,Contemplative practices preparing for mystical experiences,"Catharsis (purification), ekstasis (ecstatic states), contemplation of sacred symbols",Archaic Greece; development of mystery religions
c. 600-500 BCE,Shatapatha Brahmana,Vedic,South Asia,Describes ritual internalization and breath control practices,"Prana (life-force), ritual internalization, controlled breathing",Late Vedic period
c. 550-450 BCE,Yasna Liturgy (compiled),Zoroastrian,Persia (Iran),Ritual contemplation practices; focus on sacred fire,"Concentration on Amesha Spentas (divine aspects), mental purification",Achaemenid Empire; systematization of Zoroastrian practices
c. 500 BCE,Early Buddhist texts (Satipatthana Sutta),Buddhist,South Asia,"Detailed instructions on mindfulness meditation, breath awareness, body scanning","Anapanasati (mindfulness of breathing), Four Foundations of Mindfulness, jhanas",Life of Buddha; societal changes in Ganges valley
c. 500-400 BCE,Early Jain Agamas,Jain,South Asia,Descriptions of kayotsarga (abandonment of the body) and other ascetic meditative practices,"Samayika (equanimity), pratikramana (self-reflection), kayotsarga",Period of Mahavira's influence; ascetic movements in northern India
c. 500-400 BCE,Heraclitus Fragments,Pre-Socratic,Greece,Reflections on self-knowledge and inner logos,"Self-inquiry, logos (inner ordering principle)",Late Archaic Greece; early philosophical inquiries
c. 450-350 BCE,Yoga references in Herodotus,Greek account of Indian practices,Greece/South Asia,First Western account of yogic postures and breath control,"Asceticism, physical discipline, breath control",Classical Greece; early Greek-Indian contact
c. 400-300 BCE,Zhuangzi,Daoist,China,"Describes ""sitting and forgetting"" (zuowang) and ""fasting of the mind"" practices","Non-dualism, transcendence of conceptual thinking, naturalness",Warring States period; development of philosophical Daoism
c. 400-300 BCE,Pythagorean Silence Practices,Pythagorean,Greece,Disciplines of silence and contemplation for initiates,"Mental purification, harmony of soul, mathematical contemplation",Classical Greece; philosophical/religious communities
c. 360-347 BCE,"Plato's dialogues (Phaedo, Republic)",Greek Philosophy,Greece,Contemplation of the Forms; philosophical dialectic as contemplative practice,"Noesis (intellectual vision), ascent of the soul",Classical Athens; Platonic Academy
c. 350-300 BCE,Aristotle's Nicomachean Ethics,Greek Philosophy,Greece,Contemplation (theoria) as highest form of human activity,"Theoria, virtuous contemplation, eudaimonia",Late Classical Greece; Lyceum tradition
c. 300-200 BCE,Yoga Sutras (attributed to Patanjali),Hindu,South Asia,Codifies systematic approach to meditation with eight limbs of yoga,"Pratyahara (sense withdrawal), dharana (concentration), dhyana (meditation), samadhi",Post-Mauryan period; systematization of yoga traditions
c. 300-100 BCE,Dead Sea Scrolls (Community Rule),Essene/Jewish,Levant,Contemplative practices of the Yahad community; study as meditation,"Purity of mind, contemplation of divine mysteries, communal spirituality",Second Temple Judaism; sectarian movements
c. 275-175 BCE,Pyrrhonian texts (via Sextus Empiricus),Pyrrhonism,Greece,Mental practices for achieving ataraxia (tranquility) through epoché (suspension of judgment),"Epoché, ataraxia, equanimity toward appearances",Hellenistic Greece; philosophical skepticism
c. 250-150 BCE,"Wisdom literature (Ecclesiastes, Wisdom of Solomon)",Jewish,Levant/Alexandria,Contemplative reflection on life's meaning and divine wisdom,"Chokhmah (wisdom), awareness of impermanence",Hellenistic period; Jewish encounter with Greek thought
c. 200-100 BCE,Bhagavad Gita,Hindu,South Asia,Describes multiple approaches to meditation within different yoga paths,"Karma yoga, bhakti yoga, jnana yoga, raja yoga",Period of religious synthesis in India
c. 100 BCE - 100 CE,Therapeutae practices (described by Philo),Jewish,Egypt,Contemplative community with practices of scripture study and contemplation,"Contemplative interpretation of texts, solitude, vision-seeking",Hellenistic Judaism in Egypt; monastic-like communities
c. 100 BCE - 100 CE,Philodemus on Epicurean Practices,Epicurean,Greece/Rome,Mental exercises for achieving ataraxia; meditation on mortality,"Present-moment awareness, freedom from disturbance",Late Hellenistic/Early Roman period
c. 100 BCE - 100 CE,Corpus Hermeticum (early layers),Hermetic,Egypt/Greece,Contemplative practices for divine knowledge,"Contemplation of kosmos, ascent through planetary spheres",Greco-Egyptian syncretic traditions
c. 50 BCE - 50 CE,Philo of Alexandria's works,Hellenistic Jewish,Alexandria,"Contemplative allegorical interpretation; techniques for ""sober intoxication"" of the soul","Contemplation of divine logos, ecstatic vision",Jewish-Hellenistic synthesis; Alexandrian intellectual culture
c. 50-150 CE,Neo-Pythagorean texts,Neo-Pythagorean,Greece/Rome,Revival of silence practices and mathematical contemplation,"Contemplation of divine order, purification of soul",Early Imperial Rome; revival of Pythagorean traditions
c. 100-200 CE,Nèi Jīng (Yellow Emperor's Inner Canon),Daoist/Chinese Medicine,China,Medical text describing meditation for health and longevity,"Qi circulation, breath regulation, mind-body harmony",Han Dynasty; development of systematic Chinese medicine
c. 150-250 CE,Clement of Alexandria's works,Early Christian,Alexandria,Christian adaptation of philosophical contemplation,"Spiritual interpretation of scripture, divine knowledge",Early Christian intellectual engagement with Greek philosophy
c. 200-270 CE,Plotinus' Enneads,Neoplatonic,Rome,Detailed descriptions of contemplative ascent to the One,"Epistrophe (return to source), contemplation of Beauty, intellectual vision, union with the One",Crisis of Third Century Rome; systematization of Neoplatonism
c. 250-350 CE,Desert Fathers sayings,Christian,Egypt,Early Christian monastic contemplative practices,"Hesychia (stillness), nepsis (watchfulness), prayer of the heart",Rise of Christian monasticism; Egyptian desert communities
c. 300-400 CE,Iamblichus' On the Mysteries,Theurgic Neoplatonism,Syria,Theurgic meditation practices incorporating ritual elements,"Divine symbols, ritual contemplation, animation of statues",Late Roman Empire; religious Neoplatonism
c. 350-430 CE,Augustine's Confessions and Soliloquies,Christian,North Africa,Interior dialogue as contemplative practice; ascent of the soul,"Self-examination, divine illumination, memory palace",Late Roman Empire; Christian adaptation of Neoplatonic ideas
c. 400-500 CE,Yogācāra texts (Asanga and Vasubandhu),Buddhist,Central/South Asia,Elaborate system of consciousness transformation through meditation,"Store consciousness (ālayavijñāna), mind-only, three natures",Growth of Buddhist scholasticism; expansion along Silk Road
c. 450-550 CE,Pseudo-Dionysius the Areopagite,Christian Neoplatonism,Syria,Apophatic (negative) contemplation techniques,"Divine darkness, unknowing, mystical union",Byzantine synthesis of Christianity and Neoplatonism
c. 500-600 CE,Treatise on the Two Entrances and Four Practices,Chan/Zen Buddhist,China,"Early Chan text on meditation through ""wall-gazing""","Direct perception, sudden enlightenment, non-conceptual awareness",Attributed to Bodhidharma; beginnings of Chan Buddhism
