Major Characters and Gods of Zoroastrianism,,,,
Name,Type/Class,First Citation/Source,Major Citations/Appearances,Notes
Ahura Mazda,Supreme God,"Gathas (Yasna, Avesta)","All Zoroastrian texts (Avesta, Yasna, Yashts, Pahlavi texts)","Creator, ""Wise Lord,"" central to all Zoroastrian theology24578."
Angra Mainyu (Ahriman),Evil Spirit,Gathas (Avesta),"Vendidad, later Pahlavi texts (Bundahishn, Denkard)","Principle of evil, cosmic adversary of Ahura Mazda24578."
Spenta Mainyu,Holy Spirit,Gathas (Avesta),"Yasna, Yashts, Bundahishn","Beneficent spirit, aspect of Ahura Mazda, opposed by Angra Mainyu24."
Amesha Spentas,Divine Immortals,Gathas (Avesta),"Yasna, Visperad, Yashts","Seven emanations of Ahura Mazda, each associated with a virtue and element2345."
Mithra (Mitra),Yazata (god),Yasht 10 (Avesta),"Yashts, Pahlavi texts, Persian inscriptions","God of covenant, light, oath, and contracts; major Indo-Iranian deity2578."
Anahita (Ardvi Sura Anahita),Yazata (goddess),Yasht 5 (Avesta),"Yashts, Pahlavi texts, Persian inscriptions","Goddess of waters, fertility, wisdom, and war2578."
Atar,Yazata (Fire),"Yasna, Yashts (Avesta)","Yasna, Yashts, ritual texts","Personification of fire, son of Ahura Mazda, sacred in rituals2578."
Rashnu,Yazata (Justice),Yasht 12 (Avesta),"Yashts, Bundahishn","Angel of judgment, weighs souls after death2578."
Sraosha (Sarosh),Yazata (Obedience),"Yasna, Yashts (Avesta)","Yasna, Yashts, Bundahishn","Bringer of divine guidance, protector of souls, opponent of Aeshma3."
Vohu Manah,Amesha Spenta,Gathas (Avesta),"Yasna, Yashts, Bundahishn","""Good Mind,"" first Amesha Spenta encountered by Zoroaster235."
Haurvatat,Amesha Spenta,Gathas (Avesta),"Yasna, Yashts, Bundahishn","""Wholeness,"" associated with water235."
Ameretat,Amesha Spenta,Gathas (Avesta),"Yasna, Yashts, Bundahishn","""Immortality,"" associated with plants235."
Khshathra Vairya,Amesha Spenta,Gathas (Avesta),"Yasna, Yashts, Bundahishn","""Desirable Dominion,"" associated with metals235."
Spenta Armaiti,Amesha Spenta,Gathas (Avesta),"Yasna, Yashts, Bundahishn","""Holy Devotion,"" associated with earth235."
Hvar Khshaita,Yazata (Sun),Yasht 6 (Avesta),"Yashts, Bundahishn","God of the sun, light578."
Tishtrya (Tiri),Yazata (Star/Rain),Yasht 8 (Avesta),"Yashts, Bundahishn","God of the star Sirius, rain, and fertility578."
Haoma,Yazata (Plant),"Yasna, Yashts (Avesta)","Yasna, Yashts, ritual texts",God and personification of the sacred plant Haoma578.
Verethragna (Bahram),Yazata (Victory),Yasht 14 (Avesta),"Yashts, Bundahishn, epic literature","God of victory, war, and strength578."
Vayu,Yazata (Wind),Yasht 15 (Avesta),"Yashts, Bundahishn","God of wind, occupies space between good and evil578."
Ahurani,Yazata (Waters),"Yasna, Yashts (Avesta)","Yashts, Bundahishn","Goddess of waters, sometimes wife/daughter of Ahura Mazda7."
Saoshyant,Eschatological figure,Yasht 19 (Avesta),"Yashts, Bundahishn, later Zoroastrian texts",Future savior who brings final renovation12.
Daevas,Demons,Gathas (Avesta),"Yasna, Vendidad, Pahlavi texts","Evil spirits, opposed to Ahura Mazda, condemned by Zoroaster27."
