,"Hellenistic and Eurasian Divine Groupings: Monads, Dyads, Triads, and Divine Families",,,,,
,I. Divine Monads (Singular Supreme Deities),,,,,
Historical Period,Culture/Tradition,Deity,Nature/Domain,Characteristics,Iconography,Regional Variations
300 BCE-200 CE,Greek (Late),Zeus Hypsistos,Supreme God,"Syncretic, transcendent","Enthroned, eagle",More abstract in Hellenistic East
270-400 CE,Roman Imperial Cult,Sol Invictus,Unconquered Sun,"Universal, imperial",Radiate crown,Military emphasis on frontiers
600 BCE-650 CE,Persian Zoroastrian,Ahura Mazda,Wise Lord,Uncreated creator,Winged disk,More anthropomorphic in late period
300 BCE-400 CE,Late Egyptian,Serapis,Syncretic ruler,Universal providence,Greek-Egyptian hybrid,More Hellenic in Alexandria
200 BCE-500 CE,Greco-Buddhist,Buddha Shakyamuni,Enlightened One,Transcendent teacher,Greek-styled Buddha,More Greek features in Gandhara
250-500 CE,Neo-Platonic,The One/The Good,Ultimate reality,Beyond attributes,Abstract symbols only,Varies by philosophical school
200 BCE-300 CE,Syrian,Baal Shamin,Lord of Heaven,Supreme sky god,"Thunderbolts, eagle",Solar aspects in Roman period
200 BCE-1000 CE,Germanic,Odin/Wotan,All-Father,"Wisdom, war, death","One-eyed, spear, ravens",More shamanic in Norse variants
100-400 CE,Celtic (Romano),Celtic Apollo,Healing light,Universal healer,"Solar rays, lyre",Regional tribal variations
500 BCE-300 CE,Thracian,Sabazios,Sky father,Hand of blessing,Hand of power,More Zeus-like in Greek areas
300 BCE-300 CE,Anatolian,Men,Moon god,Universal sovereign,"Lunar crescent, pine cone",Stronger solar aspects in west
500 BCE-1200 CE,Slavic,Perun,Thunder,Supreme authority,Thunder weapons,Fire vs. oak emphasis varies by region
100-400 CE,Mithraic,Mithras Invictus,Unconquered,Cosmic mediator,Tauroctony scene,Military vs. mercantile emphasis
100 BCE-200 CE,Indo-Greek,Shiva-Dionysos,Creative-destructive,Transformative,"Bull symbols, ecstatic",Bactrian vs. Indian variations
600 BCE-200 CE,Babylonian,Marduk-Bel,Supreme ruler,Cosmic order,Dragon-slayer,More abstract in later periods
,II. Divine Dyads (Paired Deities),,,,,
Historical Period,Culture/Tradition,Deity Pair,Relationship,Domains/Functions,Iconography,Significance
800 BCE-400 CE,Greek,Apollo & Artemis,Twins,"Sun/Moon, Hunt",Bow-bearing twins,Cosmic balance
1500 BCE-500 CE,Vedic/Hindu,Mitra-Varuna,Complementary,Contract/Cosmic law,Day/Night symbols,Sovereignty function
600 BCE-600 CE,Indo-Iranian,Ahura Mazda & Angra Mainyu,Opposing twins,Good/Evil,Light/Darkness,Cosmic dualism
500 BCE-400 CE,Roman,Castor & Pollux (Dioscuri),Twins,"Protection, stars",Twin horsemen with stars,Divine intervention
200 BCE-1000 CE,Norse,Freyr & Freyja,Twin siblings,Fertility,Phallic/vessel symbols,Agricultural prosperity
800 BCE-400 CE,Greek,Zeus & Hera,Consorts,Heaven/Marriage,Enthroned pair,Divine monarchy
200 BCE-400 CE,Phyrgian/Roman,Cybele & Attis,Mother & consort,Fertility cycles,"Lion chariot, pine",Death and rebirth
300 BCE-400 CE,Graeco-Egyptian,Isis & Serapis,Consorts,Providence,Throne and modius,Hellenic mystery pair
700 BCE-300 CE,Samothracian,Kabeiroi,Divine pair,Mystery protection,Metallurgical symbols,Seafarer protection
300 BCE-400 CE,Celtic,Epona & Rhiannon,Horse goddesses,Sovereignty,Horse-riding females,Royal legitimacy
800 BCE-400 CE,Greco-Roman,Demeter & Persephone,Mother-daughter,Agricultural cycle,"Grain, torch",Seasonal mysteries
1000 BCE-300 CE,Anatolian,Teshub & Hebat,Storm god & wife,"Weather, fertility",Bull and lion,Hittite royal patrons
900 BCE-300 CE,Syrian,Hadad & Atargatis,Consorts,Storm/water fertility,Fish-tailed goddess,Agricultural abundance
500 BCE-1000 CE,Germanic,Frey & Gerd,God & giantess,Fertility union,Sword & earth symbols,Seasonal cycle
500 BCE-1500 CE,Baltic,Perkūnas & Laima,God & goddess,Thunder/Fate,Oak & linden symbols,Divine justice and destiny
500-1200 CE,Slavic,Jarilo & Morana,Seasonal pair,Growth/Death,Green man & winter hag,Seasonal cycle
2000 BCE-1000 CE,Indo-European,Divine Twins,Horse-associated twins,"Rescue, dawn","Horsemen, morning star",Divine assistance
600 BCE-400 CE,Roman/Etruscan,Janus & Jana,Complementary pair,Beginnings/Endings,"Two-faced, doorways",Transitions
700 BCE-300 CE,Scythian,Tabiti & Papaios,Sky pair,Hearth/Sky,Fire and sun symbols,Cosmic order
1500 BCE-500 CE,Vedic,Ashvins,Divine twins,"Healing, rescue","Horse-riders, stars",Divine physicians
,III. Divine Triads (Three Related Deities),,,,,
Historical Period,Culture/Tradition,Triad Members,Relationship,Function/Domain,Iconography,Significance
800 BCE-400 CE,Greek,"Zeus, Poseidon, Hades",Brothers,Sky/Sea/Underworld,Thunder/Trident/Bident,Cosmic division
600 BCE-100 CE,Roman,"Jupiter, Mars, Quirinus",Functional,Sovereignty/War/Community,Eagle/Spear/Spear,Proto-Indo-European functions
500 BCE-400 CE,Capitoline,"Jupiter, Juno, Minerva",Family,State protection,"Eagle, peacock, owl",Roman state cult
300 BCE-100 CE,Celtic,"Taranis, Teutates, Esus",Functional,Sky/War/Vegetation,"Wheel, torc, tree",Gallic supreme gods
300 BCE-300 CE,Egyptian (Hellenized),"Serapis, Isis, Harpocrates",Family,Fertility/rebirth,"Modius, throne, finger",Alexandrian triad
100 BCE-300 CE,Palmyrene,"Bel, Yarhibol, Aglibol",Cosmic,Sky/Sun/Moon,Solar/lunar symbols,Celestial triad
