Hekhalot Rabbati,,,
Stage,Name/Description,Details,
1.0,First Palace (Hekhal),Entry point; guarded by angels; requires ritual purity and passwords to enter1410.,
2.0,Second Palace,New set of angelic guardians; further passwords and hymns; increased spiritual and ritual demands14.,
3.0,Third Palace,More powerful angels; additional rituals; dangers for the unworthy increase14.,
4.0,Fourth Palace,Additional angelic hierarchies; mystical hymns intensify; visionary experiences deepen14.,
5.0,Fifth Palace,Stricter tests; more complex passwords; further purification required14.,
6.0,Sixth Palace,Nearing the Divine Throne; angelic scrutiny at its highest; final hymns and passwords14.,
7.0,Seventh Palace (Throne Room),The innermost chamber; vision of the Divine Throne; culmination of ascent; only the worthy may enter147.,
Stage,Name/Description,Details,
1.0,Earthly Realm,Enoch begins as a human; receives divine summons8.,
2.0,Ascent through Seven Heavens,"Enoch is guided through the heavens, each with distinct angelic hosts and cosmic functions86.",
3.0,Highest Heaven (Araboth),The seventh and highest heaven; seat of the Divine Throne; Metatron’s domain68.,
4.0,Angelic Transformation,"Enoch is transformed into Metatron, “Prince of the Divine Presence”; receives crown and robe86.",
5.0,Enthronement and Revelation,"Metatron is enthroned, receives secrets of creation, and is given authority over angels86.",
Stage,Name/Description,Details,
1.0,Preparation/Purification,"Ritual purification, fasting, and recitation of hymns to prepare for ascent10.",
2.0,Hymns and Prayers,Liturgical recitations and mystical hymns designed to facilitate visionary experience10.,
3.0,Ascent through Palaces,"Implied movement through heavenly palaces or realms, guided by angelic beings10.",
4.0,Vision of the Chariot,Culminates in a vision of the Divine Chariot (Merkavah) and the enthroned Glory10.,
Stage,Name/Description,Details,
1.0,Sefirot (Divine Emanations),"The soul contemplates and ascends through the ten sefirot, each representing a divine attribute10.",
2.0,Four Worlds,"Ascent through the four spiritual worlds: Assiyah, Yetzirah, Beriah, Atzilut10.",
3.0,Soul’s Journey,"The soul’s mystical journey toward union with the Divine, guided by Torah and mitzvot10.",
4.0,Divine Union,Culmination in devekut (cleaving to God) and the mystical experience of the Shekhinah10.,
Stage,Name/Description,Constituent Parts,Details/Notes
1.0,First Palace (Hekhal),"- Guardian angels (e.g., Dumiel, Gabriel)
- Passwords
- Purification rituals
- Entrance hymns",The journey begins; initial spiritual and ritual tests.
2.0,Second Palace,"- New guardian angels
- Additional passwords
- Hymns specific to this palace",Increased scrutiny; passwords change for each palace.
3.0,Third Palace,"- More powerful angels
- Passwords
- Mystical hymns
- Threats to the unworthy",Dangers increase; mystical knowledge deepens.
4.0,Fourth Palace,"- Angelic hierarchies (e.g., Ofanim, Seraphim)
- Passwords
- Hymns
- Visionary experiences",Encounters with higher angelic orders; visions become more intense.
5.0,Fifth Palace,"- Stricter angelic guardians
- Complex passwords
- Ritual gestures
- Hymns",Further purification and spiritual tests.
6.0,Sixth Palace,"- Most formidable angels (e.g., Qaspiel, Anafiel)
- Final passwords
- Highest hymns
- Ritual silence",Nearing the Divine Throne; only the most worthy can pass.
7.0,Seventh Palace (Throne Room),"- Angels of the Presence
- Divine Glory (Kavod)
- Vision of the Throne
- Silence and awe
- Final hymn",Culmination: vision of the enthroned God; entry only for the purest mystic.
Stage,Name/Description,Constituent Parts,Details/Notes
1.0,Earthly Realm,"- Enoch’s piety
- Angelic summons
- Preparation",Enoch chosen for ascent due to righteousness.
2.0,Ascent through Seven Heavens,"- Passing through each heaven (Vilon, Raqia, Shehaqim, Zebul, Maon, Machon, Araboth)
- Angelic hosts
- Hymns",Each heaven has unique angels and cosmic functions; Enoch is escorted by angelic guides.
3.0,Highest Heaven (Araboth),"- Thrones, Seraphim, Cherubim
- Divine Throne
- Angelic liturgy",The highest heaven; seat of the Divine Presence.
4.0,Angelic Transformation,"- Enoch’s body transformed
- Receives wings, eyes, and light
- Crowned and robed as Metatron","Enoch becomes the angel Metatron, chief of angels."
5.0,Enthronement and Revelation,"- Enthronement ceremony
- Receives the Book of Wisdom
- Given authority over angels
- Divine secrets revealed",Metatron is granted cosmic knowledge and authority.
Stage,Name/Description,Constituent Parts,Details/Notes
1.0,Preparation/Purification,"- Ritual immersion
- Fasting
- Garment change
- Confession
- Recitation of specific psalms",Prepares mystic for ascent; ensures purity and focus.
2.0,Hymns and Prayers,"- Hymns to angelic hosts
- Prayers for protection
- Invocation of divine names
- Recitation of passwords",These liturgical elements are essential for safe passage and visionary success.
3.0,Ascent through Palaces,"- Encounters with angelic guardians
- Passwords for each palace
- Ritual gestures
- Liturgical responses","The palaces are less explicitly numbered, but each has its own guardians and requirements."
4.0,Vision of the Chariot,"- Vision of the four living creatures (Chayot)
- Wheels (Ofanim)
- Throne of Glory (Kavod)
- Divine voice",Ultimate mystical vision; the goal of the ascent.
Stage,Name/Description,Constituent Parts,Details/Notes
1.0,Sefirot (Divine Emanations),"- Keter (Crown)
- Chokhmah (Wisdom)
- Binah (Understanding)
- Chesed (Kindness)
- Gevurah (Severity)
- Tiferet (Beauty)
- Netzach (Eternity)
- Hod (Glory)
- Yesod (Foundation)
- Malkhut (Kingship)",Each sefirah is a stage of divine manifestation; the soul ascends by contemplating each.
2.0,Four Worlds,"- Assiyah (Action)
- Yetzirah (Formation)
- Beriah (Creation)
- Atzilut (Emanation)","The soul ascends through these worlds, each more spiritual and closer to the Divine."
3.0,Soul’s Journey,"- Rectification (Tikkun)
- Torah study
- Performance of mitzvot
- Meditation on divine mysteries",The soul’s ascent is achieved through spiritual practice and mystical contemplation.
4.0,Divine Union,"- Devekut (cleaving to God)
- Shekhinah (Divine Presence)
- Mystical marriage symbolism
- Vision of unity","Culmination in union with the Divine, often described in symbolic or erotic mystical language."
