"Timeline Index: The Origins of ""Tuscan"" and the Tuscan People",,,,
Date,Event,Details,Linguistic Evolution,
First Attestation,Word/Term,Geographic Area,Etymology/Context,Source
2000 BCE,Tarsus,Anatolia,"Hittite ""Tarsa"", possibly derived from storm god Tarḫunz",4.0
1500 BCE,Taurus,Anatolia,"From Proto-Indo-European *tau-ro- (""strong"")",
900 BCE,Rise of the Etruscan Civilization,"The Etruscans establish city-states in central Italy (modern Tuscany, Umbria, Lazio).",-,
750 BCE,Tyrrhenoi (Greek),Greek Contact,"Greeks refer to the Etruscans as Tyrrhenoi, influencing later names.",
700 BCE,Etruscus → Tuscus (Latin),Early Latin Usage,Latin speakers begin referring to the Etruscans as Etrusci and Tusci.,
600 BCE,Etrusci (Latin),Etruscans Dominate Italy,"Etruscans expand influence, including Rome.",
535 BCE,Tarquinius,Central Italy,"Etruscan name, possibly meaning ""of Tarquinia""",
509 BCE,Roman Republic Founded,Rome starts resisting Etruscan rule.,Tusci (Latin) appears,
500 BCE,Turan,Central Asia,Old Persian term for lands north of Iran,
,Tarsus is mentioned in Xenophon's Anabasis (around 400 BCE) as a great and wealthy city8.,,,
,"The Proto-Turkic language, ancestor of all Turkic languages, is estimated to have originated in Asia around 500 BCE1.",,,
396 BCE,Rome Conquers Veii,Major Etruscan city falls to Rome.,Tuscānus (Latin) develops from Tusci,
283 BCE,Battle of Lake Vadimo,Rome defeats last major Etruscan coalition.,Tuscānus solidifies in Latin,
27 BCE,Augustus Forms Regio VII Etruria,The region is fully Romanized.,Tuscānus → Toscana (Latin → Italian),
476.0,Fall of Western Roman Empire,Tuscany under Ostrogothic rule.,-,
551 CE,Türük,Central Asia,"First political use of ""Türk"" in Orkhon inscriptions",7.0
500 CE,"The name ""Türk"" was first used as a political identity during the Göktürk Khaganate period in the 6th century CE7.",,,
565 CE,Tourkos,Anatolia/Balkans,"Greek form of ""Turk"", entering European languages",7.0
568.0,Lombard Invasion,"Tuscany ruled by Lombards, later by the Franks.",-,
600 CE,Turcus,Europe,"Latin form of ""Turk""",
600 CE,"Old Turkic, the first attested form of Turkic, has its earliest known records dating to the 7th century CE1.",,,
700 CE,"The earliest written records of Turkish languages date back to the 8th century CE, found in the Orkhon Inscriptions9.",,,
700 CE,The linguistic history of Turkic languages can be followed in written sources from the 8th century CE onward10.,,,
1100.0,Tuscany as a Distinct Region,"Emergence of medieval city-states like Florence, Pisa, and Siena.",Toscano (Medieval Latin),
1200 CE,Tatar/Tartar,Central Asia/Eastern Europe,Originally referred to Mongol-Turkic groups,
1200.0,Transition to Modern Name,Toscano becomes the common name for the region.,Toscano (Medieval Latin → Italian),
1300 CE,Turkey,Anatolia,"From Medieval Latin ""Turchia"" (land of the Turks)",
1500 CE,Turkish,Anatolia/Balkans,English term for language and people of Turkey,
1569.0,Grand Duchy of Tuscany Established,The Medici family consolidates power.,Toscana (Italian),
1861.0,Tuscany Joins Unified Italy,The region officially becomes part of Italy.,Tuscan (English) borrowed from Toscano,
1924 CE,Turkmenistan,Central Asia,"Combination of ""Turkmen"" and Persian ""-stan"" (land)",
Word/Term,First Attestation,Geographic Area,Etymology/Context,Source
Tarsus,2000 BCE,Anatolia,"Hittite ""Tarsa"", possibly derived from storm god Tarḫunz",4.0
Taurus,1500 BCE,Anatolia,"From Proto-Indo-European *tau-ro- (""strong"")",
Tarquinius,535 BCE,Central Italy,"Etruscan name, possibly meaning ""of Tarquinia""",
Turan,500 BCE,Central Asia,Old Persian term for lands north of Iran,
Türük,551 CE,Central Asia,"First political use of ""Türk"" in Orkhon inscriptions",7.0
Tourkos,565 CE,Anatolia/Balkans,"Greek form of ""Turk"", entering European languages",7.0
Turcus,600 CE,Europe,"Latin form of ""Turk""",
Tatar/Tartar,1200 CE,Central Asia/Eastern Europe,Originally referred to Mongol-Turkic groups,
Turkey,1300 CE,Anatolia,"From Medieval Latin ""Turchia"" (land of the Turks)",
Turkish,1500 CE,Anatolia/Balkans,English term for language and people of Turkey,
Turkmenistan,1924 CE,Central Asia,"Combination of ""Turkmen"" and Persian ""-stan"" (land)",
