"Comparative Table: Deities of Light, Messianic Roles, Saviors, and Dying/Rising Motifs (Chronological Order)",,,,,,,
Date of Earliest Attestation (BCE/CE),Name,Tradition/Origin,Light/Illumination Motif,Covenant/Messianic Role,Savior of Mankind,Death/Resurrection or Descent Motif,Other Notable Features
c. 700 BCE (Hesiod),Aether,Greek,Primordial light/upper air,,,,"Personification of light, sky"
c. 700 BCE,Hyperion,Greek,Titan of light,,,,"Father of Helios, Eos, Selene"
c. 700 BCE,Theia,Greek,Titaness of shining light/sky,,,,"Mother of Helios, Selene, Eos"
c. 700 BCE,Helios,Greek,"Sun god, radiant chariot",,,,Predecessor of Apollo as sun god
c. 700 BCE,Eos/Aurora,Greek/Roman,"Dawn goddess, brings daylight",,,,Herald of the sun
c. 700 BCE,Zeus/Jupiter,Greek/Roman,God of the day-lit sky,"King of gods, upholder of order",Yes (Order in heaven),,Reflex of Indo-European *Dyeus
c. 700 BCE,Apollo,Greek,"God of light, sun, prophecy",No messianic role,Healer,,"Patron of arts, medicine, prophecy"
c. 2400 BCE (Pyramid Texts),Osiris,Egyptian,"Afterlife, green (fertility/light)","King of afterlife, judge",Yes (afterlife),"Murdered by Set, resurrected by Isis","Symbol of resurrection, Nile cycles"
c. 2400 BCE,Isis,Egyptian,"Associated with magic, moon, stars","Protector, mother",Yes (protector),"Revives Osiris, resurrects Horus","Mother goddess, magic"
c. 2400 BCE,Horus,Egyptian,"Sky god, sun and moon eyes","Avenger, king",Yes (protector),No,Pharaoh as Horus incarnate
c. 2100 BCE,Tammuz/Dumuzi,Mesopotamian,"Linked to vegetation, seasonal light",None,Yes (fertility),Death and return (seasonal),Associated with Inanna/Ishtar
c. 2100 BCE,Inanna/Ishtar,Sumerian/Akkadian,"Venus (morning/evening star), radiance",None,Yes (fertility),"Descent to Underworld, resurrection","Goddess of love, war, fertility"
c. 600 BCE,Adonis,Greek (from Phoenician),"Associated with beauty, renewal",None,Yes (rebirth),"Killed, resurrected by Zeus",Seasonal death and return
c. 500 BCE,Attis,Phrygian/Greco-Roman,"Linked to spring, renewal",None direct,Yes (rebirth),"Death (castration), resurrection","Celebrated March 25, tree motif"
c. 500 BCE (older roots),Dionysus,Greek,"God of ecstasy, wine, sometimes light","Bringer of joy, liberation",Yes (liberator),Dismemberment and resurrection,"Wine, theater, ecstatic rites"
c. 1400 BCE (Indo-Iranian Mitra); c. 1st c. BCE (Roman),Mithras,Iranian/Roman,"Born from rock, associated with sun","Mediator, initiatory covenant",Yes (initiates),"No literal resurrection, but rebirth","Sacred meal, December 25 birth (late)"
c. 400 BCE (Orphic tradition),Zagreus,Greek,"Light, rebirth",None direct,Yes (rebirth),Dismemberment and resurrection,Early form of Dionysus
c. 700 BCE,Prometheus,Greek,"Bringer of fire (light, knowledge)",Covenant with humanity (fire),Yes (benefactor),Endures suffering for humanity,"Chained, freed, symbol of sacrifice"
c. 1st millennium BCE,Quetzalcoatl,Mesoamerican,"Venus (morning star), light-bringer","Bringer of knowledge, sometimes messianic",Yes (civilizer),Death and return motifs in some myths,"Associated with cycles, resurrection"
c. 500 BCE,Buddha (Shakyamuni),Indian/Buddhist,Enlightenment as radiant light,"Brings Dharma, not messianic",Yes (liberator),"Attains nirvana, not resurrection","Miraculous birth, prophecy, temptation"
c. 1st–4th c. CE (Mahayana texts),Vairocana,Mahayana Buddhist,"""Radiant One,"" cosmic illuminator",Embodies universal truth,Yes (enlightener),"No death/resurrection, primordial","Dharmakaya, source of all Buddhas"
c. 1st–2nd c. CE (Pure Land texts),Amida (Amitābha),Mahayana Buddhist,"""Infinite Light,"" radiates compassion",Promises rebirth in Pure Land,Yes (faith-based salvation),"No death/resurrection, but rebirth in paradise",Central to Pure Land Buddhism
c. 3rd c. BCE (early Buddhist texts),Maitreya,Buddhist (future),"Will bring new Dharma, ""bringer of light""","Future Buddha, messianic role",Yes (future world savior),Will appear in future to renew world,Awaited messianic figure
c. 1st c. CE,Jesus,Christianity,"""Light of the World""","New Covenant, Messiah",Yes (universal savior),Crucifixion and resurrection,"Eucharist, Second Coming"
2nd c. CE (135 CE),Bar Kokhba,Jewish,"""Star out of Jacob"" (messianic prophecy)",Messiah claimant,Yes,Killed in revolt,"Led Jewish revolt, messianic claimant"
c. 440–470 CE,Moses of Crete,Jewish,None direct,Messiah claimant,Yes,"Disappeared, followers perished",Led failed messianic movement
c. 720–723 CE,Serene (the Syrian),Jewish/Christian,None direct,Messiah claimant,Yes,"Arrested, sect dissolved",Religious reformer
13th c. CE,Abraham Abulafia,Jewish/Kabbalist,Mystical illumination,Claimed messianic role,Yes,"End unknown, claimed prophecy","Kabbalistic mystic, messianic claims"
