Year/Period,Model Name,Creator(s),Major Works / Sources,Supporters & Related Thinkers,Critics & Criticisms,Main Concepts / Focus,Stages / Steps (with Descriptions)
1936.0,Piaget's Cognitive Development,Jean Piaget,"""The Origins of Intelligence in Children"" (1936)","Jerome Bruner, Lev Vygotsky","Underestimates children's abilities, stage rigidity",Stages of cognitive development in children,"1. Sensorimotor (0-2, object permanence)
2. Preoperational (2-7, symbolic thought)
3. Concrete Operational (7-11, logical reasoning)
4. Formal Operational (12+, abstract reasoning)"
1943.0,Maslow's Hierarchy of Needs,Abraham Maslow,"""A Theory of Human Motivation"" (1943), ""Motivation and Personality"" (1954)","Carl Rogers, Humanistic Psychologists","Criticized for lack of empirical support, cultural bias",Human motivation as a hierarchy of needs,"1. Physiological (basic survival needs)
2. Safety (security, stability)
3. Love/Belonging (relationships, affection)
4. Esteem (achievement, respect)
5. Self-actualization (personal growth, fulfillment)
(Later: 6. Self-transcendence)"
1949.0,Gebser's Structures of Consciousness,Jean Gebser,"""The Ever-Present Origin"" (1949)","Ken Wilber, Integral theorists","Criticized for lack of empirical evidence, abstractness",Evolution of consciousness in discrete structures,"1. Archaic (undifferentiated)
2. Magic (animistic, pre-logic)
3. Mythic (symbolic, narrative)
4. Mental (rational, abstract)
5. Integral (integration of previous structures)"
1950.0,Erikson's Psychosocial Stages,Erik Erikson,"""Childhood and Society"" (1950)","Joan Erikson, John Bowlby","Cultural bias, stages may overlap",Psychosocial crises across lifespan,"1. Trust vs. Mistrust (infancy)
2. Autonomy vs. Shame (early childhood)
3. Initiative vs. Guilt (preschool)
4. Industry vs. Inferiority (school age)
5. Identity vs. Role Confusion (adolescence)
6. Intimacy vs. Isolation (young adult)
7. Generativity vs. Stagnation (adulthood)
8. Integrity vs. Despair (old age)6"
1958.0,Kohlberg's Moral Development,Lawrence Kohlberg,"""The Philosophy of Moral Development"" (1981)","Carol Gilligan (critic, related work)",Criticized for gender/cultural bias,Moral reasoning develops in stages,"1. Preconventional (obedience/punishment, self-interest)
2. Conventional (conformity, law-and-order)
3. Postconventional (social contract, universal ethics)"
1981.0,Fowler's Faith Development,James Fowler,"""Stages of Faith"" (1981)","Sharon Parks, John Westerhoff","Christian-centric, stage rigidity",Faith as evolving meaning-making,"1. Intuitive-Projective
2. Mythic-Literal
3. Synthetic-Conventional
4. Individuative-Reflective
5. Conjunctive
6. Universalizing"
1981.0,Fowler’s Stages of Faith,James Fowler,"""Stages of Faith"" (1981)","Sharon Parks, M. Scott Peck","Christian-centric, stage rigidity",Faith as evolving meaning-making and relationship to the transcendent,"1. Intuitive-Projective
2. Mythic-Literal
3. Synthetic-Conventional
4. Individuative-Reflective
5. Conjunctive
6. Universalizing68"
1982.0,Kegan's Constructive-Developmental Theory,Robert Kegan,"""The Evolving Self"" (1982), ""In Over Our Heads"" (1994)","Susanne Cook-Greuter, Jennifer Garvey Berger","Complexity, empirical validation",Evolution of meaning-making structures,"1. Impulsive
2. Imperial
3. Socialized
4. Self-Authoring
5. Self-Transforming"
1995.0,Wilber's Integral Theory,Ken Wilber,"""Sex, Ecology, Spirituality"" (1995), ""A Theory of Everything"" (2000)","Don Beck, Jean Gebser, Sri Aurobindo","Criticized for grandiosity, lack of empirical testing",Integration of all developmental lines and quadrants,"Stages across multiple lines (cognitive, moral, spiritual, etc.), AQAL framework (quadrants: individual/collective, interior/exterior), pre-trans fallacy"
1996.0,Spiral Dynamics,"Don Beck, Chris Cowan (based on Clare Graves)","""Spiral Dynamics"" (1996)","Ken Wilber, Integral community","Criticized for oversimplification, cultural bias",Value systems (vMEMEs) in human development,"1. Beige (survival)
2. Purple (tribal)
3. Red (power)
4. Blue (order)
5. Orange (success)
6. Green (community)
7. Yellow (integrative)
8. Turquoise (holistic)"
