Islamic and Related Holy Works Comprehensive Index,,,,,,,,,
ID,Title,Category,Status,Traditional Author,Date Written (Approx.),Oldest Manuscript (Approx.),Main Topics/Themes,Religious Traditions,Notes
1.0,Quran,Primary Scripture,Canonical,Divine revelation through Muhammad,610-632 CE,652 CE (Topkapi),"Monotheism, ethics, law, narratives",All Islamic traditions,"114 Surahs (chapters), immutable divine revelation"
2.0,Al-Fatiha,Quranic Surah,Canonical,Divine revelation,610-632 CE,652 CE,"Opening prayer, divine guidance",All Islamic traditions,First and most recited chapter of Quran
3.0,Al-Baqarah,Quranic Surah,Canonical,Divine revelation,610-632 CE,652 CE,"Law, previous prophets, covenant",All Islamic traditions,Longest chapter of Quran
4.0,Ayat al-Kursi,Quranic Verse,Canonical,Divine revelation,610-632 CE,652 CE,"Divine attributes, God's sovereignty",All Islamic traditions,"Verse 2:255, considered most powerful verse"
5.0,Sahih al-Bukhari,Hadith Collection,Authoritative,Muhammad ibn Ismail al-Bukhari,846 CE,9th century CE,"Prophetic sayings, actions, rulings",Primarily Sunni Islam,Most trusted Hadith collection in Sunni tradition
6.0,Sahih Muslim,Hadith Collection,Authoritative,Muslim ibn al-Hajjaj,875 CE,9th century CE,"Prophetic traditions, theology, practice",Primarily Sunni Islam,Second most authoritative Sunni hadith collection
7.0,Sunan Abu Dawood,Hadith Collection,Authoritative,Abu Dawood,875 CE,9th century CE,"Legal rulings, practices",Primarily Sunni Islam,Part of Six major Sunni hadith collections
8.0,Jami at-Tirmidhi,Hadith Collection,Authoritative,Abu Isa Muhammad at-Tirmidhi,892 CE,9th century CE,"Prophetic practices, jurisprudence",Primarily Sunni Islam,Part of Six major Sunni hadith collections
9.0,Sunan an-Nasa'i,Hadith Collection,Authoritative,Ahmad an-Nasa'i,915 CE,10th century CE,"Legal matters, worship practices",Primarily Sunni Islam,Part of Six major Sunni hadith collections
10.0,Sunan ibn Majah,Hadith Collection,Authoritative,Ibn Majah,887 CE,9th century CE,Various religious matters,Primarily Sunni Islam,Part of Six major Sunni hadith collections
11.0,Muwatta Imam Malik,Hadith/Fiqh,Authoritative,Imam Malik ibn Anas,760 CE,8th century CE,"Early Madinan practice, legal rulings",Primarily Sunni Islam,Earliest surviving hadith collection
12.0,Musnad Ahmad,Hadith Collection,Authoritative,Ahmad ibn Hanbal,855 CE,9th century CE,Comprehensive hadith collection,Primarily Sunni Islam,"Contains over 30,000 hadiths"
13.0,Al-Kafi,Hadith Collection,Authoritative,Muhammad ibn Ya'qub al-Kulayni,939 CE,10th century CE,Comprehensive Shia traditions,Shia Islam,Most important Shia hadith collection
14.0,Man La Yahduruhu al-Faqih,Hadith Collection,Authoritative,Ibn Babawayh,991 CE,10th century CE,"Legal matters, practical rulings",Shia Islam,"One of ""Four Books"" of Shia hadith"
15.0,Tahdhib al-Ahkam,Hadith Collection,Authoritative,Muhammad al-Tusi,1068 CE,11th century CE,Legal interpretations,Shia Islam,"One of ""Four Books"" of Shia hadith"
16.0,Al-Istibsar,Hadith Collection,Authoritative,Muhammad al-Tusi,1068 CE,11th century CE,Resolving contradictory traditions,Shia Islam,"One of ""Four Books"" of Shia hadith"
