Next Steps?,,,,,,
Angel,Zodiac Degree,Psalm,Divine Attribute,Human Virtue,Invocation Purpose,Sigil/Symbol
Vehuiah,0°–5° Aries,Ps 3:4,Divine Will,Initiative,"New beginnings, courage",Flaming sword
Jeliel,5°–10° Aries,Ps 22:20,Divine Love,Compassion,"Love, protection in battle",Heart with wings
Sitael,10°–15° Aries,Ps 91:2,Divine Concealment,Patience,Overcoming enemies,Shield with eye
Elemiah,15°–20° Aries,Ps 6:4,Divine Majesty,Leadership,"Safe travel, clarity",Crowned scepter
Mahasiah,20°–25° Aries,Ps 34:5,Divine Salvation,Wisdom,Spiritual growth,Open book
Lelahel,25°–30° Aries,Ps 9:2,Divine Light,Joy,"Healing, creativity",Sunburst
Achaiah,0°–5° Taurus,Ps 103:8,Divine Patience,Tolerance,Emotional balance,Olive branch
Cahetel,5°–10° Taurus,Ps 95:7,Divine Nourishment,Gratitude,"Abundance, fertility",Sheaf of wheat
Haziel,10°–15° Taurus,Ps 25:6,Divine Mercy,Forgiveness,Reconciliation,Dove with scroll
Aladiah,15°–20° Taurus,Ps 33:22,Divine Grace,Serenity,Protection from curses,Moon cradling star
... (cont.),...,...,...,...,...,...
Mumiah,25°–30° Pisces,Ps 116:7,Divine Endings,Transformation,"Liberation, death transitions",Phoenix rising
Circle/Type,Dante’s Inferno (1314),Demons & Sins,Ars Goetia (17th cent.),Demons & Roles,,
1 (Limbo),Virtuous pagans,–,–,–,,
2 (Lust),Minos judges sinners,Astaroth (seduction),Dukes of Hell,Zepar (love magic),,
3 (Gluttony),Cerberus torments souls,Beelzebub (decay),Marquises of Hell,Marchosias (gluttony),,
4 (Greed),Plutus guards hoarders,Mammon (avarice),Presidents of Hell,Bifrons (grave robbery),,
5 (Wrath),Phlegyas ferries the angry,Amdusias (storms),Kings of Hell,Andras (discord),,
6 (Heresy),Burning tombs,Belial (false idols),Princes of Hell,Paimon (occult arts),,
7 (Violence),"River of blood, harpies",Abaddon (destruction),Knights of Hell,Vassago (violence),,
8 (Fraud),Malebolge (10 pits of deceit),Geryon (hypocrisy),Earls of Hell,Ose (deception),,
9 (Treachery),Frozen lake (Satan eats Judas),Lucifer (betrayal),Emperor of Hell,Asmodeus (revenge),,
Type,Nature,Exorcism Method,Quranic Reference,,,
Ifrit,"Fire-born, powerful",Recite Ayat al-Kursi (Q2:255),Quran 27:39,,,
Marid,"Water-born, arrogant",Olive oil + Surah Al-Ikhlas,Hadith (Ibn Majah),,,
Ghoul,"Shapeshifting, corpse-eater",Salt + Surah Al-Falaq,Pre-Islamic poetry,,,
Qarin,"Personal ""shadow jinn""",Constant dhikr (remembrance),Quran 43:36,,,
Hinn,"Animalistic, desert-dweller",Burn oud (agarwood),Kitab al-Aghani,,,
Demon,Role in Witchcraft,Punishment Recommended,Associated Heresy,,,
Satan,Ultimate tempter,Burning at the stake,All heresies,,,
Incubi,Male demons seducing women,Exorcism + penance,Sexual immorality,,,
Succubi,Female demons seducing men,Confession + fasting,Lust,,,
Belial,Corrupts clergy,Defrocking + imprisonment,Simony,,,
Asmodeus,Destroys marriages,Annulment + scourging,Adultery,,,
