1600 BCE,,Roman period,,Cult of Osiris,Throughout Egypt,Priests of Osiris,"Death and resurrection mysteries, afterlife preparation, mock burial rituals",Most widespread Egyptian mystery tradition
1600 BCE,,500 CE,,Cult of Isis,"Throughout Egypt, later Rome",Priestesses of Isis,"Feminine mysteries, magic, healing, fertility rites",Spread throughout Mediterranean world
1550.0,,1070 BCE,,Cult of Amun-Ra,Thebes (Luxor),High Priests of Amun,"Solar worship, divine kingship rituals, hidden knowledge",Politically powerful priesthood during New Kingdom
1500 BCE,,Roman period,,Cult of Thoth,Hermopolis,Scribal priests,"Writing, mathematics, astronomy, magic formulae",Preserved scientific and magical knowledge
1500 BCE,,300 BCE,,Cult of Ptah,Memphis,Artisan priests,"Creation mysteries, sacred geometry, craftsman initiation",Influenced concepts of divine creation through word and thought
1500 BCE,,392 CE,,Eleusinian Mysteries,"Eleusis, Greece",Hierophant family of Eumolpidae,"Agricultural cycle, death/rebirth, sacred drama, kykeon ritual",Most prestigious mystery cult of ancient world
1600.0,,525 BCE,,Heliopolitan Priesthood,Heliopolis,High Priests of Ra,"Solar theology, cosmology, astronomical calculations",Developed influential creation myths
1600 BCE,,Roman period,,Cult of Anubis,Throughout Egypt,"Embalmers, mortuary priests","Mummification rituals, funerary rites, psychopomp ceremonies",Guardians of transition between life and death
1500 BCE,,Roman period,,Cult of Hathor,Dendera,Priestesses of Hathor,"Music, dance, intoxication rituals, feminine mysteries",Preserved artistic traditions and celebratory rites
1500 BCE,,300 CE,,House of Life,Various temple complexes,"Scribal priests, physicians","Medical knowledge, text preservation, astronomical calculations",Library and educational institution within temples
1500 BCE,,392 CE,,Lesser Eleusinian Mysteries,"Agrae, Athens",Lesser priests,"Purification rituals, preparatory teachings",Preliminary to Greater Mysteries
700.0,,300 BCE,,Orphic Mysteries,Throughout Greece,Attributed to Orpheus,"Soul purification, vegetarianism, gold tablets with afterlife instructions",Influenced Pythagoreans and Platonists
700 BCE,,400 CE,,Cult of Cybele,"Phrygia, later Rome",Galli (eunuch priests),"Ecstatic rites, self-castration, bull sacrifice (taurobolium)",Anatolian mother goddess worship that spread to Rome
530.0,,450 BCE,,Pythagorean Sisterhood,"Croton, Italy",Theano (Pythagoras's wife),"Female philosophical community, mathematical mysticism",Early example of women's philosophical organization
500.0,,300 BCE,,Dionysian Mysteries,Throughout Greece,"Maenads, male priests","Ecstatic trance, wine rituals, dismemberment symbolism, wild mountain dancing",Offered emotional release outside societal norms
400.0,,186 BCE,,Bacchic Mysteries,"Italy, Greece",Various Bacchantes,"Nocturnal rites, wine consumption, sexual license",Suppressed in Rome after Bacchanalian scandal of 186 BCE
400.0,,200 BCE,,Samothracian Mysteries,Island of Samothrace,Priests of the Kabeiroi,"Naval protection rituals, initiation ceremonies",Particularly popular with sailors and travelers
369 BCE,,300 CE,,Andanian Mysteries,"Messenia, Greece",Local priestly families,"Agricultural fertility rites, purification ceremonies",Regional mystery cult with detailed surviving regulations
400 BCE,,300 CE,,Cult of Hecate,"Lagina, Caria",Priestesses of Hecate,"Nocturnal rites, crossroads magic, necromancy",Focused on liminal spaces and transformation
530.0,,450 BCE,,Pythagorean Brotherhood,"Croton, Italy","Pythagoras, Philolaus","Mathematics as mysticism, harmony of spheres, vegetarianism, reincarnation",Founded mathematical mysticism tradition
500.0,,300 BCE,,Corybantic Mysteries,"Phrygia, Greece",Corybantes priests,"Ecstatic dancing, healing of mental disorders, weapon dances",Therapeutic use of music and movement
387 BCE,,529 CE,,Academy of Plato,Athens,"Plato, later scholarchs","Dialectic method, theory of forms, contemplation practices",First formal philosophical school in Western tradition
307 BCE,,300 CE,,Epicurean Garden,Athens,Epicurus,"Atomic theory, pursuit of gentle pleasures, freedom from fear",Alternative philosophical community open to women and slaves
305 BCE,,400 CE,,Cult of Serapis,Alexandria,Ptolemaic priests,"Syncretic Greco-Egyptian mysteries, healing, afterlife",Created to unify Greek and Egyptian populations
300.0,,100 BCE,,Skeptic School,Athens,"Pyrrho, Sextus Empiricus","Suspension of judgment, inner tranquility through non-attachment",Developed systematic doubt methodology
300 BCE,,200 CE,,Stoic School,"Athens, Rome","Zeno of Citium, Chrysippus, Seneca","Virtue ethics, cosmological determinism, rational self-control",Influenced Roman philosophical thought
300.0,,330 CE,,School of Iamblichus,Syria,Iamblichus,"Theurgic Neoplatonism, ritual magic, divine hierarchies",Combined philosophical study with ritual practice
200 BCE,,70 CE,,Essenes,"Dead Sea area, Judea",Teacher of Righteousness,"Ritual purity, communal property, apocalypticism",Dead Sea Scrolls community
204 BCE,,400 CE,,Cult of Magna Mater (Rome),Rome,"Galli priests, Roman aristocrats","Public festivals, secret initiation ceremonies, taurobolium",Officially sanctioned eastern cult in Rome
200 BCE,,400 CE,,Cult of Attis,"Rome, Asia Minor",Devotees of Attis,"Spring rituals, self-castration (for some priests), pine tree ceremonies",Connected to Cybele worship
100 BCE,,300 CE,,Bacchic Groups (post-suppression),"Italy, Roman provinces",Various local leaders,Modified Dionysian rituals adapted to avoid legal restrictions,Underground continuation after official suppression
100 BCE,,200 CE,,Neo-Pythagoreans,"Alexandria, Rome","Apollonius of Tyana, Numenius",Revival of Pythagorean teachings with Platonic elements,Bridge between Pythagoreanism and Neoplatonism
100.0,,300 CE,,Mysteries of Jupiter Dolichenus,Roman military sites,Military priests,Syncretic worship combining Roman and Syrian elements,Popular among Roman legionaries
100 BCE,,100 CE,,Therapeutae,"Lake Mareotis, Egypt",Unknown leaders,"Contemplative study, allegorical interpretation, gender equality",Jewish contemplative community described by Philo
100 BCE,,400 CE,,Mithraic Mysteries,Throughout Roman Empire,Unknown priests,"Seven-grade initiation system, bull-slaying ritual (tauroctony), communal meals",Popular among soldiers and merchants
100 BCE,,400 CE,,Isiac Mysteries (Roman),Roman Empire,Priests and priestesses of Isis,"Daily temple rituals, initiation ceremonies, spring boat festivals",Adaptation of Egyptian Isis worship for Romans
200.0,,529 CE,,Neoplatonic School,"Alexandria, Athens","Plotinus, Porphyry, Proclus, Hypatia","Emanation theory, theurgy, unification with the One",Final synthesis of Greek philosophical mysticism
200.0,,400 CE,,Mithraeum of San Clemente,Rome,Unknown patron,Standard Mithraic worship with distinctive artwork,Well-preserved underground temple beneath church
200.0,,300 CE,,Mithraeum of Carrawburgh,"Hadrian's Wall, Britain",Roman military officers,Frontier variation of Mithraic practice,Demonstrates spread to Roman provinces
270.0,,400 CE,,Cult of Sol Invictus,Roman Empire,Emperor Aurelian (promoter),"Solar worship, imperial cult elements",Official state religion before Christianity
100 CE,,present,,Mandaeans,Mesopotamia,John the Baptist (claimed),"Repeated baptisms, star lore, elaborate priesthood",Only surviving Gnostic group to present day
100.0,,400 CE,,Sethians,"Egypt, Syria",Unknown founders,"Focus on Seth as illuminator, complex cosmology, baptismal rituals",Produced numerous significant Nag Hammadi texts
140.0,,300 CE,,Valentinians,"Alexandria, Rome","Valentinus, Ptolemy, Heracleon","Sophisticated emanation system, sacramental practices, allegorical interpretation",Most successful and widespread Gnostic school
120.0,,300 CE,,Basilidians,Alexandria,Basilides,"365 heavens cosmology, complex emanation theory, magical names",Influential Alexandrian Gnostic school
130.0,,200 CE,,Carpocratians,Alexandria,"Carpocrates, Epiphanes","Radical freedom from moral law, community of property, antinomian practices",Considered extremely radical even by other Gnostics
100.0,,300 CE,,Ophites,"Syria, Egypt",Unknown leaders,"Serpent veneration, inverse biblical interpretation, sexual rituals",Reversed traditional biblical symbolism
100 BCE,,200 CE,,Therapeutae,Near Alexandria,Unknown founders,"Contemplative community, allegorical scripture interpretation",Possible bridge between Jewish and Christian monasticism
150.0,,300 CE,,Naassenes,Syria,Unknown leaders,"Serpent symbolism, Adamic mysticism, syncretism with mystery religions",Preserved in Hippolytus's accounts
150.0,,300 CE,,Chaldean Oracles Group,Rome,"Julian the Chaldean, Julian the Theurgist","Theurgic practices, summoning rituals, oracle interpretation",Influenced later Neoplatonism
150.0,,300 CE,,Cainites,"Egypt, Syria",Unknown leaders,"Veneration of biblical villains (Cain, Esau, Judas), inversion of traditional values",Extreme example of gnostic biblical reinterpretation
156.0,,700 CE,,Montanists,"Phrygia, North Africa","Montanus, Priscilla, Maximilla","Ecstatic prophecy, asceticism, imminent apocalypticism",Early Christian charismatic movement
200.0,,400 CE,,Borborites,"Syria, Egypt",Unknown leaders,"Allegedly practiced extreme libertine rituals, ritualized sexual practices",Known mainly through heresiological accounts
200.0,,400 CE,,Hermetic Lodges,Alexandria,Attributed to Hermes Trismegistus,"Alchemy, astrology, theurgy, philosophical contemplation",Produced the Corpus Hermeticum texts
200.0,,500 CE,,Theurgic Hermetists,"Alexandria, Egypt",Unknown practitioners,"Magical rituals, statue animation, invocation of gods",Practical application of Hermetic principles
200.0,,400 CE,,Temple of Thoth Final Schools,Egypt,Last Egyptian priests,Preservation of ancient magical practices during Christian era,Last custodians of traditional Egyptian knowledge
200.0,,700 CE,,Alexandrian Alchemical Circles,Alexandria,"Zosimos of Panopolis, Mary the Jewess","Laboratory alchemy, symbolic transmutation, mystical visions",Developed alchemical apparatus and procedures
230.0,,553 CE,,Origenists,"Alexandria, Palestine","Origen, Evagrius Ponticus","Universal salvation theory, allegorical exegesis, spiritual ascent",Intellectual mystical tradition eventually condemned
240.0,,1000+ CE,,Manichaeans,"Persia, spread globally",Mani,"Radical dualism, light particles trapped in matter, strict asceticism",Most successful gnostic-influenced religion
250.0,,500 CE,,Desert Fathers/Mothers,Egyptian desert,"Anthony the Great, Pachomius, Amma Syncletica","Extreme asceticism, spiritual warfare, continuous prayer",Founders of Christian monasticism
360.0,,600 CE,,Messalians,"Syria, Asia Minor",Various wandering ascetics,"Continuous prayer, rejection of sacraments, claimed direct experience of Holy Spirit",Influenced later Byzantine mysticism
370.0,,600 CE,,Priscillianists,"Spain, Gaul",Priscillian of Avila,"Asceticism, apocryphal texts, possible astrological practices",First Christians executed for heresy by secular authority
400.0,,600 CE,,Euchites,"Syria, Constantinople",Unknown leaders,"Continuous prayer, claimed ability to see Trinity directly",Mystical prayer movement considered heretical
400.0,,600 CE,,Hesychasts (early),"Syria, Egypt","Evagrius Ponticus, John Climacus","Prayer of the heart, breath control techniques, inner stillness",Early development of what became Orthodox mysticism
400.0,,1000 CE,,Harranians,Harran (Turkey),Thabit ibn Qurra,"Planetary worship, Hermetic-Sabianist syncretism",Preserved Hermetic knowledge into Islamic era
390.0,,415 CE,,School of Hypatia,Alexandria,Hypatia,"Mathematics, astronomy, Neoplatonic philosophy",Female-led philosophical school
500.0,,565 CE,,Circle of Olympiodorus,Alexandria,Olympiodorus the Younger,"Alchemy, Aristotelian-Neoplatonic synthesis",Bridge between pagan philosophy and early medieval thought
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
150 BCE,,68 CE,,Qumran Community,"Qumran, Dead Sea",Unknown leaders,"Ritual baths, strict calendar, messianic expectations",Preserved significant library of texts
