"Muslim Illuminationist and Sufi traditions, focusing on light metaphysics and mystical ascent, with columns for date, region, key figure, key texts, stages of the path, ascent narratives, and key terms. Only numeric years are used in the date column.",,,,,,
Date,Region,Key Figure(s),Key Text(s),Stages of the Path (Tariqah),Ascent Narratives / Experiences,Key Terms / Concepts
700.0,Arabia,Prophet Muhammad,"Qur'an, Hadith",Islam → Iman → Ihsan,Mi'raj (Night Journey),"Nūr (Light), Sirat (Path), Mi'raj"
800.0,"Iraq, Persia","Hasan al-Basri, Rabi'a al-Adawiyya","Early Sufi sayings, Kitab al-Luma'","Zuhd (Asceticism), Tawba (Repentance)","Ecstatic states (hal), visions of light","Fana (Annihilation), Baqa (Subsistence)"
950.0,Persia,"Junayd of Baghdad, Hallaj","Kitab al-Tawasin, Risala al-Qushayriya","Maqam (Stations), Hal (States)","Annihilation in God, mystical union","Tawhid (Unity), Nūr Muhammadi (Light of Muhammad)"
1100.0,"Persia, Iraq",Abu Hamid al-Ghazali,"Ihya Ulum al-Din, Mishkat al-Anwar","Tazkiya (Purification), Ma'rifa (Gnosis)",Gradual ascent through knowledge and love,"Mishkat (Niche), Nūr (Light)"
1155–1191,Persia,Shahab al-Din Suhrawardi,"Hikmat al-Ishrāq (Philosophy of Illumination), Hayakal al-Nur","Takhalli (Emptying), Tahalli (Adorning), Tajalli (Manifestation)","Ascent through realms of light (alam al-anwar), visionary encounters","Ishrāq (Illumination), Nūr al-Anwar (Light of Lights), Alam al-Mithal (Imaginal Realm)"
1200.0,"Persia, Iraq","Abu al-Najib Suhrawardi, Shihab al-Din Suhrawardi (Sufi)",Awarif al-Ma'arif,"Sufi initiatic stages (suluk), companionship","Spiritual ascent, unveiling (kashf)","Tariqa, Kashf (Unveiling), Wilayah (Sainthood)"
1200–1240,Andalusia,Ibn Arabi,"Futuhat al-Makkiyya, Fusus al-Hikam",Sharia → Tariqa → Haqiqa → Marifa,"Mi'raj al-Ruh (spiritual ascent of the soul), visions of Divine Light","Wahdat al-Wujud (Unity of Being), Barzakh (Isthmus), Nūr Muhammadi"
1250.0,Anatolia,Jalaluddin Rumi,"Masnavi, Divan-e Shams","Love, longing, annihilation, union","Ascent through love, intoxication, union","Ishq (Divine Love), Sema (Whirling), Fana, Baqa"
1300–1500,"Persia, India","Sufi Orders (Naqshbandi, Chishti, Nimatullahi, etc.)","Sufi manuals, poetry","Multiple stages (maqamat), spiritual exercises","Dreams, visions, light-filled experiences","Murshid (Guide), Dhikr (Remembrance), Nūr"
