PIE Deity,Role/Function,Greek,Roman,Vedic,Norse (Scandinavia and Iceland),Slavic,Baltic,Buddhist (Sanskrit),Pronunciation (English Approx.),Gauls,Celts,Albanian,Armenia,Iran,Ossetia,Ireland,Wales,Other groups,Notes
*Dʰéǵʰōm,Earth Mother,Gaia,Terra Mater,Prithvi,Jörð,Mat Zemlya,Žemyna,Bhūmi (Mother Earth),DHEH-ghom,,,,,,,,,Hittite: Daganzipa,"Prithvi Mata in the Vedic tradition is the consort of Dyaus Pita and mother of many gods, including Indra."
*Diwós Sūnū,"Twin horsemen gods associated with fertility, oaths, sons of the sky god, and healing","Dioscuri (Castor, Pollux), Gemini","Dioscuri, Gemini",Ashvins,Hengist and Horsa,Lel and Polel,"Ašvieniai, Dieva Dēli",—,Dye-wos SWOO-nus,,,,,,,,,,"Twin sons of Dyḗws, protectors of oaths and divine aid in battle, often depicted as horsemen. Reflected in the Vedic Ashvins and the Greek Dioscuri."
*Dyēus Ph₂tḗr,"Sky Father, chief god",Zeus Pater,Jupiter,Dyaus Pita,Týr (partially),"Div, Dievas","Dievas, Dievs",,Dye-OOS PAH-ter,,,,,,,,,Old High German: Ziu,"Dyēus Pətḗr is the Sky Father, overseeing justice, honor, and order in the Proto-Indo-European pantheon. His sacred animals include the eagle, wolf, lion, bull, and swan. Dyēus governs the day-lit sky, and his symbols include the shield, sky-blue color, and eagle. He is a patron of kings, inspiring leadership and law. He is father to Áusōs and other deities. Often called Dyáuṣ Pitṛ́ in Vedic tradition, associated with the daylight sky, consort of Prithvi (Earth) and father of Indra, Surya, and Ushas. Indra, a thunder and warrior god, is born from Dyaus and Prithvi, analogous to Zeus being born in later Greek theogonies. Indra shares thunderous attributes with Zeus."
*H₁n̥gʷnis,"Fire god, sacrificial fire",Hephaestus (fire aspect),Vulcan (fire aspect),Agni,Loki (fire aspect),"Svarog, Svarozhits",Ugnis,—,ING-wis,—,—,,,,,,,Hittite: Agnis,"The Proto-Indo-European god of fire, associated with both terrestrial and celestial flames. In Vedic mythology, Agni is the god of fire, and similar deities include Hephaestus (fire aspect), Loki (in his fire associations), and Svarog."
*h₂éḱmōn,Primordial god of the sky and cosmic order,Uranus (Ouranos),—,Varuna,Ymir (cosmos),—,—,—,AHK-mon,,,,,,,,,,"Áḱmōn is the primordial sky god, said to be begotten from the skull of Yemos and tied to the upper realms of the sky. He represents order in the cosmos."
*H₂epom Nepōts,"Water god, divine herder",Poseidon,Neptune (later),Apam Napat,Njörðr (partially),—,—,—,H2-EH-pom NEH-pots,—,—,,,,,,,Avestan: Apām Napāt,"Apám Nápāt in the Vedas is a fire deity residing in water. God of waters, especially connected to the sea and rivers."
*H₂eryo-men,God of hospitality and welfare,—,—,Aryaman,—,—,—,—,HAIR-yo-men,Ariomanus,Érimón,,,,,,,Avestan: Airyaman,"The Proto-Indo-European deity *H₂eryo-men is responsible for the welfare of the community, marital ties, and pathways/roads. In the Vedic tradition, Aryaman is the god of hospitality and marriage, reflecting similar functions. In Iranian traditions, Airyaman represents the tribal network and is invoked for healing and protection against illness and evil. The Irish hero Érimón, who became the first king of the Milesians, also shares aspects of *H₂eryo-men's role, especially concerning marriage and social order."
*H₂éwsōs,Dawn goddess,Eos,Aurora,Ushas,Ēostre,Zorya,Aušrinė,—,H2-EH-wos,—,—,,,,,,,"Albanian: Prende, Armenian: Arshaluys","Daughter of *Dyēus, the goddess of dawn, often depicted as a beautiful young woman bringing light and renewing the day. Various dawn goddesses exist in multiple Indo-European traditions. Ushas in Vedic tradition is the daughter of Dyēus and brings the dawn; Ushas is also described as dancing and wearing red garments."
*H₂ner-,"Hero, Primal man","Aner (ἀνήρ, ""man"")",-,Nara,Nerthus (possibly),-,-,,,,,,,,,,,-,"Anthropogenic deity, reconstruction uncertain."
*H₂weh₁-yú,God of wind and storm,Aeolus (Wind aspect),Venti,Vayu/Vāta,—,—,Vėjas,—,HWAH-yoo,—,—,,,,,,,—,"*H₂weh₁-yú, derived from the PIE root h₂weh₁- meaning ""to blow"" or ""breathe,"" is a wind deity. In Indo-Iranian tradition, Vayu-Vāta represents wind as a dual divinity, with Vayu associated with controlled winds and Vāta linked to violent, stormy winds. Other cognates include Aeolus in Greek myth and Venti in Roman tradition. The deity's role varies slightly across cultures but is consistently associated with wind or storm phenomena."
