"Kashmir Shaivism: Trika, Kaula, and Related Traditions",,,,,,
Category,Practice/Concept,Description & Methodology,Trika Focus,Kaula Focus,Related Traditions/Texts,Date (CE)
Meditation,Pratyabhijñā (Recognition),"Direct realization of identity with Shiva via self-inquiry and philosophical contemplation. Central to the Pratyabhijñā school, emphasizing recognition of one’s true nature as Shiva.",Central (Jnana-oriented),Supported,"Pratyabhijñā-hṛdayam, Īśvara-pratyabhijñā-kārikā",9th–11th
,Śāmbhavopāya,"Effortless absorption in pure consciousness, transcending mind and technique. Considered the highest path (anupaya).","Highest, subtle",Less emphasized,"Mālinīvijayottara Tantra, Tantrāloka",9th–10th
,Śāktopāya,"Meditation on Shakti using mantra, visualization, and subtle internal practices.",Common,Key,"Tantrasadbhāva, Vijñāna Bhairava Tantra",8th–9th
Mantra & Japa,Mālini Mantra,Sacred syllables representing divine energy; central in Trika and Kaula initiations.,Important,Core,Mālinīvijayottara Tantra,9th
,Parāparā Vidyā,"Supreme mantra (e.g., so’ham, aham) for advanced self-realization.",Central,Advanced practice,Parātrīśikā Vivaraṇa,10th
Ritual (Kriya),Kaula Pūjā,"Tantric worship involving Pancha Makara (five sacred substances), often in secretive group settings.",Rare (ascetic),"Central (left-hand path, group)","Kulārṇava Tantra, Kaulajñāna-nirṇaya",10th–11th
,Mandala & Yantra,Construction and visualization of sacred diagrams for goddess worship and cosmogenesis.,Core (Trika goddesses),Integrated,"Mālinīvijayottara Tantra, Tantrāloka",9th–10th
,Bhūtaśuddhi,Purification of elements (tattvas) through inner alchemy and visualization.,Common,Intensified,"Netra Tantra, Tantrāloka",9th–10th
Yoga,Kundalini Yoga,"Awakening of Kundalini through breath, mantra, visualization, and subtle physiology (chakras, bindu, etc.).",Part of Śāktopāya,Essential,"Vijñāna Bhairava Tantra, Śiva Sūtras",8th–9th
,Spanda Karika Contemplation,Observing the divine pulsation (Spanda) in all experiences; recognizing the vibration of consciousness.,Key (Spanda School),Secondary,"Spanda Kārikā, Spanda Sandoha",9th
,Yoga of the Triad (Trika),"Worship of Parā, Aparā, Parāparā—the three goddesses representing will, knowledge, and action.",Core (Trika theology),Integrated,Tantrāloka,10th
Non-Dual Practices,Vijñāna Bhairava Tantra,"112 centering techniques (dharanas) for direct experience of Bhairava (Shiva consciousness), including breath, sense withdrawal, mantra, and paradoxical methods.",Revered,Adapted,Vijñāna Bhairava Tantra,8th
Guru-Disciple,Śaktipāta (Grace),"Transmission of spiritual power (shakti) from guru to disciple, awakening inner knowledge and spiritual potential.",Critical,Equally vital,"Tantrāloka, Śiva Sūtras",9th–10th
Secret Practices,Kula Rituals,"Esoteric group practices, including sexual and charnel ground rituals; focus on transcendence, unity, and the dissolution of dualities.",Rare,Core (Kaula lineage),"Kulārṇava Tantra, Jayadratha-yāmala",10th–11th
,Group Practice & Reflection,"Group rituals to create a spiritual family (kaula), using mutual reflection (pratibimba) to accelerate realization.",Some presence,Central,"Tantrāloka, Kaulajñāna-nirṇaya",10th
