"This chart should not be read as 1-to-1 but showing some of the permutations, similarities, and repeating patterns.",,,,,,,,,,,,,,,,,,,,
Concept,Proto-Indo-European,Vedic,Iranian/Avestan/Zoroastrian,Germanic,Roman,Greco/Roman,Israelite,Israelite Genesis,Canaanite,Vedic,Christian,Hittite,Egyptian,Ugaritic,Babylonian-Akkadian,Sumerian,Hurrian,Nuristani,Baltic,Prussian
Father Sky God,Dyēus Pitr,Djayus Pitr,Ahura Mazda,Týr (Tiwaz),Mars,"Ouranos, Cronus, Zeus",Yahweh,Adam,Baal,Dyaus Pitr,The Father,Anu,Ra,El,Anu,An,"Kumarbi (Father of Teššub, grain god), Tarhun, Teššub",Imra (Yama),Jumis,Widewuto
Mother Earth Goddess,Dʰéǵʰōm,Pṛthvī (Pṛthvī Mātā),Spandarmad (Spenta Armaiti),Jǫrð (Earth),"Rhea Silvia, Venus",Gaia,Asherah,Eve,Asherah,Pṛthvī Mātā,Mary (Mother of God),Hebat,Nut,Asherah,Ki,Ki,"Ḫepat (wife of Teššub, originally Syrian)",Yamrai (associated with Earth),Jumala (female twin of Jumis),"Szwaybrutto (Bruteno, female aspect)"
First Priest (Brother 1),Manu ('Man'),"Manu, Puruṣa","Ahriman, Spityura, Manūščihr, Aŋra Mainyu",Mannus,Romulus,Zeus,Adam,Cain,,Indra,Barabas,Teššub,Imhotep,Baal,Marduk,Enki,"Teššub, Tarhun (Hurrian sky god, weather deity)",Jim Raza,Jumis,Viras (brother of Bruteno)
First King (Brother 2),Yemo ('Twin'),"Yama (Manāvī), Bhairav","Yima, Jamshīd, Gayōmart  (Ahura Mazdā told Yima of a terrible winter to come. He was instructed to build an excellent domain under the earth, lit by its own light, and take in it the best individuals from each species to preserve their seed. There they should dwell through the winter’s destruction, then emerge and repopulate the earth.)","Ymir, Tuisto",Yemos (Remus),Hades,Lilith,Abel,,Yama (Bhairav),Yeshua (Satan),Ullikummi,Osiris,Yamm,Gilgamesh,Enlil,"Kumarbi (Father of Teššub, overthrown by his son)",Imra (Yama),Jumis,Bruteno (brother of Widewuto)
First Warrior (Brother 3),Trito ('Third'),"Trita (Shiva, Trishul)",Thraētona (son of Thrita),"Þriði, Hymir",Herakles,"Triton, Poseidon, Herakles",Eve,Seth,,Shiva (Trishul),Michael (Angel),Tarhun (Illuyanka),Horus,Baal Sapon,Ninurta,Ninurta,"Šarruma (Son of Teššub, warrior god, mountains)","Mara (Killer, Death)",Troyan (Slavic connection),—
First Mammal,Primordial Cow,"Manu's Bull, Vṛṣabha, (Aghnya)",Gōšūrvan (Primordial Ox),Auðhumla (Primordial Cow),She-Wolf,Io (Moon Bull),Bull,Bull,,Vacā (Speech),Lamb (of God),Inara (Helper of Tarhun),"Apis, Hathor",—,Tiamat,Asag,Šeri and Ḫurri (Bulls pulling Teššub's chariot),Yamrai (perhaps linked to the sacred cow),Jumala (female counterpart of Jumis),—
Heavenly Gods,"Sky Father, Storm-god, Divine Twins",Devas,"Ahura Mazda, Asuras, Devas",Óðinn and his brothers,Senators,"Olympian gods (Zeus, Poseidon)","Elohim, Yahweh (Heavenly host)",,Elohim,Devas,"Elohim, Angels","Tarhun, Storm gods",Horus,Baal,Enlil,Enlil,"Teššub, Šimige (Sun god), Kušuḫ (Moon god)",Mara,"Jumis, heavenly chthonic gods","Widewuto, Viras, Bruteno"
Three-headed Serpent,Ngwhi,"Vṛtrá (áhi), Nagas","Ahriman, Aži Dahāka",Fáfnir (dragon/serpent),"Geryon, Cacus","Geryon, Cacus, Typhon, Hydra","Nāḥāš (נחש‎), Hebrew for ""snake""",,Ahi (Vṛtrá),The Serpent (Satan),Satan,Apep,Litan (Lotan),"Tiamat, Litan (Lotan)",Asag,"Asag, Illuyanka (Serpent defeated by Tarhun)",,—,—,—
Helper God,Hanēr ('Man'),Indra,"Vr̥traghna (Smasher of Resistance), Mithra",Þórr,Mercury,Helios,Gabriel (Angel),Gabriel (Angel),,Indra,"Jesus, Gabriel (Angel)",Inara (helps Tarhun),Nephthys,—,Ea (Enki),Enki,Tašmišu (Helper of Teššub),—,—,—
Stolen Present,Cattle,"Cows, Soma",Women,Goats (?),Cattle,Cattle,"Knowledge, Innocence, Immortality","Cattle, Innocence, Eternal Life",Innocence,Cows,"Innocence, Eternal Life",Tarhun's heart and eyes (stolen by Illuyanka),—,—,Tablets of Destiny,Tablets of Destiny,Tilla (Helper of Teššub),—,Jumis (fertility gifts),—
