Comprehensive Historical Timeline of Turan and Danavas,,,,
Date Period,Key Developments,,,
2500-2000 BCE,Early Indo-European migrations begin.,,,
2500-2000 BCE,Possible origins of Danu concept as a primordial water goddess in proto-Indo-European mythology.,,,
2500-2000 BCE,"Development of early Sintashta and Andronovo cultures in Central Asia, potential ancestors of later Indo-Iranian peoples.",,,
2000-1500 BCE,Formation of early Vedic culture in the Indian subcontinent.,,,
2000-1500 BCE,Early Indo-European migrations. Possible origins of Danu concept as a primordial water goddess13.,,,
2000-1500 BCE,Composition of the earliest hymns of the Rig Veda begins.,,,
2000-1500 BCE,Early conceptualization of devas and asuras with fluid boundaries between groups.,,,
2000-1500 BCE,"First mentions of Danu in Rig Veda 1.32.9, associated with primordial waters.",,,
1500-1000 BCE,"Composition of early Rig Veda verses. Earliest references to Danu in Rig Veda 1.32.9. Vritra mentioned as son of Danu. In books 2-7 of Rig Veda, Vrtra is not considered an asura or demon. No mention of Danu or Danavas in books 2-7 of Rig Veda. Early flexible conceptualization of deities and asuras with fluid boundaries between groups.",,,
1500-1000 BCE,Composition of early Rig Veda verses continues.,,,
1500-1000 BCE,Vritra mentioned as son of Danu in Rig Veda.,,,
1500-1000 BCE,"Books 2-7 of Rig Veda composed, showing no mention of Danu or Danavas.",,,
1500-1000 BCE,Development of early Iranian cultures in Central Asia and Iranian plateau.,,,
1200-1000 BCE,Composition of later Rig Veda verses; more antagonistic portrayal of Vritra and other Danavas emerges.,,,
1000-800 BCE,"Development of Vedic mythology including genealogy of Asuras. Brahma's six sons established in mythology. Marichi fathers Kashyapa. Kashyapa marries thirteen of Daksha's daughters, including Diti and Danu. Diti's children become Daityas; Danu's children become Danavas. Etymology of Danavas from Vedic word ""Da"" (to give), connoting generosity according to Ananda Coomaraswamy.",,,
1000-800 BCE,Brahma's six sons established in mythology; Marichi fathers Kashyapa.,,,
1000-800 BCE,"Kashyapa marries thirteen daughters of Daksha, including Diti and Danu.",,,
1000-800 BCE,Diti's children become Daityas; Danu's children become Danavas.,,,
1000-800 BCE,"Etymology of Danavas from the Vedic word ""Da"" (to give), connoting generosity according to Ananda Coomaraswamy.",,,
800-600 BCE,"Evolution of Danu concept as primordial waters in which her son Vritra hides to deceive Indra. Vritra described both as ""son of Danāyu"" in Mahābhārata and ""son of Danu"" in Ṛigveda, showing textual variations. Gradual shift from ambiguous moral status to more antagonistic portrayal of Danavas. One hundred Danavas mentioned in texts.",,,
800-600 BCE,"Vritra described both as ""son of Danāyu"" in Mahābhārata and ""son of Danu"" in Ṛigveda, showing textual variations.",,,
800-600 BCE,Gradual shift from ambiguous moral status to more antagonistic portrayal of Danavas.,,,
800-600 BCE,One hundred Danavas mentioned in texts.,,,
700-500 BCE,Development of Zoroastrian texts; Tuiryas (Turanians) mentioned alongside Airyas (Aryans).,,,
700-500 BCE,Zoroaster preaches to Turanians; some accept his message while others reject it.,,,
700-500 BCE,Development of Fravashis concept with righteous men and women among both Aryas and Tuiryas.,,,
600-500 BCE,"Earliest mention of Turan in Farvardin Yasht. Tuiryas (Turanians) mentioned alongside Airyas (Aryans), Sairimas (Sarmatians), Sainus (Sacae) and Dahis (Dahae). Zoroaster preaches to Turanians; some accept his message while others reject it. Development of Fravashis concept with righteous men and women among both Aryas and Tuiryas.",,,
600-500 BCE,Earliest mention of Turan in Farvardin Yasht; hostility between Tuirya and Airya indicated in Farvardin Yasht where Fravashis support battle against Danus (clan of Tura people).,,,
500-300 BCE,Mythological story of Danavas' exile from Svarga during Satya Yuga. Danavas take refuge in the Vindhya range. Compilation of Hindu epics including Mahabharata begins. Genealogical history of Asuras formalized. Danavas portrayed as half-brothers to the devas and daityas. Hostility between Tuirya and Airya indicated in Farvardtn Yast where Fravashis of the Just provide support in battle against the Danus (clan of Tura people).,,,
500-300 BCE,Compilation of Hindu epics including Mahabharata begins; genealogical history of asuras formalized.,,,
