Comparison Table: Major Eurasian Myths and Parables with Chapter/Verse Citations,,,,,,
Myth/Parable Name,Culture/Tradition,Core Theme/Plot,Main Figures/Deities,Chapter & Verse or Source Citation,Notes/Comparative Motifs,
Chaoskampf (Dragon-Slaying),Greek,"Zeus battles Typhon, restoring cosmic order","Zeus, Typhon","Hesiod, Theogony 820–868","Paralleled in Norse (Thor vs. Jörmungandr), Vedic (Indra vs. Vritra), Judeo-Christian (Yahweh vs. Leviathan), Egyptian (Ra vs. Apep), Chinese (Yu vs. Xiangliu)1.",
Chaoskampf (Dragon-Slaying),Norse,Thor battles the world serpent Jörmungandr,"Thor, Jörmungandr","Prose Edda, Gylfaginning 51",See above.,
Chaoskampf (Dragon-Slaying),Vedic (Indian),Indra slays serpent Vritra to release waters,"Indra, Vritra","Rigveda 1.32, 10.89",See above.,
Chaoskampf (Dragon-Slaying),Judeo-Christian,"Yahweh defeats Leviathan, symbolizing victory over chaos","Yahweh, Leviathan",Isaiah 27:1; Psalm 74:14; Job 41,See above.,
Chaoskampf (Dragon-Slaying),Egyptian,Ra battles chaos serpent Apep nightly,"Ra, Apep","Book of the Dead Spell 7, 39, 108",See above.,
Chaoskampf (Dragon-Slaying),Chinese,Yu the Great defeats the nine-headed serpent Xiangliu,"Yu the Great, Xiangliu",Classic of Mountains and Seas (Shan Hai Jing),See above.,
Ouroboros,"Egyptian, Greek, Norse","Serpent/dragon eating its own tail, symbolizing eternity and cycles","Ouroboros, Jörmungandr",Egyptian: Tomb of Tutankhamun; Greek: Chrysopoeia of Cleopatra; Norse: Prose Edda Gylfaginning 34,"Also appears in Vedic, South American mythologies1.",
Parable of the Sower,Jewish/Christian,"Seeds fall on various soils, symbolizing responses to divine message",Jesus (as storyteller),"Matthew 13:3–9, 18–23",One of many parables in the Gospels2.,
Parable of the Weeds,Jewish/Christian,"Wheat and weeds grow together, separated at harvest",Jesus (as storyteller),"Matthew 13:24–30, 36–43",Allegory of good and evil2.,
Parable of the Mustard Seed,Jewish/Christian,"Small seed grows into large tree, symbolizing the kingdom of heaven",Jesus (as storyteller),Matthew 13:31–32,"Simple, image-based teaching2.",
Parable of the Hidden Treasure,Jewish/Christian,"Treasure hidden in a field, found and valued above all",Jesus (as storyteller),Matthew 13:44,Teaches about the value of the kingdom2.,
Parable of the Net,Jewish/Christian,"Net catches good and bad fish, sorted at the end",Jesus (as storyteller),Matthew 13:47–48,Sorting of righteous and wicked2.,
Nathan’s Parable of the Lamb,Jewish,Story of rich man stealing poor man’s lamb to confront King David,"Nathan, King David",2 Samuel 12:1–7,Parable as a prophetic device2.,
Allegory of the Eagles & Vine,Jewish,"Two eagles and a vine, symbolizing Israel and its fate",Ezekiel (as storyteller),"Ezekiel 17:3–10, 17:11–21",Allegorical interpretation follows2.,
Fable of the Trees,Jewish,"Trees seek a king, choose thornbush",Jotham (as storyteller),Judges 9:8–15,Example of mashal (fable) in Hebrew scripture2.,
Death and Resurrection Motif,"Indo-European, Near East",God/hero dies and returns from the dead,"Yemo, Jesus, Inanna/Ishtar, Ara",Rigveda 10.13; Matthew 28; Descent of Inanna; Armenian folklore3,"Shared motif of death, underworld, and return3.",
Parable of the Cooking Pot,Jewish,"Jerusalem as a cooking pot, symbolizing coming judgment",Ezekiel (as storyteller),Ezekiel 24:3–5,"Vivid, allegorical warning2.",
Fable of the Thornbush,Jewish,"Thornbush boasts to cedar, is trampled",Jehoash (as storyteller),2 Kings 14:9–10,Political allegory2.,
Key,,,,,,
"Chapter & Verse/Source Citation: Where possible, direct references to canonical texts or chapters are provided.",,,,,,
"Comparative Motifs: Many myths and parables share themes across Eurasia, such as the chaoskampf (hero vs. serpent/dragon), death and resurrection, and the use of parables for moral or spiritual teaching123.",,,,,,
