Date,Original Form/Name (Transliteration),Language/Culture,Deity / Figure,Solar / Messianic / Syncretic Attributes,Evidence/Sources,Region,Syncretized / Related Deities / Figures,Iconography / Artistic Motifs,
c. 2500 BCE,mitrás (reconstructed),Proto-Indo-European,Proto-Mitra/Mithra,"Contract, cosmic order, solar associations","Comparative linguistics, PIE religion studies","Pontic-Caspian, Central Asia","Proto-Varuna, Proto-Surya","Solar disk, fire, chariot, ritual oaths",
c. 1400 BCE,𐎷𐎰𐎼 (mi-it-ra),Mitanni (Hurrian/Indo-Aryan),Mitra,"Oath, contract, divine witness, solar aspect","Mitanni treaties, cuneiform tablets",Northern Mesopotamia,"Varuna, Indra, Surya","Treaty formulas, solar motifs",
c. 1200 BCE,मित्र (Mitra),Vedic Sanskrit,Mitra,"God of contracts, friendship, truth, morning sun, Aditya","Rigveda, Atharvaveda, Brahmanas","India, Iran","Varuna, Surya, Savitr, Vishnu","Solar chariot, lotus, sunrise, ritual fire",
c. 1200 BCE,רֶשֶׁף (Resheph),"West Semitic, Aramaic",Resheph,"Plague, solar, warrior, protector","Ugaritic texts, Aramaic inscriptions, magical texts","Levant, Aram, Phoenicia","Apollo, Nergal, Shamash","Armed figure, solar disk, horses",
c. 1000 BCE,שמש (Shamash),"West Semitic, Aramaic",Shamash,"Sun god, justice, cosmic order","Aramaic magical texts, Palmyrene inscriptions, Hebrew Bible","Mesopotamia, Levant","Mithra, Surya, Helios","Solar disk, chariot, judge's staff",
c. 900 BCE,𐬨𐬌𐬚𐬭𐬀 (Miθra),Avestan (Old Iranian),Mithra,"All-seeing, covenants, light, justice, solar attributes, warrior, protector","Avesta (Yasht 10), Zoroastrian texts","Iran, Central Asia","Ahura Mazda, Hvar Khshaita, Rashnu, Vohu Manah","Solar rays, chariot, judge, warrior, eye motif",
c. 500 BCE–300 CE,מִתְרָא (Mitra) / מראן מִתְרָא (Maran Mithra),Palmyrene Aramaic,Mithra (Maran Mithra),"Sun god, cosmic judge, mediator, savior, oath-keeper","Palmyrene inscriptions, temple dedications, J. Teixidor, Pantheon of Palmyra","Palmyra, Hatra, Syria","Iranian Mithra, Sol, Helios","Solar disk, altar, handshake, chariot, radiant crown",
c. 500 BCE,"Mehr, Mihr, Myhr","Middle Persian, Parthian, Sogdian",Mihr/Mithra,"Sun god, light, justice, protector, cosmic order","Sogdian and Parthian inscriptions, iconography, Persian texts","Iran, Central Asia","Shamash, Surya, Sol, Apollo","Solar disk, chariot, halo, judge's staff",
c. 500 BCE–present,תַּמּוּז (Tammuz),"Aramaic, West Semitic",Tammuz,"Dying-and-rising god, vegetation, seasonal rebirth","Aramaic magical texts, onomastics, Hebrew Bible, Ezekiel 8:14","Mesopotamia, Levant","Adonis, Osiris, Dionysus","Dying god, mourning women, rebirth imagery",
c. 100 BCE,Μίθρας (Mithras),"Greek, Anatolian, Roman",Mithras,"Solar, cosmic mediator, bull-slayer (tauroctony), savior, initiator, justice, warrior","Archaeological finds (Mithraea), reliefs, inscriptions, Roman texts","Anatolia, Rome, Empire-wide","Helios, Sol Invictus, Apollo, Sabazios, Serapis","Tauroctony, radiant crown, banquet, cave, zodiac",
c. 200 CE,Μίθρας-Ἥλιος (Mithras-Helios),Greco-Roman,Mithras-Helios,"Solar syncretism, cosmic ruler, initiatory light, judge","Iconography in Mithraea, inscriptions, Julian's Hymn to the Sun","Roman Empire, Asia Minor","Helios, Sol Invictus, Apollo","Solar rays, chariot, globe, radiant crown",
c. 474 BCE,मित्र (Mitra) (continued),"Sanskrit, Indian languages",Mitra,"Friendship, solar deity, guardian of dawn/day, Aditya","Later Vedic, Puranic texts, Indian languages","India, Nepal","Surya, Savitr, Vishnu, Adityas","Chariot, lotus, sun, halo",
