,,,,,,,,
Period,Name/Form,Culture/Region,Attributes/Associations,Evidence/Notes,,,,
,,,,,,,,
,,,,,,,,
Period / Era,Region / Culture,Deity / Figure,Solar / Messianic / Syncretic Attributes,Iconography / Artistic Motifs,Evidence / Notes,,,
c. 3000–2000 BCE,–,"Minoan, Pre-Greek Aegean","Fertility, vegetation, ecstatic rites, wine","Minoan iconography on Crete depicts ecstatic, nature-oriented cults; indirect precursors to Dionysus8.",,,,
c. 2000–1500 BCE,–,"Anatolian, Thracian, Minoan","Chthonic fertility, wine, ritual madness",Wine production and ecstatic cults in Crete and Anatolia; possible roots of Dionysian worship89.,,,,
c. 2000–1200 BCE,"Minoan, Mycenaean, Anatolian","Proto-Dionysus, Proto-Apollo","Fertility, light, ecstatic rites, healing, oracles; chthonic and solar aspects begin to merge","Minoan and Mycenaean art: ecstatic figures, early solar symbols","Linear B tablets (di-wo-nu-so), Anatolian solar gods",,,
c. 2000–1200 BCE,"Minoan, Mycenaean, Anatolian",Pre-Greek Ecstatic Cults,"Early fertility, wine, and ecstatic rites; women and outsiders central in cult activity",Minoan Crete iconography; Linear B tablets (di-wo-nu-so); Mycenaean cult evidence1234,,,,
c. 1400–1200 BCE,di-wo-nu-so,"Mycenaean Greek (Pylos, Chania)","Early theonym, god of wine, vegetation","Linear B tablets from Pylos and Chania; first written form of Dionysus’ name, showing him as a god689.",,,,
c. 1200–900 BCE,–,"Post-Mycenaean Aegean, Thrace","Transition, syncretism with local deities",Collapse of palace culture; Dionysian elements merge with local and Thracian fertility cults89.,,,,
c. 1200–500 BCE,"Greece, Anatolia, Thrace","Apollo, Dionysus, Sabazios","Apollo: light, prophecy, healing, solarization; Dionysus: rebirth, ecstasy, vegetation, underworld, solar associations emerge","Apollo’s laurel, lyre, radiant crown; Dionysus with ivy, thyrsus, and sometimes radiant/halo motifs","Homeric Hymns, Orphic texts, early Greek art",,,
c. 900–700 BCE,"Zagreus, Sabazios","Thrace, Phrygia, Northern Balkans","Chthonic, rebirth, mystery cults",Zagreus myth (son of Zeus and Persephone) emerges; Sabazios (Phrygian/Thracian) shares ecstatic traits289.,,,,
c. 900–500 BCE,"Thrace, Phrygia, Greece","Sabazios, Zagreus, Local Chthonic Gods",Thracian/Phrygian ecstatic gods (Sabazios); Zagreus myth (Orphic Dionysus) with rebirth and underworld themes,Orphic texts; spread of Dionysian mysteries; merging with local deities7,,,,
c. 800–600 BCE,Dionysus,Archaic Greece,"Wine, fertility, theater, ritual madness","Homeric Hymns, Hesiod; Dionysus appears in literary sources, but is marginal in Homeric epics289.",,,,
c. 6th–4th c. BCE,"Achaemenid Persia, Asia Minor","Apollo, Dionysus, Mithra","Persian sun-god Mithra influences Greek solar and soteriological motifs; dualism, salvation, cosmic order",Persian-influenced dress and crowns in Anatolian Apollo and Dionysus depictions,"Persian-style sculpture in Greek sanctuaries, Mithraic iconography in Asia Minor",,,
c. 6th–4th c. BCE,"Achaemenid Persia, Asia Minor",Persian Religious Influence,"Zoroastrian dualism and rebirth myths parallel Orphic-Dionysian themes (death, dismemberment, renewal)",Nonnus’ Orphic myth parallels with Persian Bundahishn; Greek mystics influenced by Persian religious ideas67,,,,
