Year (CE),Text,Tradition,Description,Region,Estimated Saints Listed
250-300,Acta Martyrum,Early Christianity,"Earliest records of Christian martyrs, collected accounts of persecutions",Roman Empire,~500+ (fragmentary records)
400.0,Hieronymian Martyrology,Catholic,"One of the earliest Christian calendars listing saints, attributed to St. Jerome",Roman Empire,"~2,000"
450-550,Syriac Martyrology,Eastern Christianity,"Early list of saints and martyrs, influential in the Syriac tradition",Syria/Mesopotamia,~500
600.0,Gelasian Sacramentary,Catholic,Contains liturgical prayers and commemorations of saints,Rome,"~1,200"
650.0,Mozarabic Calendar,Catholic (Hispanic Rite),Lists saints venerated in Visigothic Spain,Iberian Peninsula,~500+
750.0,Martyrology of Bede,Catholic,Early English martyrology listing various saints and feasts,Anglo-Saxon England,"~1,300"
800.0,Carolingian Martyrologies,Catholic,Regional saint lists compiled in Francia,Frankish Empire,"~1,500"
850.0,Martyrology of Florus & Ado,Catholic,Refinement and expansion of earlier martyrologies,France,"~2,000+"
858.0,Menologion of Basil II,Orthodox,Collection of saint biographies and feast days compiled under Byzantine Emperor Basil II,Byzantine Empire,"~4,000+"
900.0,Byzantine Synaxarion,Orthodox,Daily calendar of saints and their feast days used in Orthodox liturgy,Constantinople,"~6,000+"
1050.0,Roman Martyrology (Oldest Form),Catholic,The first widely used official Catholic list of saints,Rome,"~3,000+"
1100.0,Synaxarion of Constantinople,Orthodox,"Expansion of the Byzantine Synaxarion, listing saints and commemorations",Byzantine Empire,"~7,000+"
1583.0,Menaion (Slavic Edition),Orthodox (Russian),Liturgical book containing saint feast days for each month,Russia,"~8,000+"
1584.0,Revised Roman Martyrology,Catholic,First official printed edition of the Martyrology under Pope Gregory XIII,Rome,"~4,500+"
1613.0,Menologium Graecorum,Orthodox,"Greek Orthodox compilation of saints, similar to the Martyrology",Greece,"~9,000+"
1748.0,Acta Sanctorum (Complete Edition),Catholic,"Multi-volume work documenting lives of saints, compiled by the Bollandists",Belgium,"~25,000+"
2001.0,Martyrologium Romanum (Modern Edition),Catholic,Updated edition of the official Catholic Martyrology,Vatican,"~7,000+"
Ongoing,Synaxaria of Various Orthodox Churches,Orthodox,Various national churches continue adding saints to their synaxaria,Global,"~20,000+"
,,,,,
,,,,,
Summary of Total Saints Across Traditions:,,,,,
"Roman Catholic Canonized Saints (Modern Estimate): 10,000+",,,,,
"Eastern Orthodox Recognized Saints (Modern Estimate): 20,000+",,,,,
"Total Estimated Saints Across Both Traditions: 30,000+ (with some overlap)",,,,,
