Comprehensive Timeline of Tantric Traditions: Historical Development and Lineages,,,,,,
Hindu Tantric Traditions,,,,,,
School/Sect,Approximate Period,Location,Main Founders/Figures,Royal Patronage,Philosophical Distinctions,Core Texts
Proto-Tantra (Atharvavedic elements),c. 1000-500 BCE,Northern India,Unknown,Pre-imperial era,"Early magical practices, ritual technology","Sections of Atharvaveda (Padoux, 2017)"
Early Shaiva Tantra,c. 450-650 CE,Kashmir/Southern India,Unknown,"Early Gupta, Vakatakas","Non-dualistic metaphysics, yogic practices","Early Shaiva Āgamas (Sanderson, 1988)"
Pāśupata Shaivism,c. 200-500 CE,"Mathura, Gujarat",Lakulisha,Guptas,"Ascetic, monastic lineage, emphasis on penance","Pāśupatasūtra, Gaṇakārikā (Hara, 2002)"
Kāpālika/Kālāmukha,c. 500-1200 CE,Pan-Indian,Unknown,Various regional kingdoms,"Extreme asceticism, antinomian practices","Surviving only in quotations (Lorenzen, 1972)"
Kaula Tantra,c. 700-1000 CE,"Kashmir, Northern India",Matsyendranātha,Karkota dynasty (Kashmir),"Embodied liberation, secret rituals","Kubjikā Tantras, Kaula Tantras (White, 2003)"
Trika Shaivism,c. 800-1000 CE,Kashmir,"Vasugupta, Abhinavagupta","Later Karkota, Utpala dynasties","Supreme non-dualism, sophisticated metaphysics","Śiva Sūtras, Tantrāloka (Muller-Ortega, 1989)"
Krama Tradition,c. 800-1200 CE,Kashmir,"Jñānanetranātha, Abhinavagupta","Utpala, Lohara dynasties","Sequential realization, feminine principle","Krama Tantras (Sanderson, 2007)"
Pratyabhijñā,c. 900-1150 CE,Kashmir,"Somānanda, Utpaladeva, Abhinavagupta","Utpala, Lohara dynasties","Recognition philosophy, sophisticated epistemology","Īśvarapratyabhijñākārikā (Torella, 2002)"
Spanda,c. 850-1000 CE,Kashmir,"Vasugupta, Kṣemarāja","Utpala, Lohara dynasties","Vibrational cosmology, subtle energy","Spandakārikā (Dyczkowski, 1992)"
Śrīvidyā,c. 800-1300 CE,"Tamil Nadu, Kerala",Unknown,"Chola, Pandya dynasties","Goddess worship, detailed ritual technology","Paraśurāma Kalpasūtra, Tripurā Upanishads (Brooks, 1990)"
Kubjikā Tradition,c. a700-1200 CE,"Nepal, Western India",Unknown,"Western India, Nepal kingdoms","Esoteric goddess worship, complex mandalas","Kubjikā Tantras (Dyczkowski, 2009)"
Kālī-oriented Tantra,c. 1000-1700 CE,"Bengal, Assam",Unknown,"Pala, Sena, Ahom","Fierce goddess worship, cremation ground practices","Kālīkula Tantras, Mahānirvāṇa Tantra (Urban, 2001)"
Nātha Tradition,c. 1000-1400 CE,Northern India,"Matsyendranātha, Gorakshanātha",Various regional kingdoms,"Hatha yoga, alchemical practices","Gorakṣaśataka, Haṭhayogapradīpikā (Mallinson, 2011)"
Buddhist Tantric Traditions,,,,,,
School/Sect,Approximate Period,Location,Main Founders/Figures,Royal Patronage,Philosophical Distinctions,Core Texts
Proto-Tantric Buddhism,c. 500-600 CE,Eastern India,Unknown,Later Guptas,"Dhāraṇī practices, early visualization","Dhāraṇī collections (Davidson, 2002)"
Kriyā Tantra,c. 600-700 CE,Eastern India,Unknown,"Later Guptas, Harsha","Ritual purification, deity visualization","Susiddhikara Sūtra (Hodge, 2003)"
Caryā/Upāya Tantra,c. 700-800 CE,Eastern India,Unknown,Pala dynasty,"Emphasis on mental practice, balance","Mahāvairocana Sūtra (Weinberger, 2003)"
Yoga Tantra,c. 750-850 CE,Eastern India,Unknown,Pala dynasty,"Complex mandalas, subtle body practices","Sarvatathāgatatattvasaṃgraha (Skilling, 2010)"
Mahāyoga Tantra,c. 750-900 CE,"Eastern India, Tibet","Padmasambhava, Vimalamitra","Pala dynasty, Tibetan Empire","Wrathful deities, complex visualization","Guhyagarbha Tantra (Dalton, 2004)"
Anuttarayoga Tantra,c. 850-1100 CE,"Eastern India, Tibet","Virūpa, Nāropa, Tilopa",Pala dynasty,"Union of wisdom and means, highest yoga","Hevajra Tantra, Cakrasamvara Tantra (Gray, 2007)"
