Etymological Evolution of Apollo: Chronological Table,,,,,,,,,,,,,,,,,,
Approximate Date,Stage,Form/Name,Language/Culture,Meaning/Interpretation,Evidence/Sources,Region,Syncretized Deities,,,,,,,,,,,
c. 1500–1200 BCE,Pre-Greek,Apal'un,Anatolian (Pre-Greek),"Uncertain; possibly ""protector""","Hittite treaties, e.g. Alaksandus Treaty",Western Anatolia,"Hurrian Aplu, Hittite plague gods",,,,,,,,,,,
c. 1280 BCE,Hurrian/Hittite,Appaliunaš,Hittite,"Tutelary god, linked to plague/gates",Alaksandus Treaty (Wilusa/Troy),Troy/Wilusa,"Hurrian Aplu, Mesopotamian Nergal",,,,,,,,,,,
c. 1350–1200 BCE,Mycenaean,A-pa-li-u,Mycenaean Greek,Early theonym (function unclear),"Linear B tablets (Knossos, Pylos)","Crete, Mainland Greece","Cretan hunting gods, Minoan Kouros",,,,,,,,,,,
c. 900–700 BCE,Doric Greek,Apellōn (Ἀπέλλων),Dorian Greek,"""Assembly god"" (from apella)","Spartan institutions, early poetry","Sparta, Arcadia",Arcadian Nomios (pastoral),,,,,,,,,,,
c. 800–600 BCE,Archaic Greek,Apóllōn (Ἀπόλλων),Greek,"""Destroyer""/""Purifier"" (folk etym.)","Homeric Hymns, Hesiod’s Theogony",Panhellenic,"Phoebus, Paean (healer)",,,,,,,,,,,
c. 600–323 BCE,Classical Greek,Phoebus Apollo,Attic Greek,"""Radiant"" (solar)","Delphi inscriptions, Pindar, Aeschylus","Delphi, Athens","Helios, Mithras",,,,,,,,,,,
c. 700–400 BCE,Cypro-Archaic,Apollo Hylates,Cypriote Greek,"""God of the wood""",Kourion sanctuary dedications,Cyprus,"Reshef (Phoenician), local woodland gods",,,,,,,,,,,
c. 323–30 BCE,Hellenistic,Apollo Helios,Greco-Egyptian,Solar syncretism,"Orphic Hymns, Julian’s Hymn to Helios","Egypt, Asia Minor","Sol Invictus, Serapis",,,,,,,,,,,
433 BCE (temple built),Roman Republican,Apollo Medicus,Roman,"Healer, plague-averting","Livy, Ovid, temple records",Rome,"Etruscan Apulu, Celtic Belenus",,,,,,,,,,,
c. 30 BCE–300 CE,Roman Imperial,Apollo,Roman,"Patron of Augustus, imperial symbol","Augustus’ Actium Monument, Virgil’s Aeneid","Rome, Empire-wide","Sol Invictus, Helios",,,,,,,,,,,
Key Regional Adaptations & Syncretisms (with Dates),,,,,,,,,,,,,,,,,,
Approx. Date,,Syncretized Deity,,Attributes,Evidence,Region,Syncretized Deities,,,,,,,,,,,
c. 700–400 BCE,,Apollo Lykegenes,,"""Born in Lycia"", archery","Homeric epithets, Leto cults",Lycia (Anatolia),,,,,,,,,,,,
c. 700–400 BCE,,Apollo Alasiôtas,,"""God of Alashiya""",Bilingual dedications at Idalion,Cyprus,,,,,,,,,,,,
c. 700–400 BCE,,Apollo Nomios,,Pastoral god,Arcadian cult sites,Arcadia,,,,,,,,,,,,
c. 400–100 BCE,,Apollo Mikal,,Fusion with Reshef,Kition inscriptions,Phoenician Cyprus,,,,,,,,,,,,
c. 600–200 BCE,,Apulu,,"Solar-warrior, healing","Etruscan mirrors, temple dedications",Etruria,,,,,,,,,,,,
,Timeline of Linguistic Evolution,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,c. 1500–1200 BCE: Anatolian Apal'un → Hittite Appaliunaš (Wilusa/Troy),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,c. 1350–1200 BCE: Mycenaean A-pa-li-u (Linear B tablets),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,"c. 900–700 BCE: Doric Apellōn (Sparta, Arcadia)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,"c. 800–600 BCE: Homeric Apóllōn (Panhellenic, Archaic Greece)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,"c. 600–323 BCE: Phoebus Apollo (Classical Greece, Delphi)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,c. 700–400 BCE: Apollo Hylates (Cyprus),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,c. 323–30 BCE: Apollo Helios (Hellenistic solar syncretism),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,433 BCE: Apollo Medicus (Roman temple built),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,c. 30 BCE–300 CE: Imperial Apollo (Roman Empire),,,,,,,,,,,,,,,,,
,Notes,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Dates are approximate and based on earliest or most significant attestations.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,"Syncretisms often overlap in time and region, especially in the Hellenistic and Roman periods.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,"Some forms (e.g., Apal'un, Appaliunaš) are reconstructed and not directly attested in Greek sources.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,The Roman cult of Apollo Medicus is specifically dated to the founding of his temple in Rome after a plague in 433 BCE.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,"If you need a visual timeline or further expansion on any entry, let me know!",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Evidence/Notes,Period,Name/Form,Culture/Region,Attributes/Associations,,,,,,,,,,,,,,
Early Bronze Age Anatolian and Near Eastern cults; no direct Apollo attestation,c. 3000–2000 BCE,-,"Proto-Anatolian, Near East","Plague, purification, oracular rites",,,,,,,,,,,,,,
Hurrian Aplu (Aplu = “son” in Hurrian); Anatolian healing and plague deities,c. 2000–1500 BCE,"Aplu, Apal","Hurrian, Anatolian","Plague god, purification, protection",,,,,,,,,,,,,,
"Hittite treaties (Alaksandus Treaty, c. 1280 BCE); name parallels “Apollo”",c. 1600–1200 BCE,Appaliunas,Hittite (Wilusa/Troy),"Tutelary god, protector, plague-averting",,,,,,,,,,,,,,
Anatolian inscriptions; Leto (Apollo’s mother) has Anatolian roots,c. 1500–1200 BCE,-,"Luwian, Lydian, Carian",Local guardian and healing deities,,,,,,,,,,,,,,
"Linear B tablets (Knossos, Pylos); possible precursor to Apollo",c. 1350–1200 BCE,A-pa-li-u,Mycenaean Greek,"Early theonym, uncertain function",,,,,,,,,,,,,,
Iconography on Minoan seals; cults later linked to Artemis and Apollo,c. 1400–1200 BCE,-,Minoan Crete,"Bow-wielding “Master of Animals”, hunting gods",,,,,,,,,,,,,,
"Collapse of palace culture; regional cults merge Anatolian, Minoan, and Greek traits",c. 1200–900 BCE,-,Post-Mycenaean Aegean,"Transition, syncretism with local deities",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Date,Stage / Variant,Form/Name,Language/Culture,Meaning/Interpretation,Evidence/Sources,Region,Syncretized / Related Deities / Figures,,,,,,,,,,,
c. 1500–1200 BCE,Pre-Greek,Apal'un,Anatolian (Pre-Greek),"Possibly ""protector""","Hittite treaties (Alaksandus Treaty), Anatolian linguistics",Western Anatolia,"Hurrian Aplu, Hittite plague gods",,,,,,,,,,,
c. 1400 BCE,Bronze Age Levant,Mikal (Reshef Mikal),Canaanite/Semitic,"Warrior, plague, protection deity; epithet of Reshef",Beth Shan stele; Phoenician inscriptions;34,"Levant, Cyprus","Reshef, Nergal, Apollo (Amyklos)",,,,,,,,,,,
c. 1280 BCE,Hurrian/Hittite,Appaliunaš,Hittite,"Tutelary god, gates/plague","Alaksandus Treaty (Wilusa/Troy), Hittite archives",Troy/Wilusa,"Hurrian Aplu, Nergal (Mesopotamian)",,,,,,,,,,,
c. 1350–1200 BCE,Mycenaean,A-pa-li-u,Mycenaean Greek,Early theonym (unclear function),"Linear B tablets (Knossos, Pylos)","Crete, Mainland Greece","Cretan hunting gods, Minoan Kouros",,,,,,,,,,,
c. 900–700 BCE,Doric Greek,Apellōn (Ἀπέλλων),Dorian Greek,"""Assembly god"" (from apella)","Spartan institutions, Doric month Apellaios, early poetry","Sparta, Arcadia",Arcadian Nomios (pastoral),,,,,,,,,,,
c. 900–400 BCE,Phoenician-Cypriot,Reshef Mikal,Phoenician/Cypriot,"Plague god, protector, solar attributes",Kition and Idalion inscriptions; bilingual dedications;1234,Cyprus,"Apollo Amyklos, Apollo Hylates, local Cypriot gods",,,,,,,,,,,
c. 800–600 BCE,Archaic Greek,Apóllōn (Ἀπόλλων),Greek,"""Destroyer""/""Purifier"" (folk etym.)","Homeric Hymns, Hesiod’s Theogony, Plato’s Cratylus",Panhellenic,"Phoebus, Paean (healer)",,,,,,,,,,,
c. 700–400 BCE,Cypro-Archaic,Apollo Hylates,Cypriote Greek,"""God of the wood""","Kourion sanctuary dedications, Cypriot inscriptions",Cyprus,"Reshef (Phoenician), woodland gods",,,,,,,,,,,
c. 700–400 BCE,Anatolian/Lycian,Apollo Lykegenes,Greek/Anatolian,"""Born in Lycia"", archery","Homeric epithets, Leto cults, archaeological evidence in Lycia",Lycia (SW Anatolia),Local Anatolian gods,,,,,,,,,,,
c. 700–400 BCE,Cypriot,Apollo Alasiôtas,Greek/Cypriot,"""God of Alashiya""","Idalion bilingual dedications, archaeological finds",Cyprus,Local Cypriot gods,,,,,,,,,,,
c. 700–400 BCE,Aeolian,Apollo Gryneios,Greek/Aeolian,Oracular deity,"Inscriptions, oracular remains at Gryneion","Gryneion (Aeolis, Asia Minor)",Local oracular deities,,,,,,,,,,,
c. 700–400 BCE,Arcadian,Apollo Nomios,Greek,"""Of the pastures,"" shepherd deity","Arcadian cult sites, Pausanias",Arcadia,Arcadian pastoral gods,,,,,,,,,,,
c. 700–400 BCE,Dorian,Apollo Carneios,Greek (Dorian),"Pastoral, military god","Spartan festival Carneia, Pausanias, archaeological evidence","Sparta, Dorian Greece",Dorian pastoral gods,,,,,,,,,,,
c. 700–400 BCE,Troad/Asia Minor,Apollo Smintheus,Greek/Anatolian,"""Mouse Apollo,"" plague-averting","Homer (Iliad), temple at Chryse, coins, Anatolian cult sites","Troad, Asia Minor","Anatolian, possible Egyptian mouse cults",,,,,,,,,,,
c. 700–400 BCE,Delphi/Crete,Apollo Delphinios,Greek,"Linked to dolphins, sea, purification","Delphic cult, Cretan inscriptions, Pausanias","Delphi, Crete",Sea deities,,,,,,,,,,,
c. 700–400 BCE,Hyperborean,Apollo Hyperboreios,Greek (mythic),"Northern, shamanic, Scythian traits","Herodotus, Pindar, Hyperborean myths","North Aegean, Scythia","Shamanic, northern deities",,,,,,,,,,,
