Complete Table of Sudhana's 53 Teachers in the Gaṇḍavyūha Sūtra,,,,
No.,Teacher (Sanskrit/Chinese),Location,Teaching / Realization,Citation
1.0,Mañjuśrī (Wenshu 文殊),Sāgaramegha Monastery,Introduces the Bodhisattva Path,"Vol. 60, Ch. 39"
2.0,Meghaśrī (Yunji 云吉),Sukhavatī (极乐地),"""All phenomena are like clouds—transient yet illuminating""","Vol. 60, Ch. 39"
3.0,Sāgaramegha (Haiyun 海云),Sāgaramegha City,"""Meditate on the ocean of Buddha-wisdom""","Vol. 60, Ch. 39"
4.0,Supratiṣṭhita (Shanzhu 善住),Vairocanaraśmi Stupa,"""Unshakable faith arises from seeing the Buddha's light""","Vol. 60, Ch. 39"
5.0,Mukta (Jietuo 解脱),Muktāvana (解脱林),"""Liberation is found in non-attachment""","Vol. 60, Ch. 39"
6.0,Āśā (Xiwang 希望),Sarvajñāloka Monastery,"""Purify aspirations to align with Dharma""","Vol. 60, Ch. 39"
7.0,Bhīṣmottaranirghoṣa (Poxiujia 普眼),Sumeru (须弥山),"""Teach the Dharma fearlessly, like a lion's roar""","Vol. 60, Ch. 39"
8.0,Jayottama (Shengui 胜慧),Vajra Cave (金刚窟),"""Victory over delusions comes through wisdom""","Vol. 60, Ch. 39"
9.0,Prabhūta (Guangxian 光显),Vimalaprabha City,"""Infinite generosity benefits all beings""","Vol. 60, Ch. 39"
10.0,Vaira (Boluo 波罗),Ratnavyūha Monastery,"""Patience is the armor of a Bodhisattva""","Vol. 60, Ch. 39"
No.,Teacher (Sanskrit/Chinese),Location,Teaching / Realization,Citation
11.0,Ratnacūḍa (Baozhu 宝珠),Ratnākara (宝海),"""The Dharma is a jewel hidden in daily life""","Vol. 61, Ch. 40"
12.0,Sundaraśrī (Miaode 妙德),Vimalaprabha Forest,"""Beauty arises from virtuous conduct""","Vol. 61, Ch. 40"
13.0,Vidyā (Mingzhi 明智),Jñānāloka (智慧光),"""True knowledge dispels ignorance""","Vol. 61, Ch. 40"
14.0,Punyaraśmi (Fuguang 福光),Puṇyaprabha City,"""Merit is the foundation of enlightenment""","Vol. 61, Ch. 40"
15.0,Indriyeśvara (Genben 根本),Indra's Palace,"""Mastery of senses leads to liberation""","Vol. 61, Ch. 40"
16.0,Prabhā (Guangming 光明),Prabhāvatī City,"""Radiate compassion like sunlight""","Vol. 61, Ch. 40"
17.0,Acalā (Budong 不动),Acalā Stupa,"""Immovable determination in practice""","Vol. 61, Ch. 40"
18.0,Sāgaradhara (Haizang 海藏),Ocean Treasury,"""The mind is vast like the ocean""","Vol. 61, Ch. 40"
19.0,Vimala (Wugou 无垢),Vimala Monastery,"""Purity is seeing the mind's true nature""","Vol. 61, Ch. 40"
20.0,Nārāyaṇa (Naluoyan 那罗延),Divine Abode,"""Power comes from Dharma, not force""","Vol. 61, Ch. 40"
No.,Teacher (Sanskrit/Chinese),Location,Teaching / Realization,Citation
21.0,Mahādeva (Datian 大天),Deva Realm,"""All realms are linked through compassion""","Vol. 62, Ch. 41"
22.0,Ānanda (Anan 阿难),Jetavana Grove,"""Complete retention of all teachings""","Vol. 62, Ch. 41"
23.0,Śivarāgra (Shipa 师婆),Ishana City,"""Balance between discipline and freedom""","Vol. 62, Ch. 41"
24.0,Vasumitrā (Мiaoyou 妙友),Ratnavyūha City,"""Transform desire into enlightenment""","Vol. 62, Ch. 41"
25.0,Veṣṭhila (Shizhi 實智),Suvarṇabhūmi,"""Realize the truth in ordinary activities""","Vol. 62, Ch. 41"
26.0,Avalokiteśvara (Guanyin 观音),Potalaka Mountain,"""Compassion manifests in infinite forms""","Vol. 63, Ch. 42"
27.0,Ananyagāmin (Wuqingxing 无尽行),Ananyagāmin Forest,"""Progress without regression on the path""","Vol. 63, Ch. 42"
28.0,Mahādharma (Dafa 大法),Dharmaloka City,"""All phenomena arise from mind alone""","Vol. 63, Ch. 42"
29.0,Mahāmegha (Dayun 大云),Tathāgata Shrine,"""Rain Dharma upon all beings equally""","Vol. 63, Ch. 42"
30.0,Muktaka (Jietuoshen 解脱身),Muktaka Temple,"""True freedom comes from within""","Vol. 63, Ch. 42"
No.,Teacher (Sanskrit/Chinese),Location,Teaching / Realization,Citation
31.0,Sāradhvaja (Jianghui 精进慧),Sāramaṇḍala Forest,"""Diligence is the essence of practice""","Vol. 64, Ch. 43"
32.0,Jayoṣmāyatana (Huixing 慧幢),Durgatiman Mountain,"""Wisdom illuminates the darkest ignorance""","Vol. 64, Ch. 43"
33.0,Siṃhavijṛmbhitā (Shiziwang 师子王),Siṃhavijṛmbhitā Palace,"""Fearless proclamation of the truth""","Vol. 64, Ch. 43"
34.0,Vāsantī (Chuntian 春天),Sumāgadhā Garden,"""Renewal of practice with each moment""","Vol. 64, Ch. 43"
35.0,Samantanetra (Puxing 普行),Samantanetra Town,"""See all beings with equal vision""","Vol. 64, Ch. 43"
36.0,Utpalabhūti (Lianhua 莲花),Utpalabhūti City,"""Rise from the mud of saṃsāra untainted""","Vol. 65, Ch. 44"
37.0,Vaira (Zhiyuan 至愿),Samantavyūha City,"""Complete fulfillment of all vows""","Vol. 65, Ch. 44"
38.0,Jayottama (Zhishang 至上),Jayottama Mountain,"""Transcend all dualistic concepts""","Vol. 65, Ch. 44"
39.0,Amitābha (Amituo 阿弥陀),Sukhāvatī Pure Land,"""Infinite light pervades all existence""","Vol. 65, Ch. 44"
40.0,Mahāprabha (Daguang 大光),Mahāprabha City,"""Radiate wisdom to dispel darkness""","Vol. 66, Ch. 45"
No.,Teacher (Sanskrit/Chinese),Location,Teaching / Realization,Citation
41.0,Lokakṣema (Duguan 度观),Ratnaprabha Kingdom,"""Transcend worldly limitations""","Vol. 66, Ch. 45"
42.0,Sudhana (Suona 索那),Universal Light Palace,"""Child-like wonder in Dharma practice""","Vol. 67, Ch. 46"
43.0,Bharadvāja (Polotuoshou 婆罗多守),Kuśagrīva Hermitage,"""Simplicity reveals profound truth""","Vol. 67, Ch. 46"
44.0,Guṇaśārī (Gongdehua 功德华),Divine Abode,"""Virtues bloom like flowers in spring""","Vol. 68, Ch. 47"
45.0,Sucandra (Shangyue 上月),Caṇḍāla Village,"""Purity exists in the midst of impurity""","Vol. 68, Ch. 47"
46.0,Ajitasena (Wusheng 无胜),Aṅgaja City,"""Invincible through equanimity""","Vol. 69, Ch. 48"
47.0,Śiṣyamuktaka (Menlun 门轮),Śiṣyamuktaka Shrine,"""Liberation comes through perfect discipleship""","Vol. 69, Ch. 48"
48.0,Bhīṣmottara (Jingju 净居),Divine Abode,"""Fearless confrontation with defilements""","Vol. 70, Ch. 49"
49.0,Sudarśana (Shangxian 上贤),Sudarśana Mountain,"""Perfect vision sees the nature of reality""","Vol. 71, Ch. 50"
50.0,Indra (Dishi 帝释),Trāyastriṃśa Heaven,"""Leadership through selfless service""","Vol. 71, Ch. 50"
No.,Teacher (Sanskrit/Chinese),Location,Teaching / Realization,Citation
51.0,Maitreya (Mile 弥勒),Vairocanavyūha Tower,"""Tower of Infinite Realms"" vision","Vol. 72, Ch. 51"
52.0,Mañjuśrī (Wenshu 文殊) (revisited),Dhanyākara (back to origin),"""Confirmation of the completion of the path""","Vol. 73, Ch. 52"
53.0,Samantabhadra (Puxian 普贤),Dharmadhātu,"""Universal interpenetration of all phenomena""","Vol. 80, Ch. 53"
Event,Significance,Citation,,
First Encounter with Mañjuśrī,Inspiration to begin the spiritual journey,"Vol. 60, Ch. 39",,
Meeting Maitreya (Teacher 51),Enters the Tower of Infinite Realms,"Vol. 72, Ch. 51",,
Reunion with Mañjuśrī,Confirms Sudhana's progress before final teaching,"Vol. 73, Ch. 52",,
Final Teaching: Samantabhadra,Reveals the Dharma Realm's Unity,"Vol. 80, Ch. 53",,
