Date,Title,Language,Content Summary,Key Themes,Influence
2686-2181 BCE,"Egyptian Wisdom Literature (e.g., Instructions of Ptahhotep)",Ancient Egyptian,"Advice from a ""father"" to a ""son"" on moral and spiritual wisdom.","Ethics, spiritual wisdom, social order",Influenced format and themes of later Hermetic texts.
1550-50 BCE,Book of the Dead,Ancient Egyptian,Funerary texts with spells to guide the deceased through the afterlife.,"Afterlife, spiritual transformation, divine knowledge",Concepts echoed in later Hermetic ideas of spiritual ascent.
7th-6th century BCE,Orphic Hymns and Teachings,Greek,Mystical poems and religious doctrines attributed to the mythical Orpheus.,"Reincarnation, purification, mystical initiation",Influenced later Hermetic and Neoplatonic thought.
6th-5th century BCE,Pythagorean Teachings,Greek,Philosophical and mystical doctrines of Pythagoras and his followers.,"Numbers, harmony, reincarnation, cosmic order",Concepts integrated into later Hermetic philosophy.
4th century BCE,"Plato's Dialogues (e.g., Timaeus, Phaedrus)",Greek,"Philosophical discussions on the nature of reality, the soul, and knowledge.","Forms, soul, divine ascent, cosmology",Major influence on Hermetic cosmology and psychology.
3rd-1st century BCE,Stoic Philosophical Texts,Greek,"Teachings on ethics, logic, and natural philosophy.","Logos, cosmic sympathy, virtue",Concepts incorporated into Hermetic worldview.
2nd century BCE - 2nd century CE,Dead Sea Scrolls,"Hebrew, Aramaic","Religious texts of the Essenes, including apocalyptic and wisdom literature.","Dualism, mysticism, divine revelation",Parallels with some Hermetic concepts of divine knowledge.
1st century BCE - 1st century CE,Demotic Egyptian Dialogues of Thoth,Demotic Egyptian,Fragments of dialogues between Thoth and a disciple on wisdom teachings.,"Divine wisdom, spiritual instruction",Direct precursor to Greek Hermetic dialogues.
1st century BCE - 2nd century CE,Chaldean Oracles,Greek,Mystical verses blending Platonic philosophy with Eastern mysticism.,"Theurgy, cosmic hierarchy, soul ascent",Influenced later Neoplatonism and Hermeticism.
1st century BCE - 3rd century CE,The Book of Breathings,Ancient Egyptian,Esoteric text on spiritual transformation,"Deification, spiritual practices",Influenced concepts of spiritual ascent in Hermeticism
100 BCE - 400 CE,Greek Magical Papyri (PGM),"Greek, Demotic Egyptian","A collection of magical spells, invocations, and rituals, some attributed to Hermes Trismegistus.","Magic, divination, theurgy",Influenced Greco-Egyptian occultism and later Hermetic magic.
1st century BCE - 1st century CE,Stobaean Fragments,Greek,Fragments of Hermetic wisdom compiled by John Stobaeus. Discusses the soul’s journey and its divine connection.,"Soul, divine ascent, ethics",Preserved lost Hermetic texts that influenced Neoplatonism.
1st-2nd century CE,Poimandres (CH 1) (Corpus Hermeticum),Greek,A visionary dialogue where Hermes receives divine revelation about the cosmos and human salvation.,"Creation, Gnosis, spiritual rebirth",Central to later Hermetic and Gnostic thought.
1st-3rd century CE,Corpus Hermeticum (Various Treatises),Greek,"A collection of 17 dialogues on divine wisdom, creation, and spiritual transformation.","Theology, cosmology, asceticism","Influenced Neoplatonism, Gnosticism, and Christian mysticism."
2nd century CE,The Discourse on the Eighth and Ninth (CH 6-7),Greek,Mystical instruction on transcending material existence to attain divine union.,"Mysticism, enlightenment, spiritual ascent",Influenced theurgy and later Gnostic thought.
2nd-3rd century CE,The Perfect Sermon (Asclepius),"Greek, Latin","Discusses divine wisdom, prophecy, the nature of gods, and the fate of Egypt.","Prophecy, theurgy, divine law",Important in early Christian and Gnostic traditions.
3rd century CE,Definitions of Hermes Trismegistus to Asclepius,Greek,Short aphorisms outlining Hermetic teachings on the soul and cosmos.,"Ethics, cosmology, salvation",Quoted by later Neoplatonists.
6th-8th century CE (earlier oral tradition),The Emerald Tablet,"Arabic, Latin",A cryptic alchemical text linking macrocosm and microcosm.,"Alchemy, transmutation, divine unity",Foundation of medieval and Renaissance alchemy.
9th-11th century CE,"Arabic Hermetica (Kitāb sirr al-khalīqa, Picatrix, etc.)",Arabic,"Hermetic teachings mixed with Islamic occult sciences, alchemy, and astrology.","Alchemy, astrology, magic",Influenced Islamic and European esotericism.
12th-13th century CE,The Book of Hermes on the 15 Fixed Stars,Latin,Astrological treatise on celestial influences and talismanic magic.,"Astrology, celestial influence",Influenced medieval and Renaissance astrology.
750-850 CE,Sirr al-khalīqa wa-ṣanʿat al-ṭabīʿa (The Secret of Creation and the Art of Nature),Arabic,Pseudo-Aristotelian text on Hermetic teachings,"Creation, nature, occult sciences",Influenced later Arabic Hermetic traditions
900-1000 CE,Epistles of the Ikhwān al-Ṣafāʾ (The Epistles of the Brethren of Purity),Arabic,Encyclopedic work incorporating Hermetic ideas,"Syncretism, philosophy, occult sciences",Spread Hermetic concepts in Islamic intellectual circles
960 CE,"Ghāyat al-Ḥakīm (The Aim of the Sage, known as Picatrix in Latin)",Arabic,Compilation of Hermetic magical and astrological knowledge,"Astrology, talismans, planetary spirits",Major influence on Western esoteric traditions
12th-13th century CE,Liber Antimaquis,Latin,Translation of Arabic Hermetic magical text,"Planetary spirits, talismans, personal ""perfect nature""",Introduced Arabic Hermetic concepts to Latin readers
2nd-3rd century CE,Isis the Prophetess to Her Son Horus,Greek,Dialogue on cosmic mysteries and esoteric teachings,"Fall of man, divine wisdom",Influenced later Hermetic and alchemical traditions
Late Ptolemaic-Roman period,Demotic text with dialogues between Thoth and a disciple,Demotic Egyptian,Wisdom teachings in dialogue form,"Divine wisdom, spiritual instruction",Precursor to Greek Hermetic dialogues
