"Dream, Sleep, and Darkness Practices Across Indian Traditions",,,,
Practice,Tradition,Approximate Origin,Source Text,Description
Milam Yoga,Tibetan Buddhism (Nyingma/Dzogchen),767 CE,Karling Zhi-khro and Six Yogas of Naropa (1050 CE),Dream yoga practice involving recognition of dreams as dreams (lucid dreaming) and transformation of dream content. Formalized by Padmasambhava.
Gyulu/Sgyu-lus,Tibetan Buddhism (Vajrayana),825 CE,Guhyasamaja Tantra (8th century) and Six Yogas of Naropa (1050 CE),"""Illusory body"" yoga connected to dream practice, developing awareness that both waking and dreaming states are equally illusory."
Nyilam,Tibetan Buddhism (Bön and Buddhist),750 CE,"Trekchö Nang-jang (Dzogchen text) and Zhang Zhung Nyan Gyud (Bön text, pre-8th century)","""Sleep yoga"" or ""yoga of clear light"" practiced during the deep sleep state to maintain awareness during dreamless sleep."
Yangti Nagpo,Tibetan Buddhism (Nyingma),785 CE,Vima Nyingthig (Heart Essence of Vimalamitra),"""Black Quintessence"" dark retreat practice where practitioners remain in complete darkness for extended periods to induce visions and realize the nature of mind."
Thögal,Tibetan Buddhism (Dzogchen),780 CE,Nyingthig Yabzhi (Four Branches of Heart Essence),"Practice of ""leaping over"" involving darkness retreats to perceive spontaneous visual phenomena (thiglés) manifesting from primordial awareness."
Svapnadarshana,Hindu (Tantric),825 CE,Svacchanda Tantra and Vijñāna Bhairava Tantra (7th-8th century),Dream observation techniques found in tantric texts for receiving initiations and teachings through dreams.
Yoga Nidra,Hindu (Tantra/Bihar School),"Ancient practice, modern form 1940 CE","References in Upanishads (800-500 BCE), formalized in modern form by Swami Satyananda Saraswati","""Yogic sleep,"" a state between waking and sleeping used for deep relaxation and to access subconscious and unconscious dimensions."
Dhyana in Darkness,Jainism,450 CE,Tattvartha Sutra of Umasvati and Jñānārṇava (11th century),Meditative practices done in darkness (caves or darkened rooms) to eliminate visual distractions and induce inner visions.
Shoonya Meditation,Hindu (Shaivite),950 CE,Vigyan Bhairav Tantra and Shiva Sutras (9th century),Void meditation sometimes practiced in darkness to experience the formless nature of consciousness.
Sama Yoga,Hindu (Kashmir Shaivism),975 CE,Tantraloka of Abhinavagupta and Shiva Sutras,Dream yoga practice integrating dream experiences with waking awareness.
Tamaso Yoga,Hindu (Tantric),850 CE,Vijnana Bhairava Tantra (verse 38) and Rudrayamala Tantra,"""Yoga of darkness"" involving practices performed in darkness to cultivate inner light (jyoti)."
Chid Akash Dharana,Hindu (Tantric),925 CE,Vijñāna Bhairava Tantra (verses 59-60),"Concentration on the ""space of consciousness,"" often practiced with eyes closed in darkness."
Jaina Dhyana in Guha,Jainism,375 CE,Dhyanashataka and references in Acaranga Sutra,Cave-based meditations where darkness-induced visions were interpreted as spiritual insights.
Ratrijagara,Hindu (Tantric),875 CE,Rudrayamala Tantra and Kaulajnananirnaya,"""Night wakefulness"" practices where practitioners remained alert throughout the night to access liminal states of consciousness."
Hathayoga Pradipika Dream Yoga,Hindu (Hatha Yoga),1450 CE,"Hathayoga Pradipika (chapter 4, verses 49-53)",Dream yoga techniques mentioned in this medieval hatha yoga text.
Alakhya Samadhi,Hindu (Nath Tradition),1250 CE,Siddha Siddhanta Paddhati and Gorakshashataka,"""Invisible absorption"" meditation sometimes practiced in darkness to perceive subtle energy bodies."
Tamo Bhava Dhyana,Hindu (Tantric),950 CE,Mālinīvijayottara Tantra and Kularnava Tantra,"""Darkness state meditation"" using darkness to induce visionary experiences and enhance inner perception."
Khechari Mudra with Vision,Hindu (Hatha Yoga),1150 CE,Khecarividya and later in Hathayoga Pradipika (1450 CE),Advanced tongue lock practice sometimes done in darkness to induce visionary states and perception of inner light.
Bardo Yoga,Tibetan Buddhism,1050 CE,Bardo Thödol (formally compiled 14th century) and Six Yogas of Naropa,"Intermediate state practices, including dream-like states between life and death, formalized in the Bardo Thödol (Tibetan Book of the Dead)."
Andhakaradhyana,Hindu (Tantric),850 CE,Vijñāna Bhairava Tantra (verse 37) and Kularnava Tantra,"""Darkness meditation"" practices to cultivate inner illumination through contrast with external darkness."
Kaya Kalpa,Hindu (Siddha tradition),900 CE,Bogar 7000 and Tirumantiram of Tirumular,Rejuvenation practices sometimes performed in darkness to facilitate visionary experiences and bodily transformation.
Tummo with Vision,Tibetan Buddhism,1050 CE,Six Yogas of Naropa and Chakrasamvara Tantra commentaries,Inner heat yoga combined with darkness practices to induce luminous visions and altered states.
Taraka Yoga,Hindu (various),1200 CE,Gheraṇḍa Saṃhitā (verse 2.29) and Advaya Taraka Upanishad,"""Star yoga"" focusing on perception of inner lights and colors, often practiced with eyes closed or in darkness."
Phowa with Dreams,Tibetan Buddhism,1075 CE,Six Yogas of Naropa and Chakrasamvara Tantra commentaries,Consciousness transfer practice sometimes combined with dream yoga for preparation for death.
Divya Chakshu Sadhana,Hindu (Tantric),875 CE,Netra Tantra and Svacchanda Tantra,"""Divine eye"" practices involving darkness meditation to develop subtle perception."
