,,,,,,,
Approximate Date,Source Text / Artifact,Description of Maitreya,Teachings/Statements,Location in Text / Context,,,
400–300 BCE,Cakkavatti-Sīhanāda Sutta (Pali Canon),"Metteyya, future Buddha appearing when human lifespan is 80,000 years","Will revive the true Dharma, lead countless followers to enlightenment",Digha Nikaya 26; also Buddhavamsa Ch.28258,,,
100–200 CE,Mahavastu,Early mention as successor to Shakyamuni; first in list of future Buddhas,Will be born in Ketumati (Varanasi) during golden age,Lokottaravada-Mahasanghika text58,,,
100–200 CE,Divyavadana (Mula-Sarvastivada),Mentioned as a future Buddha,Narrative and prophecy context,"Sanskrit, various stories58",,,
50 BCE–50 CE,Maitreyavyakarana,"Golden complexion, born as Ajita in a brahmin family","Will attain Buddhahood under a naga tree, teach three assemblies","Sanskrit, various versions8",,,
200–400 CE,Anagatavamsa (Pali),Entire text devoted to Metteyya’s prophecy,Detailed future biography and teachings,"Pali, later Theravada text8",,,
100–200 CE,Amitabha Sutra,Listed among assembly of great bodhisattvas,"No direct teachings, presence indicates importance",Early Chinese translations (T.366)11,,,
100–200 CE,Lotus Sutra (Saddharmapundarika),"Attendant of Shakyamuni, receives prediction of Buddhahood","Receives predictions, appears in several chapters","Ch.1, Ch.6, Ch.15; Sanskrit, Chinese (T.262)911",,,
300–400 CE,Avatamsaka Sutra (Gandavyuha),Keeper of the “Tower of Infinite Realms”,Teaches Sudhana about the nature of mind,"Gandavyuha section, Ch.51 (T.279)11",,,
350–400 CE,Lankavatara Sutra,Recipient of teachings on Cittamatra,Associated with Yogacara philosophy,Chinese (T.670)5,,,
300–450 CE,Sutra of the Descent of Maitreya,"Detailed account of future appearance, physical marks, life events",Will teach under the Dragon Flower tree,"Chinese (T.453, T.456)5",,,
250–350 CE,The Lion’s Roar of Queen Srimala Sutra,Mentioned in tathāgatagarbha context,"No direct teachings, linked to Buddha-nature",Chinese (T.353)5,,,
350–400 CE,Five Treatises of Maitreya (ascribed),Asanga receives teachings from Maitreya in Tushita,"Yogacara philosophy, Buddha-nature, path to enlightenment","Sanskrit, Tibetan (Tengyur)59",,,
400–410 CE,Faxian’s Account,Describes Maitreya worship in Dardu (Pakistan),Reports on devotion and offerings,Record of Buddhist Kingdoms5,,,
455 CE,Mile Xiasheng Chengfo Jing,"Dharmaraksha’s translation, detailed prophecy",Maitreya’s future advent described,Chinese canon (T.454)5,,,
645 CE,Xuanzang’s Account,Describes Maitreya images/worship in Central Asia,"Reports on statues, devotional practices",Great Tang Records on the Western Regions5,,,
672–675 CE,Longmen Grottoes Inscriptions,Dedicatory inscriptions to Maitreya,Evidence of devotion and iconography,"Longmen Grottoes, China5",,,
1st century BCE,Sanchi Stupa Reliefs,Early aniconic representation of Maitreya,Depicts Maitreya among future Buddhas,"Sanchi Stupa, India8",,,
1st–3rd century CE,Gandharan Art,"Iconic images with top knot, water flask","Abhaya mudra, sometimes with stupa","Gandhara region, Pakistan/Afghanistan8",,,
529 CE,Qingzhou Stone Sculpture,Stone sculpture dedicated to Maitreya,Inscription documents belief and cult,"Qingzhou Museum, Shandong, China5",,,
10th century CE onward,Budai (Hotei) as Maitreya,"Chinese folklore, Budai as Maitreya incarnation","Popular devotion, prophecy of future advent",Chinese Buddhist tradition5,,,
12th–14th century CE,Tibetan Maitreya Pure Land Sutra,Maitreya as focus of Pure Land practice,"Rituals, visualization, aspiration for rebirth in Tushita",Tibetan Buddhist liturgies6,,,
,Additional Notes,,,,,,
Year,Name/Title,Tradition/Region,Key Texts/Records,Primary Attributes & Functions,Iconography & Symbols,Comparative Analysis,
c. 1500 BCE,Mitra,Vedic (India),"RigVeda (3.59, 1.115, 10.37); Atharva Veda; Yajur Veda",• Guardian of contracts and oaths<br>• Paired with Varuna as Mitra-Varuna<br>• Regulator of cosmic/social order (ṛta)<br>• Associated with sunrise/morning sun<br>• Bestower of fertility and rain,• Depicted as young man<br>• Solar disc imagery<br>• Riding chariot with seven red horses,"• Root source for later divine ""friend"" figures<br>• Less warlike than Persian counterpart<br>• Lacks messianic/eschatological attributes<br>• Social order focus mirrors Maitreya's dharmic restoration",
c. 1400-1200 BCE,Proto-Mithra,Indo-Iranian,Mitanni-Hittite treaty (14th c. BCE); Archaeological evidence,• Witness to treaties<br>• Protector of truth<br>• Divine mediator between humans,• Limited iconographic evidence<br>• Mentioned in treaty lists of gods,• Transitional figure between Vedic and Zoroastrian traditions<br>• Shows earliest political-religious function<br>• Treaty focus persists in all later variants,
c. 1000-600 BCE,Mithra/Mihr,Iranian/Zoroastrian,Yashts (especially Mihr Yasht 10); Early Avestan fragments,"• God of covenant, light, oaths<br>• Judge of souls<br>• Warrior against falsehood<br>• Mediator between Ahura Mazda and humanity<br>• Yazata (worthy of worship)",• Solar imagery<br>• Carrying barsom rods<br>• Warrior with mace/club<br>• Chariot drawn by white horses,"• More martial than Vedic Mitra<br>• Judicial role foreshadows later savior figures<br>• Light symbolism connects to both Maitreya and Amitābha<br>• Unlike Maitreya, not a world-cycle end figure",
c. 600-500 BCE,Saoshyant,Zoroastrian (Iran),"Gathas (Yasna 30, 46); Zamyad Yasht; Later fully developed in Bundahishn and Denkard",• Final eschatological savior<br>• Born of virgin from Zoroaster's seed<br>• Leads cosmic renewal (frashkart)<br>• Resurrects the dead<br>• Defeats evil,• Few early depictions<br>• Later shown with fire symbols<br>• Warrior imagery,• Most explicitly eschatological/messianic figure<br>• Parallels Maitreya's world-age-ending role<br>• Virgin birth not found in Maitreya tradition<br>• Both restore perfect world order<br>• Both appear after period of decline,
c. 500-330 BCE,Mitr/Mitra,Achaemenid Persian,Behistun Inscription; Royal inscriptions; Persepolis reliefs; Persian seals,• Guardian of royal authority<br>• Divine witness to imperial oaths<br>• Associated with Ahura Mazda<br>• Protector of truth,• Solar disc<br>• Royal iconography<br>• Fire altars,• Politically instrumentalized form<br>• Imperial associations unlike Buddhist Maitreya<br>• Maintains contract/oath elements<br>• Connected to established power vs. Maitreya's revolutionary aspect,
c. 400-309 BCE,Early Maitreya concept,Early Buddhist (India),Earliest allusions in Cakkavatti-Sīhanāda Sutta; Digha Nikaya 26,• Future Buddha<br>• Appears after dharma decline<br>• Restores righteous teaching<br>• Born when human lifespan increases again,• Not clearly iconographically distinct in this period,• Already contains cyclic time concept<br>• Less elaborate than later Maitreya theology<br>• Connected to moral decline narrative<br>• Restoration figure like Saoshyant,
309 BCE,Maitreya (specific early reference),Buddhist (India),Various tradition calculations from Buddha's parinirvana date,• Future Buddha mention<br>• Connected to timeframe since Gautama,• Not determined for this specific date,• Date represents early Buddhist chronological marker<br>• Shows developing timeline consciousness,
c. 200-100 BCE,Maitreya/Ajita,Buddhist (India/Central Asia),Maitreyavyākaraṇa; Early Mahavastu versions; Anagatavamsa,"• ""Unconquered"" (Ajita)<br>• Currently residing in Tuṣita Heaven<br>• Will be born in Ketumati (future Varanasi)<br>• Will achieve buddhahood under nāga tree<br>• 80,000-year lifespan era buddha",• Early depictions show bodhisattva ornaments<br>• Cross-legged meditation pose<br>• Sometimes with water vessel,"• Develops detailed personal narrative<br>• Paradise (Tuṣita) awaiting element similar to Amitābha's Pure Land<br>• Future perfect society theme parallels Saoshyant<br>• ""Unconquered"" title suggests triumphant aspect",
c. 100 BCE-100 CE,Greco-Buddhist Maitreya,Gandharan/Kushan,Gandharan sculptures; Bamiyan inscriptions; Kushan coins,• Syncretic figure<br>• Shares visual elements with Hellenic gods<br>• Royal patronage associations<br>• Bodhisattva awaiting final rebirth,"• Apollo-like features<br>• Royal/princely garments<br>• Water vessel (kumbha)<br>• Seated in ""Western"" pose",• Shows cultural fusion period<br>• Indicates spread along Silk Road<br>• Royal associations similar to Persian Mithra<br>• Visual sharing with Western traditions begins,
c. 50 BCE-400 CE,Roman Mithras,Greco-Roman Mystery Religion,Mithraic liturgy fragments; Temple inscriptions; Relief sculptures from mithraea,• Bull-slayer (tauroctony)<br>• Solar deity<br>• Mystery initiation guide<br>• Soul-journey facilitator<br>• Cosmic mediator<br>• Unconquered Sun (Sol Invictus) association,• Bull-slaying scene<br>• Phrygian cap<br>• Torch bearer companions<br>• Cave/rock-birth imagery<br>• Zodiac symbols,"• Initiatory focus absent in Maitreya<br>• Salvation through ritual vs. Maitreya's through teaching<br>• Both unconquered/triumphant<br>• Solar associations stronger than Maitreya<br>• Both ""friendship"" etymology but different functions",
