Religious and Legendary Bardic Figures Throughout History,,,,,,
Figure,Time Period,Culture/Religion,Bardic Attributes,Literary Works,Number of Parables/Stories,Sources of Parables
King David,c. 1000 BCE,Hebrew/Judaism,"Musician, poet, composer",Psalms,~73 psalms traditionally attributed to him,"Hebrew Bible, particularly Book of Psalms"
Orpheus,c. 1300-1100 BCE,Greek/Orphic Mysteries,"Legendary musician, poet, prophet",Orphic Hymns,"Unknown number of poems, ~87 hymns attributed","Argonautica, various Greek works"
Linus,c. 1400-1200 BCE,Greek Mythology,"Musician, poet, early music theorist",Lost poetic works,Unknown,Referenced in Greek legends
Musaeus,Unknown date (pre-Homeric),Orphic tradition,"Poet, prophet, religious teacher","Oracles, hymns, healing songs",Unknown,Greek mythological sources
Homer,c. 8th century BCE,Greek,"Poet, storyteller","Iliad, Odyssey",2 major epics + hymns,Oral tradition codified in written form
Hesiod,c. 700 BCE,Greek,"Didactic poet, mythographer","Theogony, Works and Days",2 major works + fragments,Greek poetic tradition
Vyasa,c. 1500-500 BCE,Hindu tradition,"Sage, compiler, poet","Mahabharata, Puranas","100,000+ verses in Mahabharata alone","Vedic texts, oral tradition"
Valmiki,c. 500 BCE,Hindu tradition,"Poet, sage",Ramayana,"24,000 verses",Oral tradition later written down
Zarathustra (Zoroaster),c. 1500-1000 BCE,Zoroastrianism,"Prophet, poet",Gathas,17 hymns,Avesta (Zoroastrian sacred texts)
Confucius,551-479 BCE,Chinese,"Teacher, compiler","Analects, Book of Songs (editor)",500+ sayings in Analects,"Disciples' records, oral tradition"
Laozi,c. 6th century BCE,Chinese/Taoism,"Mystic, philosopher, poet",Tao Te Ching,81 poetic chapters,Chinese philosophical tradition
Buddha (Siddhartha Gautama),c. 563-483 BCE,Buddhism,"Teacher, storyteller",Jataka Tales,547 birth stories,"Tripitaka, particularly Sutta Pitaka"
Jesus Christ,c. 4 BCE - 30 CE,Christianity,"Teacher, storyteller",Parables in Gospels,~40 parables,New Testament Gospels
Taliesin,c. 6th century CE,Celtic/Welsh,"Poet, bard",Book of Taliesin,56 poems attributed,Welsh manuscript tradition
Muhammad,570-632 CE,Islam,"Prophet, transmitter",Hadith (sayings),Thousands of sayings,"Quran, Hadith collections"
Kabir,1440-1518 CE,Hindu-Islamic mysticism,"Poet, mystic","Bijak, dohas (couplets)",~500 poems,"Oral tradition, Adi Granth"
Jalal ad-Din Rumi,1207-1273 CE,Islam (Sufism),"Poet, mystic","Mathnawi, Diwan","25,000+ verses in Mathnawi",Persian literary tradition
Mirabai,1498-1546 CE,Hindu (Bhakti),"Poet, mystic",Padavali songs,~200-400 poems,"Oral tradition, later compilations"
Tiresias,c. 1400-1200 BCE,Greek divination,"Prophet, seer, gender-fluid figure",Prophetic utterances,Numerous prophecies in myths,"Theban cycle, various Greek tragedies"
Epimenides,c. 600 BCE,Greek religious tradition,"Prophet, poet, purifier","Poem on oracles, Purifications",Several works (mostly lost),"Referenced by Aristotle, Plato, and in Titus 1:12"
Guru Nanak,1469-1539 CE,Sikhism,"Poet, mystic",Compositions in Guru Granth Sahib,974 hymns,Sikh scripture (Adi Granth)
Milarepa,1052-1135 CE,Tibetan Buddhism,"Poet, ascetic",Songs of Milarepa,"100,000+ verses claimed",Tibetan Buddhist tradition
Basavanna,1106-1167 CE,Hindu (Lingayat),"Poet, social reformer",Vachanas (prose lyrics),"~1,300 vachanas",Lingayat religious texts
Adi Shankaracharya,788-820 CE,Hindu (Advaita),"Philosopher, poet","Bhaja Govindam, philosophical texts",Dozens of devotional hymns,Hindu philosophical tradition
Hafez,1315-1390 CE,Persian/Islam,"Poet, mystic",Divan,~500 ghazals and poems,Persian literary tradition
Notes on Timeline Reference:,,,,,,
,,,,,,
"The table is organized roughly chronologically, using 456 BCE as a reference point",,,,,,
"Figures before 456 BCE: King David, Orpheus, Linus, Musaeus, Tiresias, Homer, Hesiod, Vyasa, Valmiki, Zarathustra, Confucius, Solon, Epimenides, Laozi, Buddha",,,,,,
"Figures after 456 BCE: Jesus Christ, Taliesin, Muhammad, Kabir, Rumi, Mirabai, Guru Nanak, Milarepa, Basavanna, Adi Shankaracharya, Hafez",,,,,,
Additional Bardic Attributes:,,,,,,
"Musical abilities: Many played instruments (David's harp, Orpheus' lyre)",,,,,,
Performance aspects: Public recitation or singing of works,,,,,,
Divine inspiration: Often claimed special connection to deities,,,,,,
Transmission of wisdom: Used poetic forms to teach spiritual truths,,,,,,
Mythic biography: Life stories often contain supernatural elements,,,,,,
Cultural preservation: Maintained historical and cultural identity,,,,,,
Philosophical insights: Conveyed complex ideas through accessible stories,,,,,,
Ritual functions: Works used in religious ceremonies and practices,,,,,,
