Name/Title,Explicitly Named in Qur’an?,Qur’anic Reference(s) / Allusion,Notes on Identification
Adam,Yes,"Multiple (e.g., 2:31–37, 7:11–25)",First human and prophet12357.
Noah (Nuh),Yes,"Multiple (e.g., 11:25–48, 71:1–28)",Prophet sent before the flood12357.
Abraham (Ibrahim),Yes,"Multiple (e.g., 2:124–141, 6:74–83)","Patriarch, prophet, father of Ishmael and Isaac12357."
Moses (Musa),Yes,"Multiple (e.g., 2:49–61, 7:103–160)",Most frequently mentioned prophet12357.
Aaron (Harun),Yes,"Multiple (e.g., 7:142–150, 20:29–94)","Brother of Moses, prophet12357."
David (Dawud),Yes,"Multiple (e.g., 38:17–26)",King and prophet12357.
Solomon (Sulayman),Yes,"Multiple (e.g., 27:15–44, 38:30–40)","King, prophet, son of David12357."
Joseph (Yusuf),Yes,Surah Yusuf (12:4–101),"Prophet, son of Jacob12357."
Lot (Lut),Yes,"Multiple (e.g., 7:80–84, 11:77–83)","Prophet, nephew of Abraham12357."
Jesus (Isa),Yes,"Multiple (e.g., 3:45–59, 5:110–120)","Prophet, Messiah, born to Mary12357."
Mary (Maryam),Yes,"3:35–47, 19:16–34","Mother of Jesus, only woman named by name in Qur’an24."
Pharaoh (Fir‘awn),No (title only),"Multiple (e.g., 2:49–61, 7:103–137)","Title for Egyptian ruler in Moses’ time; not named, debated which historical Pharaoh is meant25."
Dhu al-Qarnayn,No (title only),18:83–101,"Powerful, just ruler; some identify as Cyrus the Great, others as Alexander the Great2."
Alexander the Great,No,-,"Some identify Dhu al-Qarnayn with Alexander, but not explicit or consensus2."
Cyrus the Great,No,- (possibly as Dhu al-Qarnayn),"Possibly alluded to as Dhu al-Qarnayn, but not named explicitly2."
Cambyses II,No,-,Not mentioned or alluded to in the Qur’an.
Darius I,No,-,Not mentioned or alluded to in the Qur’an.
Goliath (Jalut),Yes,2:249–251,Opponent of Saul and David2.
Saul (Talut),Yes,2:246–251,King of Israel before David2.
Haman,Yes,"Multiple (e.g., 28:6, 29:39, 40:24)",Minister of Pharaoh; not the same as the biblical Haman from Esther2.
Qarun (Korah),Yes,"28:76–82, 29:39, 40:24","Wealthy man from Moses’ time, destroyed for arrogance2."
Imran,Yes,"3:33, 3:35, 66:12",Father of Mary (Maryam); possibly a different Imran than the father of Moses and Aaron2.
Shu‘ayb (Jethro?),Yes,"7:85–93, 11:84–95","Prophet sent to Midian; sometimes identified with Jethro, but debated2."
Hud,Yes,"7:65–72, 11:50–60",Prophet sent to the people of ‘Ad235.
Salih,Yes,"7:73–79, 11:61–68",Prophet sent to the people of Thamud235.
Yunus (Jonah),Yes,"10:98, 37:139–148","Prophet, swallowed by the fish235."
Idris (Enoch?),Yes,"19:56–57, 21:85","Some identify with Enoch, but debated235."
Elisha (Alyasa),Yes,"6:86, 38:48","Prophet, successor to Elijah235."
Elijah (Ilyas),Yes,"6:85, 37:123–132",Prophet235.
Job (Ayyub),Yes,"21:83–84, 38:41–44",Prophet known for patience235.
Zechariah (Zakariya),Yes,"3:37–41, 19:2–15",Father of John the Baptist235.
John the Baptist (Yahya),Yes,"3:39, 6:85, 19:7–15","Prophet, son of Zechariah235."
Khidr,"No (described, not named)",18:65–82,"Mysterious wise figure, companion of Moses; not named in Qur’an2."
Samuel (Samuil?),No (debatable),-,"Not named, but some traditions identify him as the unnamed prophet who anoints Saul2."
Jeremiah (Irmiyā?),No (debatable),-,"Not named, but some traditions see allusions2."
Joshua (Yusha‘ ibn Nun),No (debatable),-,"Not named, but referenced in Islamic tradition2."
Theme / Motif,Qur’anic Reference(s) / Parallel,Notes / Brief Explanation,
Messianic Expectations,"3:45, 4:157–159, 5:110, 5:72, 19:30–36 (Jesus as Messiah, “al-Masih”)","Jesus is called the Messiah, but Qur’an denies divinity and crucifixion; messianic role is affirmed85.",
Resurrection & Afterlife,"2:155–156, 23:16, 23:99–100, 16:38, 75:3–4, 22:7, 36:78–79",Resurrection and afterlife are central; repeated affirmation of bodily resurrection and Day of Judgment69.,
Angelology & Demonology,"15:26–27, 18:50, 35:1, 66:6, 6:100, 113:4–6","Angels created from light, jinn from fire; Satan (Iblis) is a jinn, not a fallen angel710.",
Dualism & Theodicy,"18:50, 7:11–18, 38:71–85","Clear distinction between good (angels) and evil (Iblis/jinn); God is sovereign, evil is permitted but not coequal.",
Monotheism,"112:1–4, 2:255, 6:101–103, 16:36",Strict monotheism (tawhid) is a core Qur’anic doctrine.,
Paradise Concept,"2:25, 3:15, 18:31, 55:46–78","Paradise (Jannah) described with gardens, rivers, delights; afterlife reward for the righteous.",
Fire Symbolism,"2:24, 15:27, 55:15, 66:6","Fire as punishment (Hell), as origin of jinn, and as a symbol of power and purification7.",
Royal Ideology & Temple Splendor,"27:15–44 (Solomon), 34:12–13","Solomon’s court, splendor, and miracles; no direct temple cult, but royal wisdom and justice are emphasized.",
Tolerance & Restoration Edicts,"2:256 (“No compulsion in religion”), 60:8–9","Religious tolerance, especially for “People of the Book”; restoration themes less explicit than in Ezra/Isaiah.",
Apocalyptic Literature,"18 (The Cave), 81 (The Overthrowing), 82 (The Cleaving), 101 (The Calamity)","Vivid eschatological imagery; resurrection, judgment, cosmic upheaval.",
Use of Persian Loanwords,"“Firdaws” (Paradise, from Persian), “Dunya” (world), “Iblis” (possibly from Greek/Persian)","Reflects cultural exchange, especially in eschatology and afterlife terms.",
