Emperor,Reign,Cult/Deity,Relations to Religious Groups,,,,,,,,,,,,,,,,,,,,,,
Romulus,753–716 BCE,"Jupiter, Quirinus",- Founded Rome; established early Roman pantheon,- Mythological founder; deified as Quirinus,,,,,,,,,,,,,,,,,,,,,
Numa Pompilius,715–673 BCE,"Jupiter, Egeria (nymph)","- Established priestly colleges (Pontifices, Vestals)",- Created Roman religious calendar,,,,,,,,,,,,,,,,,,,,,
Tarquinius Superbus,534–509 BCE,Capitoline Triad (Jupiter),- Last Etruscan king; built Temple of Jupiter Optimus Maximus,"- Overthrown, leading to Republic (509 BCE)",,,,,,,,,,,,,,,,,,,,,
Julius Caesar,49–44 BCE,Venus Genetrix,- Declared divus posthumously; tolerant of Jews (protected synagogues),- Assassinated in 44 BCE; deified by Augustus,,,,,,,,,,,,,,,,,,,,,
Augustus,-27 BCE - 14 CE,"Imperial cult, Apollo","Tolerant of Judaism, banned some Egyptian cults",,,,,,,,,,,,,,,,,,,,,,
Tiberius,14 - 37 CE,Imperial cult,"Initially tolerant of Judaism, later expelled Jews from Rome",,,,,,,,,,,,,,,,,,,,,,
Caligula,37 - 41 CE,Self-deification,Attempted to place his statue in the Jewish Temple,,,,,,,,,,,,,,,,,,,,,,
Claudius,41 - 54 CE,Imperial cult,"Expelled Jews from Rome, tolerated other cults",,,,,,,,,,,,,,,,,,,,,,
Nero,54 - 68 CE,"Apollo, self-deification","Persecuted Christians, blamed them for Rome's fire",,,,,,,,,,,,,,,,,,,,,,
Vespasian,69 - 79 CE,Imperial cult,"Suppressed Jewish revolt, destroyed Second Temple",,,,,,,,,,,,,,,,,,,,,,
Titus,79 - 81 CE,Imperial cult,Continued father's policies against Jews,,,,,,,,,,,,,,,,,,,,,,
Domitian,81 - 96 CE,"Self-deification as ""Lord and God""",Persecuted Christians and Jews,,,,,,,,,,,,,,,,,,,,,,
Trajan,98 - 117 CE,Imperial cult,"Persecuted Christians, suppressed Jewish revolts",,,,,,,,,,,,,,,,,,,,,,
Hadrian,117 - 138 CE,Hellenistic cults,"Suppressed Bar Kokhba revolt, banned Jewish practices",,,,,,,,,,,,,,,,,,,,,,
Marcus Aurelius,161 - 180 CE,Stoicism,Persecuted Christians,,,,,,,,,,,,,,,,,,,,,,
Commodus,180 - 192 CE,"Hercules, self-deification",Generally tolerant of Christians,,,,,,,,,,,,,,,,,,,,,,
Septimius Severus,193 - 211 CE,"African deities, Serapis","Initially tolerated Christians, later persecuted them",,,,,,,,,,,,,,,,,,,,,,
Caracalla,211 - 217 CE,Serapis,"Extended Roman citizenship, including to Jews",,,,,,,,,,,,,,,,,,,,,,
Elagabalus,218 - 222 CE,Syrian sun god Elagabal,Attempted to merge Roman and Eastern cults,,,,,,,,,,,,,,,,,,,,,,
Alexander Severus,222 - 235 CE,"Eclectic, included Christ in private shrine",Tolerant of Christians and Jews,,,,,,,,,,,,,,,,,,,,,,
Decius,249 - 251 CE,Traditional Roman gods,Initiated empire-wide persecution of Christians,,,,,,,,,,,,,,,,,,,,,,
Valerian,253 - 260 CE,Traditional Roman gods,Persecuted Christians and Jews,,,,,,,,,,,,,,,,,,,,,,
Gallienus,253 - 268 CE,"Apollo, Sol Invictus","Ended his father's persecutions, issued tolerance edict",,,,,,,,,,,,,,,,,,,,,,
Aurelian,270 - 275 CE,Sol Invictus,"Promoted sun worship, tolerated other cults",,,,,,,,,,,,,,,,,,,,,,
Diocletian,284 - 305 CE,"Jupiter, Hercules",Great Persecution of Christians,,,,,,,,,,,,,,,,,,,,,,
