Expanded Historical Timeline of Tartaria and Central Asian Peoples,
Date,Event
4000 BCE - 2000 BCE,Early Bronze Age cultures develop across the Eurasian steppe
3300 BCE - 2600 BCE,Afanasievo culture in southern Siberia (possible Indo-European presence)
2400 BCE - 1800 BCE,Sintashta culture emerges in the southern Urals (chariot warfare)
1800 BCE - 1500 BCE,Andronovo culture spreads across Central Asian steppes
1700 BCE - 1500 BCE,Early Indo-Iranian migrations through Central Asia
1500 BCE - 800 BCE,Karasuk culture develops in southern Siberia
1300 BCE - 700 BCE,Deer stone monuments appear across Mongolia and southern Siberia
Date,Event
1000 BCE - 300 BCE,"Scythian civilization flourishes across the Eurasian steppe, sometimes associated with territories later called ""Tartary"""
800 BCE - 500 BCE,Cimmerians migrate across steppes and into the Near East
700 BCE - 300 BCE,Saka culture (eastern Scythians) dominates Central Asia
520 BCE,Persian king Darius I invades Scythian territories in Central Asia
350 BCE - 50 BCE,Xiongnu proto-state emerges in Mongolia
300 BCE - 100 CE,Yuezhi federation controls parts of Central Asia before being driven west by Xiongnu
209 BCE,Formation of the Xiongnu confederation under Modu Chanyu
200 BCE - 200 CE,Silk Road trade routes established through Central Asia
174 BCE,The Xiongnu defeat Chinese Han forces at the Battle of Mobei
53 BCE,"Battle of Carrhae between Romans and Parthians (eastern power sometimes associated with ""Tartary"" in ancient accounts)"
Date,Event
48 CE,Split of Xiongnu into Southern and Northern confederations
155 CE,Xianbei people begin to replace Xiongnu dominance in Mongolia
216 CE,Defeat of the Northern Xiongnu by the Xianbei
304 CE - 439 CE,"Sixteen Kingdoms period in northern China, many ruled by steppe peoples"
350 CE - 375 CE,Rouran Khaganate forms in Mongolia
370 CE,Hunnic migrations begin to impact Europe
440 CE,Height of power of the Rouran Khaganate
484 CE,Hephthalite (White Hun) defeat of the Sassanid Persian Empire
552 CE,Establishment of the Turkic Khaganate in Central Asia
581 CE,Split of Turkic Khaganate into Eastern and Western halves
630 CE,Tang dynasty conquers Eastern Turkic Khaganate
651 CE,Arab conquest of Merv begins Islamic expansion into Central Asia
682 CE,Second Turkic Khaganate established
744 CE,Uyghur Khaganate established in Mongolia
751 CE,Battle of Talas between Tang China and Abbasid Caliphate establishes Islamic influence in Central Asia
840 CE,Fall of the Uyghur Khaganate
916 CE,"Establishment of the Khitan Liao Dynasty (often considered part of ""Tartary"" in medieval accounts)"
Date,Event
1125 CE,Fall of the Liao Dynasty to the Jurchen Jin Dynasty
1162 CE,Birth of Temüjin (later Genghis Khan)
1206 CE,"Genghis Khan unites Mongol tribes, beginning the Mongol Empire (territories later referred to as ""Great Tartary"")"
1211 CE,Mongol invasion of Jin Dynasty begins
1218 CE,Mongol conquest of the Khwarazmian Empire begins
1219 CE,Destruction of Samarkand by Mongol forces
1221 CE,Destruction of Merv by Mongol forces
1223 CE,Battle of the Kalka River - first Mongol encounter with Kievan Rus'
1227 CE,"Death of Genghis Khan, empire divided among sons"
1234 CE,Final defeat of Jin Dynasty by combined Mongol-Song forces
1235 CE,Kurultai approves invasion of Europe
1237 CE,Batu Khan's invasion of Kievan Rus' begins
1240 CE,Mongol sack of Kiev
1241 CE,Mongols reach Eastern Europe at the Battle of Liegnitz
1242 CE,Mongols withdraw from Hungary after death of Ögedei Khan
1243 CE,Seljuk Sultanate of Rum becomes Mongol vassal
1246 CE,Güyük Khan becomes Great Khan
1251 CE,Möngke Khan becomes Great Khan
1258 CE,"Mongol conquest of Baghdad, end of Abbasid Caliphate"
1259 CE,Death of Möngke Khan leads to fragmentation of the Mongol Empire
1260 CE,Battle of Ain Jalut - Mamluks defeat Mongols in Syria
1264 CE,Kublai Khan establishes capital at Khanbaliq (Beijing)
1271 CE,Kublai Khan founds the Yuan Dynasty in China
1274 CE,First Mongol invasion of Japan
1281 CE,Second Mongol invasion of Japan fails
1294 CE,Death of Kublai Khan
1315 CE,Conversion of Özbeg Khan of the Golden Horde to Islam
1335 CE,Fall of the Ilkhanate in Persia
1368 CE,Fall of the Yuan Dynasty and retreat of Mongols to the steppe
Date,Event
1369 CE,Timur (Tamerlane) begins conquest of Central Asia
1370 CE,Timur establishes Timurid Empire with capital in Samarkand
1389 CE,Tokhtamysh of the Golden Horde sacks Moscow
1391 CE,Timur defeats Tokhtamysh at Battle of the Kondurcha River
1395 CE,"Timur destroys Sarai, capital of the Golden Horde"
1402 CE,Timur defeats Ottoman forces at the Battle of Ankara
1405 CE,"Death of Timur, fragmentation of his empire"
1407 CE,Establishment of the Oirat (Western Mongol) confederation
1428 CE,Ulugh Beg's astronomical observatory built in Samarkand
1438 CE,Esen Taishi unites the Oirat confederation
1449 CE,Esen Taishi captures the Chinese Emperor Zhengtong
1466 CE,Establishment of the Kazakh Khanate
1480 CE,Great Stand on the Ugra River - end of Mongol rule over Moscow
1501 CE,Establishment of the Khanate of Sibir
1502 CE,Final destruction of the Great Horde by Crimean Khanate
1511 CE,Babur (descendant of Timur) takes Samarkand
1526 CE,Babur establishes Mughal Empire in India
1552 CE,"Russian conquest of Kazan Khanate begins expansion into territories called ""Tartary"""
1556 CE,Russian conquest of Astrakhan Khanate
1582 CE,Yermak's expedition begins Russian conquest of the Khanate of Sibir
1598 CE,Final defeat of the Khanate of Sibir by Russians
Date,Event
1607 CE,"First usage of ""Great Tartary"" on Western maps as a geographical designation"
1618 CE,Treaty of Deulino acknowledges Russian control over Siberian territories
1625 CE,"Publication of Purchas His Pilgrimes, popularizing term ""Tartary"" in English"
1635 CE,Formation of the Dzungar (Jungar) Khanate by Oirat Mongols
1644 CE,"Establishment of the Qing Dynasty by the Manchus (often considered part of ""Chinese Tartary"")"
1653 CE,"Construction of Russian Tobolsk fortress, administrative center of Siberia"
1689 CE,"Treaty of Nerchinsk between Russia and China establishes borders in parts of ""Tartary"""
1696 CE,Russian capture of Azov from Ottoman Empire
1697 CE,Beginning of Kamchatka expeditions by Vladimir Atlasov
1700 CE,"Great Northern War begins, affecting Russian policies in Central Asia"
1716 CE,Jungar (Dzungar) Khanate reaches its territorial height in Central Asia
1720 CE,"First European map to show ""Independent Tartary"" as distinct region"
1723 CE,"""Barefoot Flight"" of Kazakhs escaping Dzungar invasion"
1728 CE,Treaty of Kiakhta defines Russo-Chinese border
1731 CE,Little Jüz of Kazakhs accepts Russian protection
1740 CE,Middle Jüz of Kazakhs accepts Russian protection
1755 CE,Beginning of Qing-Dzungar conflict
1756 CE,"Qing conquest of Dzungaria (sometimes called ""Little Tartary"")"
1757 CE,Dzungar genocide by Qing forces
1758 CE,Qing conquest of Altishahr (East Turkestan)
1771 CE,Kalmyk migration from Russia back to Dzungaria
1783 CE,Russian annexation of Crimean Khanate
1787 CE,"Catherine the Great's ""Greek Project"" targeting Ottoman territories"
1798 CE,"Publication of Encyclopædia Britannica with extensive entry on ""Tartary"""
Date,Event
1822 CE,Russian administrative reforms in Siberia affecting Tatar populations
1825 CE,Decembrist revolt affects Russian policies in frontier regions
1830 CE,Establishment of East Turkestan Khanate
1847 CE,Russians establish Fort Raim on the Syr Darya River
1850 CE,Treaty of Kulja between Russia and Qing China
1853 CE,Russian acquisition of Akmolin region (northern Kazakhstan)
1854 CE,Russian establishment of Fort Vernoe (Almaty)
1864 CE,Circassian genocide and expulsion in Caucasus
1865 CE,Russian conquest of Tashkent
1867 CE,Establishment of Russian Turkestan Governor-Generalship
1868 CE,Russian conquest of Bukhara
1873 CE,Russian conquest of Khiva
1876 CE,Russian annexation of the Khanate of Kokand
1877 CE,Yakub Beg's death ends East Turkestan independence
1881 CE,Treaty of Saint Petersburg finalizes Russo-Chinese border in Central Asia
1884 CE,"Completion of Russian conquest of Turkestan (former ""Independent Tartary"")"
1885 CE,Panjdeh Incident between Russia and Afghanistan
1889 CE,Trans-Caspian Railway reaches Samarkand
1891 CE,Beginning of Trans-Siberian Railway construction
1898 CE,New Russian settlements in the Hungry Steppe
Date,Event
1905 CE,Revolution in Russia affects Central Asian territories
1916 CE,Central Asian Revolt against Russian conscription policies
1917 CE,"Russian Revolution and civil war extend to former ""Tartary"" regions"
1918 CE,Establishment of Alash Autonomy in Kazakh territories
1920 CE,Bukharan People's Soviet Republic established
1921 CE,Mongolian People's Republic established
1922 CE,"Formation of USSR incorporates many former ""Tartary"" territories"
1924 CE,National delimitation in Central Asia creates new Soviet republics
1929 CE,Collectivization begins in Central Asia
1931 CE,"Kazakh famine begins, killing approximately 1.5 million"
1937 CE,Great Purge severely impacts Central Asian intelligentsia
1941 CE,Deportation of Volga Germans to Central Asia
1944 CE,Deportation of Crimean Tatars to Central Asia
1953 CE,Virgin Lands Campaign begins in Kazakhstan
1957 CE,Rehabilitation of some deported peoples under Khrushchev
1986 CE,Jeltoqsan riots in Almaty against Russian appointment of Kolbin
1989 CE,Fall of the Berlin Wall begins collapse of Soviet system
1991 CE,Dissolution of the Soviet Union creates independent Central Asian states
1992 CE,Central Asian states join the United Nations
1996 CE,Shanghai Five (later Shanghai Cooperation Organization) established
1997 CE,"Treaty on Deeper Military Integration between Russia, Kazakhstan, Kyrgyzstan, and Tajikistan"
Date,Event
2001 CE,Central Asian states provide support for NATO operations in Afghanistan
2005 CE,Tulip Revolution in Kyrgyzstan
2007 CE,Kazakhstan 2030 development strategy launched
2010 CE,Kyrgyz Revolution and ethnic violence in Osh
2014 CE,Establishment of Eurasian Economic Union
2015 CE,Kazakhstan joins World Trade Organization
2016 CE,"Death of Islam Karimov, Uzbekistan's first president"
2017 CE,Xinjiang internment camps established in former East Turkestan
2019 CE,Nursultan Nazarbayev resigns after 29 years as Kazakhstan's president
2022 CE,January protests and Russian troop deployment in Kazakhstan
2022 CE,Central Asian states maintain neutrality in Russia-Ukraine conflict
2023 CE,Expansion of China's Belt and Road Initiative in Central Asia
