Approximate Date,Characters,Theme,Source Text,Oldest Extant Texts/PIE Derived Pantheon,Involvement of Bull/Ocean/Serpent
24th century BCE,Osiris and Set,"Two brothers, one kills the other","Pyramid Texts, ""Book of the Dead""",Egyptian mythology,Symbolic association with the bull
24th century BCE,Seth and Horus (Egypt),"Fraternal figures, rivalry over kingship","Pyramid Texts, ""Book of the Dead""",Battles between Horus and Set; bulls symbolic of kingship,
22nd century BCE,Enlil and Ninurta,God vs the forces of chaos,"Sumerian mythology, ""Lugal-e""","Sumerian, early Middle Eastern myths","Defeating chaos, similar to serpent themes"
c. 2100-1200 BCE,Gilgamesh and Enkidu,"Heroic duo, one dies",Epic of Gilgamesh,Oldest literary text in existence,"Involves bulls, divine creatures, and heroes"
18th-16th century BCE,Marduk and Tiamat,God fights the ocean,"Babylonian epic, ""Enuma Elish""","Enuma Elish, one of the oldest known creation myths",Ocean battle (Tiamat as primordial sea)
1500–1200 BCE,Indra and Vṛtra,God fights a serpent,Rigveda,"Hindu mythology, one of the earliest PIE-derived myths","Serpent battle, cosmic waters involved"
1500–1200 BCE,Yama and Yami (Hindu),"Twin brother and sister, death theme",Vedic texts (Rigveda),"Yama as the first mortal to die, linked to underworld themes",
14th-13th century BCE,Teshub and Illuyanka,God fights a serpent,"Hittite myth, cuneiform texts","Hittite mythology, influenced by Indo-European myths",Serpent battle
1200-600 BCE,Ahura Mazda and Angra Mainyu,Cosmic struggle of good and evil,"Zoroastrian texts, Avesta","Persian, Zoroastrian traditions",Cosmic battle between good and evil
1200-600 BCE,Ahriman and Ahura Mazda,"Cosmic twins, good vs. evil struggle","Zoroastrian texts, Avesta","Dualistic conflict; no bull, ocean, or serpent directly involved",
1st century BCE,Romulus and Remus,"Twin brothers, one kills the other","Livy, ""Ab Urbe Condita""","Roman mythology, derived from PIE myths",No direct bull involvement
6th century BCE (oral traditions earlier),Orphic Mysteries,"Creation myth, divine struggles","Orphic Hymns, Orphic Theogony","Greek mystery traditions, influenced by PIE myths",Serpent imagery tied to Orphic cosmogony
6th-5th century BCE,Cain and Abel,"Two brothers, one kills the other","Bible, Book of Genesis","Hebrew Scriptures, oral traditions c. 10th century BCE","Livestock mentioned, no direct bull reference"
4th century BCE - 4th century CE,Shiva and the Serpent Vasuki,God churns the ocean (Samudra Manthan),"Hindu mythology, Mahabharata and Puranas","Hindu mythology, cosmic serpent involved",Ocean and serpent involved
1st-4th centuries CE,Mithra and the Bull,God slays a bull,"Mithraic Mysteries, Roman inscriptions","Persian origin, spread to Rome",Central theme of slaying a cosmic bull
"720 CE, 712 CE",Amaterasu and Susanoo,Brother-sister rivalry,"Nihon Shoki, Kojiki","Japanese mythology, non-PIE tradition",Involves sea and storm god Susanoo's battle
8th-7th century BCE (Homeric texts),Heracles and Geryon,Hero fights a creature (cattle),"Greek mythology, ""Labors of Heracles""","Greek mythology, derived from PIE myths",Involves cattle and bull imagery
7th-6th century BCE,Apollo and Python,God fights a serpent,"Greek mythology, Homeric Hymns","Greek mythology, PIE-derived",Serpent battle
