"Timeline of Zoroastrian, Magian, and Related Prophets and Religious Figures",,,,,,,,,
Date,Name,Tradition,Region,Key Teachings,Notable Works/Texts,Reported Miracles/Powers,Biographical Information,Martyrdom,Ruling Dynasty/Power
c. 1700-1200 BCE,Proto-Indo-Iranian Shamans,Proto-Zoroastrian,Central Asia,"Fire veneration, dualistic cosmology",Oral traditions,"Ecstatic journeys, communication with deities",Tribal religious specialists,Unknown,Tribal confederations
c. 1500-1000 BCE,Haoma/Soma Priests,Indo-Iranian Religion,Iran/Central Asia,"Sacred plant rituals, cosmic order",Oral formulas (later in Avesta/Vedas),"Visionary experiences, healing abilities",Ritual specialists for Haoma ceremonies,Unknown,Local tribal kingdoms
c. 1400-1000 BCE,Atmavant (Soulful Ones),Proto-Zoroastrian,Iranian Plateau,"Early ritual formulations, mantras",Oral traditions,"Magical utterances, protective spells",Predecessors to formal priesthood,Unknown,Early Iranian tribal societies
c. 1200-900 BCE,Kavi Tradition,Proto-Zoroastrian,Eastern Iran,"Poetic inspiration, ritual power",Oral poetry,"Prophetic visions, poetic inspiration",Poet-priests with political power,No,Bactria-Margiana complex
c. 1100-1000 BCE,Yima (Jamshid),Iranian Mythology,Iran,"First ruler, golden age",Myths in later Avesta,"Extending earth, preventing aging, building var (shelter)",Mythological first king,Yes (sawn in half),Mythological Pre-Zoroastrian era
c. 1000-800 BCE,Early Karapans and Usijs,Pre-Zoroastrian,Eastern Iran,"Animal sacrifice, ritual intoxication",None surviving,Magical powers through rituals,Ritualists opposed by Zarathustra,No,Early Iranian kingdoms
c. 900-600 BCE,Pre-Zoroastrian Athravans,Indo-Iranian Religion,Northern Iran,"Fire rituals, early dualism",Ritual formulas,"Ritual efficacy, purification powers","Fire-priests, precursors to Zoroastrian priesthood",Unknown,Median tribal period
c. 628-551 BCE,Zarathustra (Zoroaster),Zoroastrianism,Eastern Iran/Bactria,"Cosmic dualism, ethical monotheism, free will",Gathas (hymns in the Avesta),"Visions of Ahura Mazda, surviving assassination attempts, miracle births",Priest who received divine revelation at age 30,Yes (killed at fire altar),Early Achaemenid or Late Median
c. 600-500 BCE,Early Magi,Median/Persian Religion,Western Iran,"Ritual expertise, divination",None surviving,"Dream interpretation, divination, astrology",Median tribe that became hereditary priesthood,No,"Median Empire, Early Achaemenid"
c. 558-528 BCE,Cyrus the Great,Persian Religion/Politics,Persia,"Religious tolerance, imperial ideology",Cyrus Cylinder,"Divine protection, prophetic dreams",Founder of Achaemenid Empire,No,Achaemenid Dynasty (founder)
c. 550-450 BCE,Saoshyant Prophecy Development,Zoroastrianism,Persian Empire,Future savior theology,Early Avestan texts,Future resurrection of the dead,Theological development of savior figure,N/A,Achaemenid Empire
