Year (BCE/CE),Event/Battle,Key Figure 1,Key Opponent 2,Supporters of Figure 1,Supporters of Opponent,Winners,Losers,Description
Year (BCE),Event/Battle,Key Figures or Groups,,,,,,"Organized salt mining begins during the Bronze Age Urnfield period, marking the foundation of Hallstatt's economy. Tools and wooden structures from this period have been discovered in the mines26."
2100–800 BCE,Early salt mining begins in Hallstatt,Local Bronze Age communities,,,,,,A wooden staircase found in the Hallstatt salt mines demonstrates advanced engineering for its time2.
1344 BCE,Construction of Europe's oldest wooden staircase,Bronze Age miners,,,,,,Early development of Hallstatt burial practices and trade networks as salt becomes a valuable commodity3.
1200 BCE,Transition to Hallstatt culture begins,Local elites and miners,,,,,,"Burial practices include cremation in urns, with grave goods indicating trade with Mediterranean cultures37."
900–800 BCE,Start of Hallstatt A phase (Late Bronze Age),Local chieftains and artisans,,,,,,The introduction of iron tools and weapons marks a technological shift. Trade networks expand to include Greek and Etruscan regions37.
800–750 BCE,Transition to Iron Age (Hallstatt B phase),Local elites and metalworkers,,,,,,"Elite burials in tumuli (barrows) begin, featuring iron swords, bronze vessels, jewelry, and chariots. These graves indicate hierarchical social structures13."
750–600 BCE,Hallstatt C phase: Rise of elite burials,Tribal chieftains and artisans,,,,,,"Fortified hilltop settlements become common. Burial practices include wagon graves with elaborate goods, such as the Vix burial (500 BCE) in France137."
650–450 BCE,Hallstatt D phase: Expansion of fortified settlements,Tribal kings and warriors,,,,,,"Stone sculptures such as the Hirschlanden warrior emerge, depicting ithyphallic male figures wearing torcs. These suggest religious or ceremonial significance7."
600 BCE,Development of monumental sculptures,Elite warrior class,,,,,,"This richly furnished burial includes a wagon grave, gold ornaments, and ceremonial drinking vessels37."
550 BCE,Horchdorf burial constructed in Germany,Unknown local ruler or elite figure,,,,,,"This burial contains a massive bronze krater (wine vessel), gold jewelry, and a chariot. It reflects connections with Greek and Etruscan cultures through trade37."
500 BCE,Vix burial constructed in France,"Female elite figure (""Princess of Vix"")",,,,,,Mining shifts to nearby Hallein Salt Mine. The wealth generated by salt trade continues to support elite lifestyles12.
500 BCE,Peak activity at Hallstatt mining site ends,Local elites controlling salt trade,,,,,,The La Tène culture develops from Hallstatt traditions but incorporates more widespread use of curvilinear art styles and new burial practices3.
500 BCE,Early Iron Age tribes in Scotland,"Pre-Pictish tribal groups (e.g., Caledonii)",,,,,,Hill forts such as Burghead and Dundurn become centers of power.
450 BCE,End of Hallstatt culture; transition to La Tène culture,Emerging Celtic tribes across Europe,,,,,,
300 BCE,Emergence of hill forts and tribal centers,Pre-Pictish tribes,,,,,,"Roman forces defeat the Caledonii at Mons Graupius, but the Picts remain unconquered."
83 CE,Battle of Mons Graupius,Agricola (Roman Governor) vs. Calgacus (Pictish leader),,,,,,Hadrian’s Wall is built as a boundary to keep northern tribes out of Roman Britain.
112 CE,Construction of Hadrian’s Wall begins,Romans vs. northern tribes (Picts),,,,,,The Antonine Wall briefly extends Roman control but is abandoned due to Pictish resistance.
142 CE,Antonine Wall constructed further north,Romans vs. Picts and allied tribes,,,,,,"The name ""Picti"" is used to describe northern tribes who painted or tattooed their bodies."
297 CE,"First mention of ""Picts"" by Eumenius","Roman sources refer to ""Picti"" (""painted ones"")",,,,,,The Picts and their allies launch coordinated raids on Roman Britain.
367 CE,Barbarian Conspiracy attacks Roman Britain,"Coalition of Picts, Scots, Saxons, and Franks vs. Romans",,,,,,Christianity begins to spread among the Picts through St. Ninian’s efforts.
397 CE,St. Ninian begins missionary work among the Picts,St. Ninian (Christian missionary) vs. pagan traditions,,,,,,"The Roman Empire abandons Britain, leaving the Picts unconquered and dominant in northern Scotland."
410 CE,Romans withdraw from Britain permanently,Local Britons and Picts remain independent,,,,,,"St. Columba converts King Bridei I to Christianity, marking a turning point in Pictish religious life."
563 CE,St. Columba’s mission to the Picts begins,St. Columba vs. pagan traditions of King Bridei I (Brude son of Maelchon),,,,,,The Picts overthrow Drust VII and reclaim independence from Northumbria.
672 CE,Rebellion against Northumbrian rule begins,Drust VII (Northumbrian puppet king) vs. native Pictish leaders,,,,,,"The Picts decisively defeat Northumbria, ending its dominance in Scotland and securing Pictish independence."
685 CE,Battle of Dun Nechtain (Dunnichen),Bridei III (King of the Picts) vs. Ecgfrith (King of Northumbria),,,,,,"Nechtan aligns with Roman Catholic practices, leading to internal religious conflicts among the Picts."
710–724 CE,Reign of Nechtan mac Derile; religious reforms begin,Nechtan mac Derile vs. internal factions (Celtic Christians vs. Roman Catholics),,,,,,Oengus consolidates power over rival tribes and leads successful campaigns against external foes like Northumbria and Dal Riata (Scots).
734–761 CE,Reign of Oengus I; unification of the Picts begins,Oengus I (King of the Picts) vs. Scots and external enemies like Northumbria and Vikings,,,,,,"A catastrophic Viking raid kills King Uen, his brother Bran, and much of the warrior elite, destabilizing the kingdom."
794.0,First recorded Viking raid on Iona,Viking raiders,Monks of Iona,Norse warriors,Local Gaelic population,Vikings,Iona monastery,
,,,,,,,,
839 CE,Viking invasion devastates the Pictish royal line,Viking raiders vs. Uen son of Onuist (King of the Picts) and his brother Bran,,,,,,"Kenneth MacAlpin becomes ruler of both Scots and Picts after defeating rivals or through dynastic succession, forming the Kingdom of Alba."
843.0,Unification of Scots and Picts under Kenneth MacAlpin to form the Kingdom of Alba.,Kenneth I MacAlpin,,Gaelic-speaking Scots,Pictish nobility,,,
843 CE,Kenneth MacAlpin unites Scots and Picts into Kingdom of Alba,"Kenneth MacAlpin (""King of Scots"") vs. remaining Pictish leaders or Norse invaders (accounts vary)",,,,,,
1018.0,Battle of Carham,Malcolm II of Scotland,Uhtred of Northumbria,Scottish army,Northumbrian forces,Scots,Northumbrians,
1034.0,House of Dunkeld begins rule,Duncan I,,Scottish clans,Macbeth's supporters,,,
1040.0,Macbeth becomes King of Scots,Macbeth,Duncan I,Moray and northern clans,Supporters of Duncan's line,Macbeth,Duncan I,
1263.0,Battle of Largs,Alexander III of Scotland,Haakon IV of Norway,Scottish army,Norwegian fleet,Scots,Norwegians,
1286.0,Death of Alexander III leads to succession crisis,-,,Claimants to Scottish throne,Edward I of England,,,
1292.0,John Balliol chosen as King of Scots,John Balliol,Robert Bruce (grandfather of Robert the Bruce),Balliols and Comyns,Bruces,John Balliol,Robert Bruce,
1296.0,First War of Scottish Independence begins with Edward I's invasion of Scotland.,,,,,,,
1297.0,William Wallace defeats English at Stirling Bridge,William Wallace,John de Warenne,Scottish rebels,English army,Scots,English,
1305.0,Execution of William Wallace,Edward I of England,William Wallace,English nobility,Scottish patriots,Edward I,William Wallace,
1306.0,Robert the Bruce crowned King of Scots,Robert I (the Bruce),,Scottish nobles,"English crown, rival claimants",,,
,,,,,,,,
