"Here is a complete table listing Sudhana's 53 teachers (lamp-lights) from the Gandavyūha Sūtra, each regarded as a beacon of light, alongside their connection to the Huayan (Huayan = Flower Ornament) stages of the Bodhisattva path. The Huayan school interprets Sudhana’s pilgrimage as progressing through the bodhisattva stages, though not every teacher is mapped one-to-one to a specific stage. The journey as a whole is seen as an allegory for the progression through the 52 stages (plus final enlightenment) of the bodhisattva path578.",,,,,
#,Teacher Name,Gender,Status/Role,"Symbolic ""Lamp""",Huayan Stage (if applicable)
1.0,Meghashri,Male,Monk,Beacon,Faith (1st stage)
2.0,Sagaramegha,Male,Monk,Beacon,
3.0,Supratishthita,Male,Monk,Beacon,
4.0,Megha,Male,Grammarian,Beacon,
5.0,Muktaka,Male,Meditation community,Beacon,
6.0,Saradhvaja,Male,Monk,Beacon,
7.0,Asha,Female,Lay devotee,Beacon,
8.0,Bhishmottaranirghosha,Male,Seer,Beacon,
9.0,Jayoshmayatana,Male,Brahmin,Beacon,
10.0,Maitrayani,Female,Girl,Beacon,
11.0,Sudarshana,Male,Mendicant,Beacon,
12.0,Indriyeshvara,Male,Boy,Beacon,
13.0,Prabhuta,Female,Laywoman,Beacon,
14.0,Vidvan,Male,Householder,Beacon,
15.0,Ratnachuda,Male,Householder,Beacon,
16.0,Samantanetra,Male,Perfumer,Beacon,
17.0,Anala,Male,King,Beacon,
18.0,Mahaprabha,Male,King,Beacon,
19.0,Achala,Female,-,Beacon,
20.0,Sarvagamin,Male,Mendicant,Beacon,
21.0,Utpalabhuti,Male,Perfumer,Beacon,
22.0,Vaira,Male,Mariner,Beacon,
23.0,Jayottama,Male,City elder,Beacon,
24.0,Sinhavijurmbhita,Female,Nun,Beacon,
25.0,Vasumitra,Female,Lay woman,Beacon,
26.0,Veshthila,Male,Householder,Beacon,
27.0,Avalokiteshvara,Male,Bodhisattva,Beacon,Conducts/Transferences (stages 21–40)
28.0,Ananyagamin,Male,Universal traveller,Beacon,
29.0,Mahadeva,Male,Deva,Beacon,
30.0,Sthavara,Female,Earth Goddess,Beacon,
31.0,Vasanti,Female,Night Goddess,Beacon,
32.0,Samantagambhira Shrivimalaprabha,Female,Night Goddess,Beacon,
33.0,Pramuditanayana Jagadvirocana,Female,Night Goddess,Beacon,
34.0,Samantasattvatranojahshri,Female,Night Goddess,Beacon,
35.0,Prashantarutasagaravati,Female,Night Goddess,Beacon,
36.0,Sarvanagararakshasambhavatejahshri,Female,Night Goddess,Beacon,
37.0,Sarvavrikshapraphullanasukhasamvasa,Female,Night Goddess,Beacon,
38.0,Sarvajagadrakshapranidhanaviryaprabha,Female,Night Goddess,Beacon,
39.0,Sutejomandalaratishri,Female,Night Goddess,Beacon,
40.0,Gopa,Female,Girl,Beacon,
41.0,Maya,Female,Mother of the Buddha,Beacon,
42.0,Surendrabha,Female,Goddess (Heavenly),Beacon,
43.0,Vishvamitra,Male,Teacher,Beacon,
44.0,Shilpabhijna,Male,Teacher (Letters),Beacon,
45.0,Bhadrottama,Female,Lay woman,Beacon,
46.0,Muktasara,Male,Goldsmith,Beacon,
47.0,Suchandra,Male,Householder,Beacon,
48.0,Ajitasena,Male,Householder,Beacon,
49.0,Shivaragra,Male,Brahmin,Beacon,
50.0,Shrisambhava & Shrimati,M&F,Boy and girl,Beacon,
51.0,Maitreya,Male,Bodhisattva,Beacon,10th Bhumi/Equal Enlightenment
52.0,Manjushri,Male,Bodhisattva,Beacon,Wisdom/Final Stages
53.0,Samantabhadra,Male,Bodhisattva,Beacon,Wonderful Enlightenment/Final Stage
,,,,,
Notes:,,,,,
,,,,,
"The list above is based on the translation and summary provided by Jeff Watt, drawing from Thomas Cleary’s work8.",,,,,
,,,,,
"The Huayan (Avatamsaka) school understands Sudhana’s pilgrimage as a progressive journey through the 52 bodhisattva stages: 10 Faiths, 10 Dwellings, 10 Practices, 10 Transferences, 10 Bhūmis, Equal Enlightenment, and Wonderful Enlightenment57.",,,,,
,,,,,
"Not every teacher is mapped to a single stage; rather, the journey as a whole is the allegory for the path, and the last teachers (Maitreya, Manjushri, Samantabhadra) represent the culmination of the path578.",,,,,
,,,,,
This table provides a comprehensive overview of Sudhana’s 53 teachers as lamp-lights in the Gandavyūha Sūtra and their symbolic connection to the Huayan stages of enlightenment.,,,,,
Share,,,,,
Export,,,,,
Rewrite,,,,,
