Tablet (KTU/CAT),Approx. Date,Episode / Portion,Summary of Events,Key Themes,Main Characters,References / Notes,,,,
KTU 1.1 (CAT 1.1),c. 1500–1300 BCE,Baal vs. Yam: Divine Assembly,El presides over the divine council. Yam (Sea) is named as king and demands Baal’s surrender. The gods are fearful. Baal is reluctant but is encouraged by Anat and Astarte.,"Divine kingship, order vs. chaos","El, Yam, Baal, Anat, Astarte",El’s decree (1.1 IV–V); Yam’s messengers; Baal’s initial hesitation.,,,,
KTU 1.2 (CAT 1.2),c. 1500–1300 BCE,Baal’s Battle with Yam,"Baal, armed by Kothar-wa-Khasis, defeats Yam in a cosmic battle. Baal is established as a champion of the gods.","Divine conflict, heroism","Baal, Yam, Kothar-wa-Khasis",Baal’s victory (1.2 II–IV); weapons motif; Baal’s ascendance.,,,,
KTU 1.3 (CAT 1.3),c. 1500–1300 BCE,Baal’s Desire for a Palace,"Baal seeks a palace to cement his kingship. El refuses. Anat and Athirat intercede, offering gifts and persuasion. El eventually consents.","Divine negotiation, kingship","Baal, El, Anat, Athirat",Baal’s petition (1.3 III–IV); Athirat’s mediation.,,,,
KTU 1.4 (CAT 1.4),c. 1500–1300 BCE,Palace Construction & Enthronement,"Kothar-wa-Khasis builds Baal’s palace, initially without windows. Baal insists on opening them, showing confidence. Baal hosts a feast, marking his enthronement.","Kingship, divine order, celebration","Baal, Kothar-wa-Khasis, El, Anat",Palace built (1.4 V–VII); feast (1.4 VIII–IX).,,,,
KTU 1.4–1.5,c. 1500–1300 BCE,Baal vs. Mot: The Challenge,"Baal sends messengers to Mot (Death), inviting him to the feast. Mot threatens Baal. Baal descends to the underworld and is overcome by Mot. Drought and infertility afflict the earth.","Death, underworld, drought","Baal, Mot, messengers",Baal’s descent (1.5); Mot’s threats; land suffers.,,,,
KTU 1.6 (CAT 1.6),c. 1500–1300 BCE,Anat’s Vengeance & Baal’s Return,"Anat mourns Baal, confronts Mot, and violently slays him. Baal is resurrected and returns to his throne. Mot revives and challenges Baal again, but Baal refuses further conflict. Mot submits. Cosmic and agricultural order is restored.","Resurrection, restoration, cosmic order","Anat, Baal, Mot",Anat’s violence (1.6 I–II); Baal’s return (1.6 III–V); Mot’s submission.,,,,
KTU 1.6 (end),c. 1500–1300 BCE,Hymn / Cosmic Restoration,"The cycle closes with a hymn or disputation poem, celebrating Baal’s restored reign and the return of fertility and order.","Restoration, fertility, celebration","Baal, Mot, gods",Hymn/disputation (1.6 VI–VII).,,,,
Theme / Motif,Baal Cycle (Ugaritic),PIE Myths & Descendants,Related Biblical Stories,Enuma Elish (Babylonian),References,,,,,
Cosmic Battle: Storm vs. Sea,"Baal (storm god) battles Yam (Sea), defeats him, and is enthroned as king (KTU 1.1–1.2)12.","Storm god (e.g., Indra, Zeus, Thor) slays serpent/dragon (Vṛtra, Typhon, Jörmungandr).","Yahweh defeats sea/chaos monsters (Leviathan, Rahab) in Psalms 74:13-14, 89:9-10; Isaiah 27:1; Job 26:12-13.","Marduk (storm god) battles and kills Tiamat (Sea/Chaos), then is enthroned as king241011.",1241011.0,,,,,
Primordial Waters / Chaos,"Yam and Nahar (Sea and River) represent primordial chaos, opposed by Baal12.",Serpent/dragon often represents primordial chaos; storm god brings order.,"Genesis 1:2 “the deep” (tehom, related to Tiamat); chaos subdued at creation.",Apsu (fresh water) and Tiamat (salt water) are primordial chaos; Tiamat’s defeat brings order and creation6101112.,6101112.0,,,,,
