Era / Date (Approx.),Figure / Tradition,Snake Motif / Staff Name (Language),Core Narrative & Theme,Key Sources & Citations,Notes / Comparative Motifs
c. 2400 BCE,Nehebkau (Egyptian),Nehebkau (Egyptian: Nhb-K3w),"Primordial snake god, judge of the dead, originally a chaotic force but later a benevolent protector, associated with the afterlife and healing.","Pyramid Texts (Old Kingdom, c. 2400 BCE)145","First appears in Pyramid Texts; both feared and revered; associated with protection, healing, and immortality."
2500 BCE – 2300 BCE,"Sumerian, Akkadian","Sacred Tree with Palmette/Trident, Two-Fish","Sacred tree flanked by genii, topped with palmette/trident; two-fish motifs in river and fertility symbolism; fish pairs often flank the tree or appear as river spirits.","Cylinder seals, palace reliefs; fish as fertility, abundance, and duality symbols.",
c. 2600 BCE,Wadjet (Egyptian),"Uraeus (Egyptian: iaret, cobra symbol)","Cobra goddess, protector of Lower Egypt and pharaohs; represented as the rearing cobra on royal crowns, symbolizing divine authority, protection, and healing.",Iconography from Early Dynastic period onward; Pyramid Texts234,Uraeus as badge of royalty and defense; central to pharaonic iconography and magical protection.
c. 2500 BCE,Serpents in Egyptian Magic,"Various (Egyptian: djed, uraeus, amulets)","Serpents appear in healing cippi, amulets, and magical texts as both threats and protectors, embodying duality: chaos and healing, death and immortality.",Pyramid Texts; Coffin Texts; Book of the Dead4,"Serpent imagery widespread in amulets, healing rituals, and funerary art; associated with longevity."
c. 2200 BCE,Apep/Apophis (Egyptian),Apep (Egyptian: 3pp),"Serpent of chaos, enemy of the sun god Ra; nightly battles Ra in the underworld, embodying the cosmic struggle between order and chaos.",Pyramid Texts; Coffin Texts4,"Apep as the archetypal serpent of chaos, opposed to solar and royal order."
2000 BCE – 1500 BCE,"Egyptian, Levant","Solar Disc, Anchor-Cross, Palmette, Fish","Solar disc (Aten, Ra) as divine symbol; palmette and lotus on pillars; proto-anchor-cross shapes; fish and two-fish motifs in Nile and Levantine art.","Temple reliefs, jewelry, Phoenician ivories; solar disc as symbol of divinity and eternity.",
c. 2000 BCE,Assyro-Babylonian,"Mushussu (Akkadian: mušḫuššu, ""splendid serpent"")","Mythical hybrid serpent-dragon; sacred to gods like Marduk and Nabu, depicted on the Ishtar Gate as a symbol of divine protection and power.","Iconography from Uruk, Babylon (early 2nd millennium BCE); Enuma Elish","Mushussu as guardian and symbol of royal and divine authority; not a healing staff, but a protective serpent."
c. 1900 BCE,Ningishzida (Sumerian/Babylonian),"Ningishzida (""Lord of the Good Tree"")","God of the underworld, vegetation, and healing; depicted as a serpent or with serpents; associated with life, death, and rebirth.","Gudea Cylinders (Lagash, c. 2100 BCE); Sumerian texts","Early serpent-deity with healing, fertility, and underworld associations; staff with entwined serpents motif."
1500 BCE – 500 BCE,"Assyrian, Neo-Hittite","Trident-Palmette, Sacred Tree, Solar Disc","Sacred tree with trident or palmette top, flanked by winged genii; solar disc above tree or deity; two-fish motifs in river scenes.","Assyrian palace reliefs (Nimrud, Khorsabad); trident-palmette hybridization; solar disc as divine presence.",
c. 1500 BCE,Egyptian Healing Serpents,"Uraeus, magical staffs","Serpent images and staffs used in healing rituals, amulets, and spells for protection against poison and disease.","Medical papyri, magical texts, amulets4",Snakes as both threat and cure; healing cippi and magical wands often feature serpent motifs.
