Years,Name,Occupation/Role,Significance,Group
285-247 BCE,The Seventy Translators,Translators,"Created the Septuagint, Greek translation of Hebrew Bible",Hellenic Jews
250-200 BCE,Antigonus of Sokho,Philosopher,Early Pharisaic figure; first Jew known to have a Greek name.,Hellenic Jews
220-200 BCE,Demetrius the Chronographer,Historian,Wrote on biblical chronology in Alexandria,Hellenic Jews
181-124 BCE,Aristobulus of Alexandria,Philosopher,Attempted to fuse Hebrew Scriptures with Greek thought.,Hellenic Jews
175-170 BCE,Jason/Joshua,High Priest,Hellenizing high priest who promoted Greek customs in Jerusalem,Hellenic Jews
175-150 BCE,Aristobulus of Paneas,Philosopher,Early Jewish philosopher who interpreted Torah allegorically,Hellenic Jews
171-161 BCE,Menelaus,High Priest,Extreme Hellenizer who supported Antiochus IV's policies,Hellenic Jews
162-159 BCE,Alcimus,High Priest,Hellenized high priest during the Maccabean period,Hellenic Jews
150-120 BCE,Eupolemus,Historian,Jewish historian who wrote in Greek about Jewish history,Hellenic Jews
150-100 BCE,Ezekiel the Tragedian,Poet/Playwright,Wrote Greek tragedies based on biblical themes,Hellenic Jews
140-100 BCE,Artapanus,Historian,Wrote about biblical figures in Greek cultural terms,Hellenic Jews
140-100 BCE,Jason of Cyrene,Historian,Author whose work was summarized in 2 Maccabees,Hellenic Jews
139-67 BCE,Salome Alexandra,Political Leader,Queen of Judea who navigated between Pharisaic Judaism and Hellenistic politics,Hellenic Jews
120-40 BCE,Simon ben Shetach,Religious Leader,Pharisaic sage who incorporated Greek educational methods while maintaining Jewish law,Hellenic Jews
104-103 BCE,Judah Aristobulus I,Political/Religious Leader,"First Hasmonean to call himself king, balancing Jewish tradition with Hellenistic kingship",Hellenic Jews
100-50 BCE,Boethus,Religious Leader,"Founder of the Boethusians, a Hellenized Sadducean sect",Hellenic Jews
100-50 BCE,Cleodemus Malchus,Historian,Connected Jewish and Greek mythologies,Hellenic Jews
20 BCE-50 CE,Philo of Alexandria,Philosopher,Synthesized Jewish theology with Greek philosophy,Hellenic Jews
10 BCE-45 CE,Alexander the Alabarch,Political Official,"Wealthy Alexandrian Jew, customs official, brother of Philo",Hellenic Jews
10 BCE-44 CE,Agrippa I,Political Leader,Grandson of Herod who ruled as a Hellenized Jewish king with connections to Rome,Hellenic Jews
10-70 CE,Tiberius Julius Alexander,Roman Official,Nephew of Philo who abandoned Judaism for Roman service.,Hellenic Jews
15-65 CE,Dositheus the Samaritan,Religious Leader,Founded a Hellenized Samaritan sect influenced by Greek thought,Hellenic Jews
23-68 CE,Ananus ben Ananus,High Priest,Hellenized high priest who represented Jewish religious authority to Rome,Hellenic Jews
27-100 CE,Agrippa II,Political Leader,Last Herodian king who embodied Hellenistic Jewish royalty under Roman authority,Hellenic Jews
35-100 CE,Justus of Tiberias,Historian,Rival to Josephus; chronicled Jewish history from a Hellenistic perspective.,Hellenic Jews
37-100 CE,Josephus,Historian,Wrote Jewish history in Greek for Roman audience,Hellenic Jews
50 BCE-50 CE,Pseudo-Phocylides,Poet,Author of moral poetry blending Jewish ethics with Greek forms,Hellenic Jews
64 BCE-4 CE,Nicolaus of Damascus,Historian/Advisor,Greek historian who served as advisor to Herod the Great and wrote his biography,Hellenic Jews
70-117 CE,Lukuas (Andreas),Rebel Leader,Led Jewish resistance during the Diaspora Revolt in North Africa and Egypt.,Hellenic Jews
73-4 BCE,Herod the Great,Political Leader,Hellenized Jewish king under Roman patronage,Hellenic Jews
80-117 CE,Julian and Pappos,Rebel Leaders,Leaders of Jewish resistance during the Kitos War against Rome.,Hellenic Jews
130 CE,Trypho the Jew,Philosopher/Rabbi,Engaged in debates with early Christians; influenced by both Greek and Rabbinic thought.,Hellenic Jews
