Important Naga Serpent Deity Connections,,,,
Time Period,Deity/Being,Culture/Origin,Iconography & Features,Notes/Associations
c. 3100 BCE,Wadjet,Egyptian,"Cobra goddess, uraeus symbol","Protector of Lower Egypt, royal insignia, ""Eye of Ra"""
c. 2700 BCE,Apep/Apophis,Egyptian,Giant serpent,"Embodiment of chaos, enemy of Ra and solar barque"
c. 2650 BCE,Nehebkau,Egyptian,Serpent god,"Linked to afterlife, ""Uniter of Ka"""
c. 2600 BCE,Sekhmet,Egyptian,Lion-headed goddess,"War, healing, solar power, ""Powerful One"""
c. 2300 BCE,Mušḫuššu,Mesopotamian,Dragon/serpent with lion forelimbs,Sacred animal of Marduk and Nabu
c. 2000 BCE,Wadjet-Nekhbet (Nebty),Egyptian,Combined cobra and vulture,"Two Ladies, unification of Upper and Lower Egypt"
c. 305 BCE,Serapis,Greco-Egyptian,Sometimes depicted with serpent elements,Syncretic deity combining Osiris and Apis
c. 2500 BCE,Isis,Egyptian,Sometimes depicted with serpent elements,"Magic, healing, motherhood, protection"
c. 2000 BCE,Taweret,Egyptian,"Hippo body, sometimes with crocodile back","Protective goddess, childbirth, fertility"
c. 1500 BCE,Ahriman (Angra Mainyu),Zoroastrian,Sometimes serpent or dragon,"Evil principle, cosmic adversary"
c. 1500 BCE,Naga,Indian,"Serpent beings, sometimes half-human","Water deities, guardians of treasure"
c. 900 BCE,Takshaka,Hinduism,Naga king in Mahabharata,Caused death of King Parikshit
c. 800 BCE,Vasuki,Hinduism/Buddhism,Serpent used to churn cosmic ocean,Creator of amrita (immortality elixir)
c. 800 BCE,Nagaraja/Parshvanatha,Jain,"23rd Tirthankara, depicted with snake hood",Associated with serpent king protection
c. 700 BCE,Shesha/Ananta,Hinduism,"Thousand-headed cosmic serpent, bed of Vishnu","Represents infinity, cosmic cycles"
c. 800 BCE,Parshvanatha,Jainism,23rd Tirthankara depicted with snake canopy,Serpentine iconography in Jain tradition
c. 599-527 BCE,Dharanendra,Jain,Serpent king with multiple hoods,Protected Mahavira during meditation
c. 570 BCE,Phanes,Greek/Orphic,"Serpent-bodied, sometimes with animal heads","Primordial creator, emerges from cosmic egg"
c. 500 BCE,Mucalinda,Buddhist,Seven-headed serpent/naga king,Protected Buddha during meditation
c. 500 BCE,Zervan,Persian (Zervanism),Sometimes lion-headed with serpent elements,"Infinite time, father of Ahura Mazda and Ahriman"
c. 400 BCE,Karkotaka,Hinduism,Naga king in Mahabharata,Transformed Nala; associated with divine tests
c. 300 BCE,Apedemak,Nubian (Kushite),"Lion-headed, often three-headed","Warrior god, kingship, fertility"
c. 300 BCE,Patala Nagas,Hinduism,Subterranean serpent beings,Guardians of underworld treasures
c. 100 BCE,Aion/Chronos,Greco-Roman/Mithraic,"Lion-headed, serpent coiled around body, wings",Personification of time; Mithraic mysteries
c. 200 BCE,Nāgarāja,Buddhism,Serpent kings converted by Buddha,Represent non-human beings accepting dharma
c. 200 CE,Demiurge (Yaldabaoth),Gnostic,"Lion-headed, serpent-bodied",Creator of material world; flawed god
c. 200 CE,Abraxas,Gnostic,"Rooster-headed, serpent-legged","Associated with magic, cosmic principles"
c. 200 CE,Panchamukhi Hanuman,Hindu,"Five heads: monkey, lion, eagle, boar, horse",Represents five directions and aspects
c. 300 CE,Navagunjara,Hindu,"Nine animal parts (including lion, elephant, serpent)",Composite form of Vishnu/Krishna
c. 400 CE,Vaikuntha Chaturmurti,Hindu,"Four heads: human, lion, boar, demonic",Represents Vishnu's avatars and cosmic aspects
c. 500 CE,Shiva (Trimukha/Panchamukha),Hindu,"Three or five heads, sometimes with animal aspects","Three heads: creation, preservation, destruction"
c. 500 CE,Manasa,Hinduism/Buddhism,Serpent goddess of fertility and protection,"Folk deity, protector from snakebites"
c. 600 CE,Gajasimha,Hindu/Southeast Asian,"Lion body, elephant head","Guardian creature, temple protector"
c. 800 CE,Jörmungandr,Norse,Giant serpent encircling the world,Brings about Ragnarok
c. 900 CE,Airavata/Erawan,Hindu/Thai,Elephant with three or sometimes thirty-three heads,Mount of Indra; rain and fertility
c. 1000 CE (major cult growth),Ganesha,Hindu,"Elephant head, human body, multiple arms","Remover of obstacles, wisdom, beginnings"
c. 1000 CE,Vinayaki,Hindu,Elephant-headed goddess,"Matrika, female counterpart to Ganesha"
c. 1100 CE (major cult growth),Hayagriva,Hindu,"Horse head, human body, four arms","Avatar of Vishnu, wisdom and knowledge"
c. 1200 CE (major cult growth),Narasimha,Hindu,"Lion head, human body","Avatar of Vishnu, destroys evil"
