Comprehensive Timeline of Avestan and Related Ancient Languages,,,
Time Period,Region/Area,Dynasty/Civilization,Event/Development
c. 4500-3500 BCE,Eastern Europe/Western Asia,Proto-Indo-European speakers,Proto-Indo-European language spoken; ancestral to all Indo-European languages including later Avestan and Greek
c. 3500-3000 BCE,Levant/Canaan,Early Canaanite peoples,"Proto-Canaanite language emerging from Proto-Afroasiatic; ancestral to later Hebrew, Phoenician, and other Canaanite languages"
c. 3000-2500 BCE,Pontic-Caspian steppe,Late PIE communities,Proto-Indo-European begins diverging into distinct branches
c. 3000-2600 BCE,Levant,Early Bronze Age Canaanite settlements,Early Canaanite dialects developing; earliest precursors to Hebrew emerging
c. 2500-2000 BCE,Central Asian steppes,Proto-Indo-Iranian,Split of Proto-Indo-Iranian from other Indo-European branches
c. 2500-2000 BCE,Eastern Mediterranean,Pre-Greek/Hellenic cultures,"Proto-Greek developing from Indo-European, ancestor of Mycenaean Greek that would later use Linear B"
c. 2300-2000 BCE,Levant,Canaanite city-states,"Development of Proto-Sinaitic script, ancestor of Phoenician and Hebrew alphabets"
c. 2000-1800 BCE,Central Asia,Early Indo-Iranian communities,Split between Proto-Iranian and Proto-Indo-Aryan (ancestor of Sanskrit)
c. 1850-1750 BCE,Syria/Upper Mesopotamia,Amorite kingdoms,Early Aramaic emerging as a distinct Northwest Semitic language
c. 1800-1500 BCE,Eastern Iranian Plateau,Early Iranian tribes,Development of Proto-Iranian dialects including the ancestor of Avestan
c. 1600-1500 BCE,Crete/Greece,Minoan/Early Mycenaean civilizations,Development of Linear A (undeciphered) and early forms of writing preceding Linear B
c. 1500-1400 BCE,Mycenaean Greece,Mycenaean civilization,"Linear B script developed to write Mycenaean Greek, earliest attested form of Greek"
c. 1500-1000 BCE,Eastern Greater Iran,Early Iranian pastoral societies,Old Avestan period begins; closely related linguistically to Vedic Sanskrit
c. 1500-1200 BCE,Northern India/Pakistan,Vedic culture,Composition of early Rigveda hymns; shows strong linguistic similarities with Old Avestan
c. 1400-1200 BCE,Levant,Late Bronze Age Canaanite city-states,Proto-Canaanite script evolving toward Phoenician alphabet
c. 1200-1150 BCE,Eastern Mediterranean,Late Bronze Age collapse,"Fall of Mycenaean palaces; Linear B script falls out of use; Greek enters ""dark age"""
c. 1200-1000 BCE,Levant,Early Iron Age,Emergence of distinct Phoenician and Hebrew languages from Canaanite; early Hebrew writing
c. 1100-1000 BCE,Levant,Phoenician city-states/early Israel,Phoenician alphabet fully developed; adapted for early Hebrew writing
c. 1050-950 BCE,Levant,United Kingdom of Israel,Early Biblical Hebrew period; begins to be written in a variant of the Phoenician script
c. 1000-900 BCE,Eastern Greater Iran (modern Afghanistan/Tajikistan),Possible Yaz culture connection,Approximate time of Zarathustra according to modern scholarship; composition of Gathas in Old Avestan
c. 1000-800 BCE,Levant/Mesopotamia,Neo-Assyrian expansion period,Aramaic begins spreading as a trade language
c. 900-400 BCE,Eastern Greater Iran,Pre-Achaemenid Iranian societies,"Young Avestan period; composition of Yashts, Vendidad and other ritual texts"
c. 900-600 BCE,Greece,Greek city-states,Greek alphabet developed from Phoenician script; emergence of Archaic Greek dialects
c. 850-586 BCE,Kingdom of Judah,Iron Age II period,Classical Biblical Hebrew period; standardization of Hebrew writing
c. 800-600 BCE,Near East,Neo-Assyrian Empire,Aramaic becomes widespread diplomatic language throughout the Near East
c. 700-600 BCE,Eastern Greater Iran,Various Iranian tribal groups,Young Avestan shows morphological and syntactical similarities with Old Persian
c. 600-539 BCE,Babylonia/Judah,Neo-Babylonian Empire,Judean exile; increasing Aramaic influence on Hebrew
c. 600-550 BCE,Western Iran,Early Achaemenid dynasty,Traditional (now considered inaccurate) dating of Zarathustra's lifetime
c. 550-330 BCE,Persian Empire,Achaemenid Empire,Avestan becomes primarily liturgical; shift of political power to Western Iran; Imperial Aramaic becomes official administrative language
c. 539-332 BCE,Judea/Persian Empire,Persian period,Late Biblical Hebrew period; Aramaic replaces Hebrew as common spoken language among Jews
c. 330-250 BCE,Greater Iran,Seleucid Empire,Hellenistic period; continued oral transmission of Avestan texts; Aramaic remains important administrative language
c. 300-200 BCE,Egypt/Levant,Ptolemaic period,Septuagint (Greek translation of Hebrew Bible) created; shows Hebrew's evolving status
c. 250 BCE-224 CE,Greater Iran,Parthian Empire (Arsacids),Avestan preserved as liturgical language among Zoroastrian communities
c. 200 BCE-70 CE,Judea,Hasmonean and Roman periods,"Mishnaic Hebrew develops; Dead Sea Scrolls written in Hebrew, Aramaic, and Greek"
