Early Christian Writers (1st-5th Centuries),,,,,,,,,,,,,,,,,,,,,,,,,
From ,Era,To,Era,Figure,Major Works,Core Philosophy/Theology,Influences/Affiliations,,,,,,,,,,,,,,,,,,
35.0,CE,99.0,CE,Clement of Rome,First Epistle to the Corinthians,"Ecclesiastical authority, apostolic succession","Direct connection to apostles, Roman church leadership",,,,,,,,,,,,,,,,,,
35.0,CE,107.0,CE,Ignatius of Antioch,Seven authentic epistles,"Episcopal authority, proto-orthodox theology, Eucharistic unity","Early martyr, Johannine tradition",,,,,,,,,,,,,,,,,,
60.0,CE,130.0,CE,Papias of Hierapolis,Expositions of the Sayings of the Lord (fragments),"Early gospel traditions, chiliasm (millennialism)",Possibly connected to John the Elder,,,,,,,,,,,,,,,,,,
69.0,CE,155.0,CE,Polycarp,Fragments from Victor of Capua,Apostolic Christianity,Direct disciple of John the Apostle,,,,,,,,,,,,,,,,,,
100.0,CE,165.0,CE,Justin Martyr,"First and Second Apologies, Dialogue with Trypho","Christian Platonism, Logos theology, philosophical defense","Greek philosophical tradition, martyred in Rome",,,,,,,,,,,,,,,,,,
120.0,CE,180.0,CE,Tatian,"Diatessaron, Address to the Greeks","Gospel harmonization, radical asceticism","Student of Justin Martyr, later considered heretical",,,,,,,,,,,,,,,,,,
125.0,CE,130.0,CE,Aristides the Philosopher,The Apology,"Christian apologetics, defense of monotheism",Greek philosophical tradition,,,,,,,,,,,,,,,,,,
130.0,CE,202.0,CE,Irenaeus,"Against Heresies, The Proof of the Apostolic Preaching","Anti-Gnostic polemic, apostolic succession","Polycarp, apostolic tradition",,,,,,,,,,,,,,,,,,
,CE,183.0,CE,Theophilus of Antioch,To Autolycus,"Early Trinitarian formulations, biblical chronology","Hellenistic Jewish influences, Antiochene tradition",,,,,,,,,,,,,,,,,,
133.0,CE,190.0,CE,Athenagoras of Athens,"Embassy/Plea for Christians, On the Resurrection","Philosophical apologetics, defense of resurrection","Platonic influences, Athenian philosophical tradition",,,,,,,,,,,,,,,,,,
150s,CE,,CE,Hermias the Philosopher,Derision of Gentile Philosophers,Christian critique of pagan philosophy,Christian apologetic tradition,,,,,,,,,,,,,,,,,,
150.0,CE,215.0,CE,Clement of Alexandria,"Stromata, Paedagogus, Protrepticus","Christian Platonism, gnosis as higher knowledge","Alexandrian school founder, Greek philosophy",,,,,,,,,,,,,,,,,,
155.0,CE,220.0,CE,Tertullian,"Apologeticum, Against Marcion, De Praescriptione","Latin theological vocabulary, anti-heretical polemics","Legal background, later Montanist",,,,,,,,,,,,,,,,,,
170.0,CE,235.0,CE,Hippolytus of Rome,"Refutation of All Heresies, On Christ and Antichrist","Anti-papal schismatic, eschatology","First antipope, Greek-speaking Roman theology",,,,,,,,,,,,,,,,,,
184.0,CE,253.0,CE,Origen,"On Prayer, Philocalia, Commentary on John","Allegorical exegesis, universalism","Platonism, Clement of Alexandria",,,,,,,,,,,,,,,,,,
200.0,CE,258.0,CE,Cyprian of Carthage,"On the Unity of the Church, On the Lapsed","Ecclesiology, episcopal unity, rebaptism controversy","North African tradition, martyrdom",,,,,,,,,,,,,,,,,,
200.0,CE,258.0,CE,Novatian,"On the Trinity, On Jewish Foods","Rigorist approach to the lapsed, trinitarian theology","Schismatic Roman presbyter, early Latin theology",,,,,,,,,,,,,,,,,,
,CE,264.0,CE,Dionysius of Alexandria,Letters to Popes Stephen and Xystus,"Church unity, baptismal theology",Origen's school,,,,,,,,,,,,,,,,,,
213.0,CE,270.0,CE,Gregory Thaumaturgus,Sermons,Origen's theology,Direct student of Origen,,,,,,,,,,,,,,,,,,
,CE,393.0,CE,Eunomius of Cyzicus,The First Apology,"Neo-Arianism, anomoeanism",Aetius of Antioch,,,,,,,,,,,,,,,,,,
260.0,CE,340.0,CE,Eusebius of Caesarea,"Ecclesiastical History, Praeparatio Evangelica, Demonstratio Evangelica, Chronicon","Church history, apologetics","Origen, imperial Christianity",,,,,,,,,,,,,,,,,,
280.0,CE,345.0,CE,Aphrahat,Demonstrations,"Asceticism, Jewish-Christian dialogue",Persian Christianity,,,,,,,,,,,,,,,,,,
