Comprehensive Philosophers Table with Metadata,,,,,,,
Name,Dates,Tradition,Core Philosophy/Teachings,Notable Works,Influenced By,Teacher Of,Student Of
Cadmus,c. 1500-1200 BCE (mythological),Greek Mythology,Credited with introducing the Phoenician alphabet to Greece,N/A,Phoenician culture,N/A,N/A
Linus,c. 1400-1200 BCE (mythological),Greek Mythology,Music and rhythm; early poetic tradition,N/A,N/A,Orpheus (legend),Apollo (legend)
Tiresias,c. 1400-1200 BCE (mythological),Greek Divination,Prophecy and divine wisdom,N/A,N/A,N/A,N/A
Minos,c. 1400-1200 BCE (mythological),Cretan culture,Law and governance,N/A,Zeus (mythology),N/A,N/A
Eumolpus,c. 1300-1200 BCE (mythological),Eleusinian Mysteries,Mystery traditions and initiation rites,N/A,N/A,N/A,N/A
Orpheus,c. 1300-1100 BCE (mythological),Orphic Mysteries,"Harmony, poetry, immortality of soul",Orphic Hymns (attributed),N/A,Musaeus,Linus (legend)
Musaeus,Unknown date (mythological),Orphic tradition,Poetry and prophecy,N/A,Orpheus,N/A,N/A
Midas,c. 1200-1100 BCE (mythological),Phrygian culture,N/A,N/A,N/A,N/A,N/A
Homer,c. 8th Century BCE,Epic poetry,"Heroic ethics, fate, honor","""Iliad,"" ""Odyssey""",Oral tradition,N/A,N/A
Hesiod,c. 700 BCE,Didactic poetry,"Cosmogony, agriculture, ethics","""Theogony,"" ""Works and Days""",Homer,N/A,N/A
Pittacus of Mytilene,c. 640-568 BCE,Seven Sages,Political wisdom,N/A,N/A,N/A,N/A
Solon,c. 630–560 BCE,Seven Sages,"Democracy, ethics, poetry","Legal reforms, poems",N/A,N/A,N/A
Periander,c. 627–585 BCE,Seven Sages,Political governance,N/A,N/A,N/A,N/A
Periander of Corinth,c. 625-585 BCE,Seven Sages,Political wisdom,N/A,N/A,N/A,N/A
Epimenides,c. 600 BCE,Greek religious reformer,"Purification, spiritual renewal",N/A,Cretan traditions,N/A,N/A
Name,Dates,Tradition,Core Philosophy/Teachings,Notable Works,Influenced By,Teacher Of,Student Of
Thales of Miletus,624-546 BCE,Milesian School,Water as first principle; cosmos is alive,"""On Nature"" (lost)",Egyptian mathematics,Anaximander,N/A
Anaximander,610-546 BCE,Milesian School,Apeiron (boundless) as first principle,"""On Nature"" (fragments)",Thales,Anaximenes,Thales
