"Here is a comprehensive table of the major and minor East Asian Buddhist schools and sects you listed, with key information for each: approximate founding period, country of origin, doctrinal focus, and brief notes. This includes Chan/Zen, Pure Land, Vinaya, scholastic, syncretic, and modern movements from China, Vietnam, Korea, and Japan179.",,,,
School/Sect,Founded (Century),Country/Region,Doctrinal Focus/Type,Notes/Description
Chan (Zen),6th CE,China,"Meditation, direct experience","Became Zen in Japan, Seon in Korea, Thiền in Vietnam"
Five Houses of Chan,9th–10th CE,China,"Meditation, lineage","Caodong, Fayan, Guiyang, Linji, Yunmen"
Caodong,9th CE,China,Silent illumination,Sōtō Zen in Japan
Linji,9th CE,China,"Kōan practice, sudden enlightenment",Rinzai Zen in Japan
Fayan,10th CE,China,Integration of doctrine and meditation,Absorbed into Linji
Guiyang,10th CE,China,"Meditation, unique teaching style",Minor house
Yunmen,10th CE,China,"One-word answers, directness",Absorbed into Linji
Oxhead school,8th CE,China,Paradoxical dialogue,"Early Chan, later absorbed"
East Mountain Teaching,7th CE,China,"Early Chan, gradual enlightenment",Precursor to later schools
Heze school,8th CE,China,Integration of doctrine and meditation,"Historical, influential"
Hongzhou school,8th–9th CE,China,"Emphasis on mind, iconoclasm",Influential in Chan development
Sanjiejiao,6th–7th CE,China,"Syncretic, apocalyptic","Historical, not extant"
Jingtu (Pure Land),4th–5th CE,China,"Faith in Amitabha, rebirth",Very influential in East Asia
Guanyin Buddhism,Various,China,Devotion to Avalokiteshvara,Syncretized with folk religion/Taoism
Lüzong (Vinaya school),7th CE,China,Vinaya (monastic discipline),Focus on monastic rules
Chengshi (Satyasiddhi),5th–6th CE,China,"Abhidharma, emptiness","Historical, not extant"
Kosa (Abhidharmakośa),6th CE,China,Abhidharma analysis,"Historical, not extant"
Sanlun (Three Treatises),6th CE,China,"Madhyamaka, emptiness",Based on Nāgārjuna’s works
Weishi/Faxiang (Yogācāra),7th CE,China,Consciousness-only (Yogācāra),"Historical, not extant"
Shelun,6th CE,China,"Yogācāra, Asanga’s summary","Historical, not extant"
Niepan (Nirvana school),6th CE,China,"Tathāgatagarbha, Buddha-nature","Based on Nirvana Sutra, historical"
Dilun,6th CE,China,"Ten Bhumis, Bodhisattva path",Absorbed into Huayan
Tiantai,6th CE,China,"Lotus Sutra, Threefold Truth",Tendai in Japan
Huayan,7th CE,China,"Interpenetration, Avataṃsaka Sutra",Kegon in Japan
Zhenyan (Esoteric),8th CE,China,"Tantric, mantra, ritual",Shingon in Japan
Humanistic Buddhism,20th CE,Taiwan/China,"Social engagement, modernization","Fo Guang Shan, Dharma Drum, Tzu Chi, Chung Tai Shan"
Tibetan Chan,8th CE,Tibet/China,"Early Tibetan Buddhism, Chan influence","Historical, not extant"
Vietnamese Thiền,6th CE,Vietnam,"Meditation, Zen tradition",Syncretized with local beliefs
Tịnh Độ (Pure Land),6th CE,Vietnam,Pure Land Buddhism,Major Vietnamese school
Thiên Thai (Tiantai),6th CE,Vietnam,"Lotus Sutra, Tiantai tradition",Vietnamese Tiantai
Hoa Nghiêm (Huayan),7th CE,Vietnam,Huayan/Avataṃsaka tradition,Vietnamese Huayan
Lâm Tế (Linji),12th CE,Vietnam,Linji Zen tradition,Vietnamese Rinzai
Tào Động (Caodong),12th CE,Vietnam,Caodong Zen tradition,Vietnamese Sōtō
Trúc Lâm,13th CE,Vietnam,"Zen, syncretic",Local Vietnamese Zen school
Plum Village Tradition,20th CE,France/Vietnam,Engaged Buddhism,Founded by Thich Nhat Hanh
Order of Interbeing,20th CE,Vietnam/Global,"Engaged Buddhism, lay/monastic",Founded by Thich Nhat Hanh
Đạo Bửu Sơn Kỳ Hương,19th CE,Vietnam,"Millenarian, syncretic",Vietnamese new religious movement
Tứ Ân Hiếu Nghĩa,19th CE,Vietnam,"Reformist, filial piety",Vietnamese new religious movement
Hòa Hảo,20th CE,Vietnam,"Reformist, lay-oriented",Large lay Buddhist movement
Đạo Phật Khất sĩ Việt Nam,20th CE,Vietnam,"Mendicant, modern",Vietnamese Buddhist order
Minh Sư Đạo,19th CE,Vietnam,"Syncretic (Theravada, Confucianism)",Vietnamese new religious movement
Minh Lý Đạo,20th CE,Vietnam,"Syncretic (Confucianism, Taoism)",Vietnamese new religious movement
Đo Cư Sĩ Phật Hội,20th CE,Vietnam,Lay Buddhist association,Vietnamese Buddhist group
Śaiva-Mahayana SE Asia,Medieval,SE Asia,Syncretic with Hinduism,"Historical, not extant"
Korean Tongbulgyo,7th–8th CE,Korea,Interpenetrated Buddhism,"Includes Pure Land, Huayan"
Gyeyul,7th CE,Korea,"Vinaya, monastic discipline","Historical, not extant"
Samnon,7th CE,Korea,"Madhyamaka, emptiness","Historical, not extant"
Beopsang,7th CE,Korea,"Yogācāra, consciousness-only","Historical, not extant"
Yeolban,7th CE,Korea,Nirvana school,"Historical, not extant"
Wonyung,7th CE,Korea,Avataṃsaka (Huayan),Absorbed into Jogye Order
Cheontae,7th CE,Korea,"Tiantai, Lotus Sutra",Korean Tiantai
Hwaeom,7th CE,Korea,"Huayan, Avataṃsaka",Absorbed into Jogye Order
Seon,8th CE,Korea,Zen/Chan tradition,"Jogye, Taego, Kwan Um schools"
Jogye Order,20th CE,Korea,Main Seon (Zen) order,Largest Korean Buddhist order
Kwan Um School of Zen,20th CE,Korea/Global,"Seon/Zen, international",Founded by Seung Sahn
Taego Order,20th CE,Korea,"Seon/Zen, married clergy allowed",Second largest Korean order
Wonbulgyo,20th CE,Korea,Korean reformed Buddhism,Modern lay-oriented school
