Historical Timeline of Witch Hunts and Related Events,,,,,
Year,Event,Location,Key Figures,Literary Works,Additional Context
1300-1330 CE,Beginning of European witch hunts,Western Europe,"Pope Boniface VIII, Pope John XXII",None,"Early accusations against learned individuals and clergy; witchcraft seen as heresy and apostasy. Pope John XXII's bull ""Super illius specula"" (1326) condemned sorcery as heresy."
1305-1314 CE,Templar Trials,"France, Papal States","Pope Clement V, King Philip IV of France",Processus contra Templarios (trial records),"Trials of the Knights Templar for heresy and devil worship, setting a precedent for later witch hunts. Many Templars were tortured and executed. The dissolution of the order allowed the French crown to seize their considerable assets."
1324-1325 CE,Trial of Alice Kyteler,"Kilkenny, Ireland","Alice Kyteler, Bishop Richard de Ledrede",A Contemporary Narrative of the Proceedings Against Dame Alice Kyteler by Richard de Ledrede,"First recorded witch trial in Ireland. Kyteler escaped to England, but her maid Petronilla de Meath was flogged and burned at the stake, becoming the first person executed for witchcraft in Ireland."
1390 CE,Witch trials in Milan,"Duchy of Milan, Italy",Inquisitor Ruggeri,None,"Early systematic persecution of witches in Northern Italy, establishing the connection between witchcraft and diabolism."
1427 CE,Witch trials in Todi,Papal States,Inquisitors,None,"First documented case of a ""witches' sabbath"" description in trial records."
1431 CE,Trial and execution of Joan of Arc,"Rouen, France","Joan of Arc, Pierre Cauchon, John of Lancaster (Duke of Bedford)",The Trial of Jeanne d'Arc (trial records),"Joan was accused of heresy and witchcraft. Her trial and execution had political motivations during the Hundred Years' War. She was rehabilitated and declared innocent in 1456, later canonized in 1920."
1436-1438 CE,Witch trials in the Valais,Switzerland,Johannes Nider,Formicarius by Johannes Nider,Early witch trials in Alpine regions that were described in Nider's influential work about witchcraft.
1450 CE,Publication of Formicarius,"Basel, Switzerland",Johannes Nider,Formicarius,Influential early treatise describing witchcraft as a sect engaged in harmful magic and devil worship.
1458 CE,Witch trials in Arras,France,"Jacques du Boys, Pierre le Broussart",None,"The ""Vauderie of Arras"" trials where accusations of witchcraft were used against political enemies and wealthy citizens."
1484 CE,Papal Bull Summis Desiderantes Affectibus,Papal States,Pope Innocent VIII,None,"Encouraged the persecution of witches in the Rhine River valley, giving papal approval to Heinrich Kramer's witch-hunting activities and supporting the publication of Malleus Maleficarum."
1486-1487 CE,Publication of Malleus Maleficarum,Germany,"Heinrich Kramer, Jacob Sprenger",Malleus Maleficarum (The Hammer of Witches),"Influential treatise that outlined methods for identifying and prosecuting witches, fueling witch hunts across Europe. Notably misogynistic, linking witchcraft primarily to women."
1500-1525 CE,Rise of witchcraft prosecutions in Switzerland,Switzerland,Various local magistrates,None,"Increasing number of witchcraft trials in Swiss territories, establishing patterns that would spread throughout Europe."
1532 CE,Constitutio Criminalis Carolina,Holy Roman Empire,Emperor Charles V,Constitutio Criminalis Carolina (legal code),Imperial law code that codified witchcraft as a crime punishable by death throughout the Holy Roman Empire.
1542 CE,First English Witchcraft Act,England,King Henry VIII,None,"Made witchcraft a felony in England for the first time, though focused more on harmful magic than diabolism."
1545-1563 CE,Council of Trent,"Trent, Holy Roman Empire (now Italy)","Pope Paul III, Pope Julius III, Pope Pius IV",Council decrees,Catholic Counter-Reformation council that reinforced Church authority and indirectly intensified witch-hunting by emphasizing rigid orthodoxy.
1563 CE,Witchcraft Act,England,Queen Elizabeth I,None,"Made witchcraft a statutory crime in England, punishable by death, replacing Henry VIII's earlier law and expanding its scope."
1572 CE,St. Bartholomew's Day Massacre,France,"Catherine de' Medici, King Charles IX",None,"Mass killing of Huguenots (French Protestants) that increased religious tensions and suspicions throughout Europe, contributing to the climate of fear that enabled witch hunts."
1580-1640 CE,Peak of European witch-hunt fervor,"Western Germany, Low Countries, France, Northern Italy, Switzerland","Various local magistrates, religious leaders",Various demonological treatises,"Mass executions; economic pressures, climate deterioration (Little Ice Age), religious warfare, and societal anxieties intensified witch hunts. Estimated 40,000-60,000 people executed for witchcraft during this period."
1584 CE,Publication of The Discovery of Witchcraft,England,Reginald Scot,The Discovery of Witchcraft,One of the first books to criticize witch hunts and question the reality of witchcraft. King James I later ordered all copies burned.
