w,Year (CE),Role/Contribution,Oldest Source,Oldest Text Date (BCE/CE),Region,School/Tradition
Aaron,1396 - 1273 BCE,First high priest of the Israelites,Exodus,1400-1200 BCE,,
Abel,?,"Second son of Adam and Eve, murdered by Cain",Genesis,1400-1200 BCE,,
Abigail,1040 - ? BCE,Wife of David,1 Samuel,1000-900 BCE,,
Abraham,1813–1638 BCE,"Father of monotheism, covenant with God",,,Mesopotamia/Canaan,Hebrew Patriarch
Abraham,2056 - 1881,Patriarch; father of monotheism,Genesis,1400-1200,,
Absalom,1000 - 970 BCE,"Third son of David, rebelled against his father",2 Samuel,1000-900 BCE,,
Adam,4114 - 3184,First man created by God,Genesis,1400-1200,,
Ahab,874 - 853 BCE,King of Israel,1 Kings,900-800 BCE,,
Ahasuerus,486 - 465 BCE,"Persian king, identified with Xerxes I",Esther,400-300 BCE,,
Ahaz,732 - 716 BCE,King of Judah,"2 Kings, Isaiah",700-600 BCE,,
Alexander the Great,356 - 323 BCE,"Macedonian king, mentioned in prophecies",Daniel,165-164 BCE,,
Ali ibn Abi Talib,580–662,"Fourth Caliph, first Imam in Shia Islam",,,Arabia,Islam (Shia & Sunni)
Amos,760 - 750 BCE,Prophet,Book of Amos,750-700 BCE,,
Andrew,6 BCE - 60 CE,Apostle of Jesus,Gospels,70-100 CE,,
Balaam,?,Non-Israelite prophet,Numbers,1400-1200 BCE,,
Bartholomew,? - 60 CE,Apostle of Jesus,Gospels,70-100 CE,,
Boaz,1100 BCE,Great-grandfather of David,Book of Ruth,1000-900 BCE,,
Caiaphas,18 - 36 CE,High priest during Jesus' trial,Gospels,70-100 CE,,
Cain,?,First son of Adam and Eve,Genesis,1400-1200 BCE,,
Caleb,1400 BCE,Spy sent to Canaan,Numbers,1400-1200 BCE,,
Daniel,620 - 538,Prophet during Babylonian exile,Daniel,165-164,,
David,1040 - 970,Second king of Israel; reigned for 40 years,1 Samuel,1000-900,,
Deborah,1200 BCE,Judge and prophetess,Judges,1000-900 BCE,,
Delilah,1100 BCE,Betrayer of Samson,Judges,1000-900 BCE,,
Eli,1100 BCE,High priest and judge,1 Samuel,1000-900 BCE,,
Elijah,900 - 849 BCE,Prophet known for confronting King Ahab,1 Kings,1000-900 BCE,,
Elisha,891 - 797 BCE,Prophet and successor to Elijah,1 & 2 Kings,900-800 BCE,,
Enoch,?,Walked with God and was taken,Genesis,1400-1200 BCE,,
Esau,1800 BCE,"Son of Isaac, twin brother of Jacob",Genesis,1400-1200 BCE,,
Esther,518 - 458 BCE,Jewish queen of Persia who saved her people,Book of Esther,400-300 BCE,,
Eve,?,"First woman, wife of Adam",Genesis,1400-1200 BCE,,
Ezekiel,620–540 BCE,Prophet during Babylonian exile,,,Babylon,Judaism/Prophet
Ezra,480 - 440,Priest and scribe; led exiles back to Jerusalem,Ezra,400-300,,
Gideon,1150 BCE,Judge who defeated the Midianites,Judges,1000-900 BCE,,
Goliath,1000 BCE,Philistine giant defeated by David,1 Samuel,1000-900 BCE,,
Habakkuk,600 BCE,Prophet,Habakkuk,600-500 BCE,,
Hagar,2000 BCE,"Sarah's maidservant, mother of Ishmael",Genesis,1400-1200 BCE,,
Ham,?,Son of Noah,Genesis,1400-1200 BCE,,
Hannah,1100 BCE,Mother of Samuel,1 Samuel,1000-900 BCE,,
Hasan al-Basri,676–749,"Early ascetic, influenced Islamic mysticism",,,Iraq,Early Islam/Sufism
Herod Agrippa I,10 BCE - 44 CE,King who persecuted early Christians,Acts,70-100 CE,,
Herod Antipas,20 BCE - 39 CE,Ruler of Galilee during Jesus' ministry,Gospels,70-100 CE,,
Herod the Great,73 - 4 BCE,King of Judea at the time of Jesus' birth,Matthew,70-100 CE,,
Hezekiah,715 - 686 BCE,King of Judah,"2 Kings, Isaiah",700-600 BCE,,
Hosea,753 - 715 BCE,Prophet to Israel before its fall,Book of Hosea,750-700 BCE,,
Ibn Taymiyyah,1263–1328,"Influential scholar, opposed certain Sufi practices",,,Syria,Islam (Hanbali)
Isaac,1900 BCE,"Son of Abraham, father of Jacob and Esau",Genesis,1400-1200 BCE,,
Isaiah,765 - 695,Major prophet; prophesied about the Messiah,Isaiah,800-700,Israel,Judaism/Prophet
Ishmael,2000 BCE,Son of Abraham and Hagar,Genesis,1400-1200 BCE,,
Ja'far al-Sadiq,702–765,"Sixth Imam, key figure in Shia and Sunni thought",,,Arabia,Shia Islam/Sufism
James (Jesus' brother),1 CE - 62 CE,Leader of Jerusalem church,Epistle of James,50 CE,,
Japheth,?,Son of Noah,Genesis,1400-1200 BCE,,
Jeremiah,650 - 570 BCE,Prophet during Judah's decline and fall,Book of Jeremiah,600-500 BCE,,
Jeroboam I,975 - 910 BCE,First king of northern kingdom of Israel,1 Kings,1000-900 BCE,,
Jesse,1080 - 1000 BCE,Father of David,1 Samuel,1000-900 BCE,,
Jesus of Nazareth,4 BCE – 30 CE,"Central figure of Christianity, teachings of love and salvation",,,Judea,Christianity
Jezebel,900 - 850 BCE,"Wife of Ahab, opposed Elijah",1 & 2 Kings,900-800 BCE,,
Joab,1000 - 970 BCE,David's military commander,2 Samuel,1000-900 BCE,,
Job,?,Protagonist of the Book of Job,Job,600-400 BCE,,
Joel,800 BCE,Prophet,Joel,500-400 BCE,,
John (Apostle),6 CE - c.100 CE,"Apostle; traditionally credited with writing Revelation, Gospel of John, and Epistles of John","Gospels, Revelation",c.90-100 CE,,
John the Baptist,6 BCE - 30 CE,Forerunner of Jesus,Gospels,70-100 CE,,
Jonah,785 - 753 BCE,Prophet sent to Nineveh,Book of Jonah,500-400 BCE,,
Jonathan,1000 BCE,"Son of Saul, friend of David",1 Samuel,1000-900 BCE,,
Joseph (OT),1900 BCE,"Son of Jacob, sold into slavery in Egypt",Genesis,1400-1200 BCE,,
Joshua,1400 BCE,"Successor to Moses, led Israel into Canaan",Joshua,1200-1000 BCE,,
Judas Iscariot,? - 30 CE,Apostle who betrayed Jesus,Gospels,70-100 CE,,
Laban,1900 BCE,"Father of Leah and Rachel, uncle of Jacob",Genesis,1400-1200 BCE,,
Lazarus,? - 30 CE,"Friend of Jesus, raised from the dead",John,90-100 CE,,
Leah,1900 BCE,First wife of Jacob,Genesis,1400-1200 BCE,,
Lot,2000 BCE,Nephew of Abraham,Genesis,1400-1200 BCE,,
Luke,? - 84 CE,"Physician, companion of Paul, Gospel author","Luke, Acts",80-90 CE,,
Lydia,?,First European convert to Christianity,Acts,70-100 CE,,
Malachi,450 BCE,Last prophet of the Old Testament,Malachi,500-400 BCE,,
Mark,10 - 68 CE,"Companion of Paul and Peter, Gospel author",Mark,65-75 CE,,
