Era / Date (Approx.),Myth Name / Tradition,Name of the Tree (Language),Core Narrative & Theme,Key Figures / Deities,Primary Source(s) & Citations,Notes / Comparative Motifs
c. 1500 BCE – c. 330 BCE,Achaemenid / Zoroastrianism,"Urvarām (Avestan: 𐬎𐬭𐬬𐬀𐬭𐬁𐬨), Gaokerena (Avestan: 𐬔𐬀𐬎𐬑𐬆𐬭𐬆𐬥𐬀)","Trees, especially evergreens and the mythical Gaokerena, are symbols of immortality and the divine (Ameretát). The pomegranate and cypress are especially sacred. The legendary Cypress of Kashmar was planted by Zoroaster. The Gaokerena is a cosmic tree that bestows immortality and is protected by divine beings12345.","Ahura Mazda, Ameretát, Anahita, Zoroaster","Avesta: Yasna 51.7, 16.89, 17.12, 17.16; Bundahishn; Shahnameh;12345","Cypress: axis mundi, immortality; Gaokerena: master of all plants, revives the dead; pomegranate: sustenance, fertility."
c. 3rd–10th century CE,Manichaeism,"Tree of Life (Greek: ξύλον της ζωής, Chinese: 龍樹)","The Tree of Life grows in the Kingdom of Light, with three trunks symbolizing the cosmic directions. It is venerated as a source of salvation and the liberation of Light from matter. Manichaean iconography often depicts the tree as the axis mundi and as a scene of worship611.","Father of Majesty, Mother of Life, Mani","Bezeklik Caves murals; Manichaean psalms; Augustine, Confessions;611","Tree as cosmic axis, source of salvation; three trunks: East, West, North; syncretic with Gnostic and Buddhist motifs."
c. 700 BCE – c. 300 BCE,Saka-Scythian,Unknown (possibly Iranian: urvar),"Scythian art depicts sacred trees, often flanked by animals or spirits, symbolizing life, kingship, and the world axis. These trees are associated with gold, fertility, and shamanic rites. The motif continues in Central Asian and Iranian traditions2.","Royal ancestors, animal spirits","Archaeological finds (Altai, Pazyryk kurgans); Iranian parallels in Avesta2",Tree flanked by mythical creatures; motif of sacred tree as axis mundi and source of royal/divine power.
c. 1650 BCE – c. 1550 BCE,Hyksos / Egypt (Second Intermediate Period),Djed (Egyptian: ḏd),"The Djed pillar, a stylized tree or backbone, symbolizes stability, resurrection, and the cosmic axis. Linked to Osiris and the underworld, sometimes depicted as a literal tree or as a pole with tree-like features9.","Osiris, Ptah",Pyramid Texts; Coffin Texts; temple reliefs9,Djed as tree/pillar of life; merged with other tree of life motifs in Egyptian religion.
c. 2686 BCE – c. 2181 BCE,Old Kingdom Egypt,"Ished (Egyptian: ished), Sycamore (Egyptian: nehet), Persea","The Ished tree grows in Heliopolis; gods inscribe royal names on its leaves. The sycamore and persea are sacred as sources of life, food, and rebirth. Goddesses like Hathor and Nut emerge from or dwell in sacred trees, offering sustenance to the dead9.","Hathor, Nut, Thoth, Osiris, Ra",Pyramid Texts; Coffin Texts; temple iconography9,"Trees as sources of immortality, nourishment, and divine wisdom; ished tree linked to kingship and fate."
c. 3500 BCE – c. 539 BCE,Mesopotamia / Fertile Crescent,"Huluppu (Sumerian: huluppu), Cedar (Akkadian: erēnu), Palm (Akkadian: date-palm)","The huluppu tree is nurtured by Inanna; sacred trees appear in royal iconography, flanked by genies or animals, symbolizing life, fertility, and cosmic order. The cedar and date palm are especially important, representing sustenance, wisdom, and the axis mundi89.","Inanna, Gilgamesh, kings, genies",“Inanna and the Huluppu Tree”; palace reliefs; Epic of Gilgamesh Tablet 1289,"Tree as axis mundi, source of divine gifts, and symbol of royal authority; cedar and palm merged as tree of life."
c. 563 BCE – c. 483 BCE,Buddhism,Bodhi Tree (Sanskrit: बोधिवृक्ष Bodhivṛkṣa),"Siddhartha Gautama attains enlightenment under the Bodhi Tree at Bodh Gaya. The tree becomes the symbol of awakening, spiritual life, and the axis between worlds10.",Gautama Buddha,Buddhist scriptures; Mahavamsa; archaeological evidence10,Ficus religiosa (sacred fig); site of pilgrimage and meditation; venerated across Buddhist Asia.
c. 1500 BCE – present,Hinduism,"Ashvattha (Sanskrit: अश्वत्थ), Kalpavriksha (कल्पवृक्ष)","The Ashvattha (sacred fig) is the cosmic tree with roots above and branches below (Bhagavad Gita 15.1–3). The Kalpavriksha is the wish-fulfilling tree, emerging from the churning of the ocean, granting all desires10.","Vishnu, Shiva, devas, asuras",Rigveda 1.24.7; Bhagavad Gita 15.1–3; Puranas10,"Trees as axis mundi, source of immortality, desires, and cosmic order; central in temple and village life."
c. 2500 BCE – c. 100 BCE,Bactria-Margiana Archaeological Complex (BMAC),Unknown (stylized sacred tree),"BMAC iconography features stylized sacred trees flanked by animals or deities, symbolizing life, fertility, and the axis between worlds. This motif influenced later Iranian, Indo-Aryan, and Central Asian traditions2.","Local deities, animal spirits","Archaeological finds (Gonur Tepe, Togolok)2","Motif of sacred tree as world axis, source of life, and cosmic connection; precursor to later Iranian/Indian motifs."
,,,,,,
Table: Eurasian Myths of Churning the Ocean and Emergence of Amrita (with Precise Era Stamps),,,,,,
Era / Date (Approx.),Myth Name / Tradition,Core Narrative & Theme,Key Figures / Deities,Treasures or Elixirs Emerged,Primary Source(s) & Citations,Notes / Comparative Motifs
c. 400 BCE – c. 400 CE,Samudra Manthan (Hindu),"Gods (Devas) and demons (Asuras) churn the cosmic Ocean of Milk to obtain amrita, the nectar of immortality. Mount Mandara is the churning rod, Vasuki the rope, Kurma (tortoise) supports the mountain. Poison emerges, which Shiva swallows. Many treasures and finally amrita emerge.","Vishnu (Kurma), Shiva, Devas, Asuras, Vasuki, Dhanvantari","Amrita (nectar of immortality), Kamadhenu (wish-cow), Airavata (elephant), Uchchaihshravas (horse), Kaustubha (jewel), Apsaras, Kalpavriksha (wish tree), Chandra (moon), Varuni, Lakshmi, Halahala (poison), Dhanvantari (physician with amrita pot)",Mahabharata 1.15–1.19 (c. 400 BCE–c. 400 CE); Vishnu Purana 1.9–1.10 (c. 300–700 CE); Bhagavata Purana 8.5–8.12 (c. 800–1000 CE),"Most detailed and influential version; depicted at Angkor Wat. Symbolizes cosmic struggle, cooperation, and the quest for immortality."
c. 800 CE – c. 1000 CE (text); earlier oral,Iranian (Zoroastrian),"In the Bundahishn, the primordial sea Vourukasha is churned by the wind to produce the white haoma (sacred drink, source of immortality and health).","Ahura Mazda, Tishtrya, Haoma",Haoma (elixir of immortality),Bundahishn 18.1–18.7 (c. 800–1000 CE); Yasht 8.34–44 (c. 400 BCE–c. 100 CE),"Haoma closely parallels soma/amrita. No direct churning myth, but primordial sea as source of elixir."
c. 750 BCE – c. 650 BCE,Greek (Ambrosia & Nectar),"The gods possess ambrosia and nectar, conferring immortality. No direct churning myth, but some scholars compare the motif of divine food/drink emerging from cosmic or primordial sources.","Zeus, Hera, other Olympians","Ambrosia, nectar","Homer, Iliad 5.341–5.342 (c. 750 BCE), Odyssey 5.93–5.94 (c. 700 BCE)",Ambrosia/nectar as divine elixir; motif compared to amrita by Dumézil and others.
c. 1220 CE (text); older oral,Norse (Mead of Poetry),"The divine mead, source of wisdom and poetic inspiration, is created from the blood of Kvasir, mixed with honey, and guarded by giants. Odin steals it for the gods and worthy mortals.","Odin, Kvasir, Suttung, Gunnlöð",Mead of Poetry,"Skáldskaparmál (Prose Edda), ch. 5–6 (c. 1220 CE)",Mead as elixir of wisdom and immortality; motif of cosmic quest for a precious substance.
c. 4th century BCE – c. 2nd century BCE (earliest ref.); Journey to the West c. 1592 CE,"Chinese (Peach Banquet, Xi Wangmu)","Immortality-granting peaches grow in the garden of the Queen Mother of the West (Xi Wangmu). Gods gather for the Peach Banquet every 3,000 years to eat the fruit and gain immortality.","Xi Wangmu, Jade Emperor, Eight Immortals",Peaches of Immortality,"Shan Hai Jing (Classic of Mountains and Seas, c. 4th–2nd century BCE); Journey to the West ch. 5 (c. 1592 CE)","No churning, but primordial fruit of immortality from a cosmic garden/oceanic mountain."
c. 2000 BCE – c. 1700 BCE,Sumerian (Inanna and the Huluppu Tree),"Inanna finds the huluppu tree in the primordial waters, which yields treasures and is inhabited by divine beings.","Inanna, Anzu-bird, Lilith",Huluppu tree (source of gifts),Inanna and the Huluppu Tree (c. 2000–1700 BCE); Epic of Gilgamesh Tablet 12 (c. 1200 BCE),"Primordial waters as source of divine gifts; not a direct churning, but similar emergence motif."
c. 2300 BCE – c. 2100 BCE,Egyptian (Nun and the Primeval Lotus),"From the primeval waters (Nun), a lotus or mound emerges, giving birth to the sun god and life.","Atum, Nun, Ra","Sun, life, creation","Pyramid Texts, Utterance 600 (c. 2300–2100 BCE); Coffin Texts, Spell 76 (c. 2100–1600 BCE)","No churning, but emergence of life and treasures from primordial ocean."
,,,,,,
Era / Date (Approx.),Myth Name / Tradition,Name of the Tree (Language),Core Narrative & Theme,Key Figures / Deities,Primary Source(s) & Citations,Notes / Comparative Motifs
c. 6100 BCE – c. 5500 BCE,Ancient Mesopotamian,Unknown (Akkadian: 𒈬𒊒𒄑 isu),"Tree as axis mundi, symbol of fertility and divine connection; earliest symbolic depictions at Domuztepe","Inanna, Etana",Domuztepe pottery87,"Among the oldest tree of life motifs; tree as link between earth, sky, underworld"
c. 2300 BCE – c. 2100 BCE,Ancient Egyptian,"Acacia (Egyptian: shndt), Sycamore (Egyptian: nehet)",Acacia and sycamore as trees of rebirth and passage to the afterlife; Osiris and Nut associated with these trees,"Osiris, Isis, Nut","Pyramid Texts, Coffin Texts37","Acacia: rebirth, Sycamore: nourishment/protection in afterlife"
c. 2000 BCE – c. 1700 BCE,Sumerian,Huluppu Tree (Sumerian: huluppu),"Huluppu tree grows by the Euphrates; Inanna nurtures it, beings inhabit it, Gilgamesh later uses its wood","Inanna, Gilgamesh, Lilith, Anzu-bird",“Inanna and the Huluppu Tree”; Epic of Gilgamesh Tablet 12,"Tree as source of life, cosmic order, and divine gifts"
