Biblical Prophets Timeline,,,,,,,
Name,From,To,Era,Source Texts,Historicity,Life and Mission,Influence and Legacy
Enoch,c. 3400 BCE,c. 3000 BCE,Pre-Flood,"Genesis 5:18-24, Book of Enoch (non-canonical), Jude 1:14-15",Legendary figure; no direct historical evidence,"Seventh generation from Adam; ""walked with God and was not, for God took him"" without experiencing death",Significant in Jewish mystical tradition; considered the first apocalyptic prophet; influential in some early Christian communities
Noah,c. 3000 BCE,c. 2000 BCE,Flood Era,"Genesis 5-9, Isaiah 54:9, Matthew 24:37-39",Legendary figure; flood narratives appear in multiple ancient cultures,Built ark to preserve life during the great flood; received covenant from God after the waters receded,Symbol of righteousness and obedience; his covenant established the basic moral order for humanity
Abraham,c. 2000 BCE,c. 1800 BCE,Patriarchal,"Genesis 12-25, Romans 4, Galatians 3, Quran","No direct archaeological evidence, but placed in plausible Bronze Age context",Called from Ur to Canaan; received promises of land and descendants; covenant of circumcision,Father of monotheistic faiths; model of faith and obedience; progenitor of Israelites through Isaac and Arabs through Ishmael
Isaac,c. 1900 BCE,c. 1700 BCE,Patriarchal,"Genesis 21-35, Hebrews 11:20",No direct historical evidence,Son of Abraham; nearly sacrificed; continued patriarchal covenant; father of Jacob and Esau,Represents continuity of God's covenant; symbol of obedience and blessing; second patriarch of Israel
Jacob/Israel,c. 1800 BCE,c. 1650 BCE,Patriarchal,"Genesis 25-50, Hosea 12:2-5",No direct historical evidence,Received vision at Bethel; wrestled with God/angel at Peniel; father of the twelve tribes of Israel,His twelve sons became the twelve tribes of Israel; his transformation from deceiver to patriarch exemplifies spiritual growth
Joseph,c. 1750 BCE,c. 1600 BCE,Patriarchal/Egyptian Sojourn,Genesis 37-50,"No direct historical evidence, but Egyptian setting contains authentic elements",Sold into slavery by brothers; interpreter of dreams; rose to power in Egypt; saved family from famine,Model of forgiveness and divine providence; facilitated Israelite settlement in Egypt; exemplifies faith through adversity
Moses,c. 1400 BCE,c. 1280 BCE,Exodus/Wilderness,"Exodus-Deuteronomy, Hebrews 3","No direct archaeological evidence, but Egyptian elements in narrative are authentic",Led Israelites from Egyptian slavery; received Torah at Sinai; guided people through wilderness for 40 years,Foundational prophet of Judaism; lawgiver; mediator between God and Israel; author of Torah in tradition
Aaron,c. 1400 BCE,c. 1280 BCE,Exodus/Wilderness,Exodus-Numbers,No direct historical evidence,Moses' brother and spokesperson; first High Priest of Israel; constructed golden calf,Established hereditary priesthood in Israel; represents ritualistic aspect of Israelite religion
Miriam,c. 1400 BCE,c. 1280 BCE,Exodus/Wilderness,"Exodus 15:20-21, Numbers 12, 20:1, Micah 6:4",No direct historical evidence,Moses' sister; led women in song after crossing Red Sea; prophetess,One of few female prophets in Hebrew Bible; represents women's spiritual leadership
Joshua,c. 1300 BCE,c. 1240 BCE,Conquest,Book of Joshua,Mixed archaeological evidence for conquest narrative,Moses' successor; led conquest of Canaan; renewed covenant at Shechem,Military leader who established Israelite presence in Canaan; represents fulfillment of land promise
Deborah,c. 1200 BCE,c. 1150 BCE,Judges Period,Judges 4-5,Limited archaeological context for period,Judge and prophetess; led victory over Canaanites under Sisera; composed victory song,"One of the most important female leaders in Hebrew Bible; blend of prophetic, judicial, and military leadership"
Samuel,c. 1060 BCE,c. 1010 BCE,End of Judges/Early Monarchy,1-2 Samuel,Possibly based on historical figure,"Last judge; prophet who anointed Saul and David; established ""schools of prophets""",Transitional figure between tribal confederation and monarchy; represents prophetic authority over kings
Nathan,c. 1000 BCE,c. 960 BCE,United Monarchy,"2 Samuel, 1 Kings, 1-2 Chronicles",Possibly based on historical figure,Court prophet during David's reign; confronted David over Bathsheba; supported Solomon's succession,Exemplifies prophetic role in speaking truth to power; helped establish Davidic covenant
Gad,c. 1000 BCE,c. 960 BCE,United Monarchy,"1 Samuel, 2 Samuel, 1-2 Chronicles",Possibly based on historical figure,David's seer; advised during Absalom's rebellion; conducted census,Court prophet who preserved records; represents prophetic guidance in royal decisions
Elijah,c. 870 BCE,c. 850 BCE,Divided Monarchy,"1 Kings 17-2 Kings 2, Malachi 4:5-6, Mark 9:11-13",Possibly based on historical figure,Confronted King Ahab and Jezebel; contest with Baal prophets on Mt. Carmel; taken to heaven in chariot of fire,Archetype of zealous prophet; expected to return before Messiah; appeared at Transfiguration of Jesus
Elisha,c. 850 BCE,c. 800 BCE,Divided Monarchy,"1 Kings 19, 2 Kings 2-13",Possibly based on historical figure,Elijah's successor; performed numerous miracles; advised kings of Israel,Continued Elijah's opposition to Baal worship; expanded scope of prophetic ministry
Jonah,c. 790 BCE,c. 750 BCE,Divided Monarchy,"2 Kings 14:25, Book of Jonah",Historical figure with legendary narrative,Reluctant prophet sent to Nineveh; swallowed by large fish; successful mission led to Nineveh's repentance,Represents God's concern for all nations; exemplifies divine mercy overcoming human prejudice
Amos,c. 760 BCE,c. 750 BCE,Divided Monarchy,Book of Amos,Likely historical figure,Shepherd from Judah who prophesied in northern Israel; denounced social injustice,Pioneer of written prophecy; emphasized social justice; predicted Israel's destruction
Hosea,c. 750 BCE,c. 725 BCE,Divided Monarchy,Book of Hosea,Likely historical figure,Used troubled marriage as metaphor for God's relationship with Israel; prophesied during Assyrian threat,"Developed metaphor of covenant as marriage; emphasized God's faithful love despite Israel's ""adultery"""
Isaiah,c. 740 BCE,c. 680 BCE,Late Divided Monarchy,Book of Isaiah (especially chapters 1-39),Likely historical figure with additions to text,Jerusalem prophet during Assyrian crisis; vision in temple; advised kings,Messianic prophecies; concept of remnant; vision of universal peace; influential in both Judaism and Christianity
Micah,c. 740 BCE,c. 700 BCE,Late Divided Monarchy,Book of Micah,Likely historical figure,Rural prophet; contemporary of Isaiah; denounced exploitation of poor,"Predicted Messiah's birth in Bethlehem; emphasized justice, kindness, and humility"
Nahum,c. 660 BCE,c. 630 BCE,Late Divided Monarchy,Book of Nahum,Likely historical figure,Prophesied fall of Nineveh (Assyrian capital),Represented divine judgment against oppressive empire; counter-narrative to Jonah
