Vairocana’s Light Systems,,,,
System/Aspect,Number,Key Metaphor/Color,Purpose/Symbolism,Textual Source
Five Wisdom Lights,5.0,"Five colors (white, blue, yellow, red, green)","Purification of defilements, realization of wisdoms","Guhyasamāja Tantra, Mahāvairocana Tantra, Avataṃsaka Sūtra1710"
- Mirror-like Wisdom,1.0,"White, radiance of Vairocana",Reflects reality as it is,
- Dharmadhātu Wisdom,1.0,"Blue, all-pervading space","Dissolves duality, represents ultimate reality",
Four Suns of Vairocana,4.0,"Solar disks, cosmic radiance","Illumination of emptiness, universal enlightenment",Avataṃsaka Sūtra15
- Inner Sun,1.0,Mind’s luminosity,Awakening intrinsic awareness (rigpa),
- Universal Sun,1.0,Cosmic enlightenment,Perfected Buddhahood,
System/Aspect,Number,Light Theme,Function/Symbolism,Textual Source
48 Vows of Light,48.0,Each vow emits light,Guarantees rebirth in Pure Land,Larger Sukhāvatīvyūha Sūtra69
- Vow 12: Infinite Light,1.0,"""My light shall illuminate the ten directions""","Draws beings to Pure Land, boundless radiance",
Threefold Light,3.0,"Sunlight, Moonlight, Wisdom",Manifestations of Amitābha’s compassion,Contemplation Sūtra9
- Sunlight,1.0,"Awakening, liberation",Instantaneous enlightenment (Nembutsu),
- Moonlight,1.0,Meditative calm,Prepares mind for rebirth,
System/Aspect,Number,Lamp Type/Color,Symbolism/Function,Tradition/Source
Six Lamps of Dzogchen,6.0,"Inner lamps (e.g., flesh heart lamp, pure lamp of space)","Reveal rigpa, primordial awareness",Zhangzhung Nyengyüd
Four Lamps (Thögal),4.0,"Visionary lamps (e.g., water lamp)","Signs of rainbow body, subtle body light",Tibetan Book of the Dead
System/Aspect,Number,Chakra/Color,Associated Buddha/Deity,Tradition/Source
Five Chakra System (Vajrayana),5.0,"Crown (white), Heart (red), etc.","Vairocana, Amitābha, and others","Vajrayana, Tantric Buddhism710"
Seven Chakra System (Shaiva-Vajrayana),7.0,"Sahasrara (violet), Ajna (indigo), etc.","Śiva-Buddha union, Avalokiteśvara",Syncretic traditions
System/Aspect,Structure,Light Realm/Color,Inhabitants/Symbolism,
Huayan Dharmadhātu,4 Realms,"Emptiness (clear light), Form (rainbow hues)","Buddhas, Bodhisattvas",
Amitābha’s Pure Land,Tiered lotus lights,"Golden ground, jewel trees emitting rays","Reborn practitioners, bodhisattvas",
Text/Source,Light System/Stages,Symbolism/Influence,,
Lankāvatāra Sūtra,8 consciousnesses as lamps,"Alaya-vijñāna to mirror wisdom, Yogācāra-Dzogchen link",,
Gandavyūha Sūtra,Sudhana’s 53 lamps (teachers),"Each teacher as a beacon of light, Huayan stages",,
