"Here is a comparative table of magical prince, frog prince, serpent prince, unicorn, and princess stories and folktales from around the world, focusing on tales where a prince is transformed, hidden, or magical, and is united with a princess. The table includes summary, source/collection (with detail), attributed year (origin in oral tradition when possible), publication/recording date, location, culture, and language.",,,,,,,
Title / Motif,Summary / Theme,Source / Reference (detail),Attributed Year,Publication/Recording,Location,Culture,Language
The Frog Prince,Princess promises to befriend a frog who retrieves her ball; frog transforms into prince after trials,"Grimm, ""The Frog King or Iron Heinrich""6911",c. 1500s,1812.0,Germany,Germanic,German
The Serpent Prince (Iran),"Youngest daughter marries a serpent who is a prince; she burns his skin, must endure trials to win him back","Iranian oral tradition, ""Le Sultan Serpent""710",c. 1600s,20th c. (collected),Iran,Persian,Persian
Yasmin and the Serpent Prince,"Youngest daughter marries a serpent; after burning his skin, she endures magical trials to find him",Iranian oral tradition7,c. 1600s,20th c. (collected),Iran,Persian,Persian
The Serpent Prince (Europe),"Prince cursed to be a serpent; princess must break spell, often with magical animal help","European oral tradition, Dulac’s retelling10",c. 1600s,1900s (collected),Europe,Various,Various
Prince Sobur / Sabar,"Princess summons magical prince with a fan; sisters injure him, she undertakes quest to heal him","Indian folktale, Bengal/Gujarat1",c. 1700s,19th c. (collected),India,Indian,"Bengali, Gujarati"
The Power of Fate,"Princess receives a box with a magical fan; summons prince, faces trials after sisters’ betrayal","Indian folktale, Simla1",c. 1700s,19th c. (collected),India,Indian,Hindi
The Sleeping Prince,Princess must break enchantment on a sleeping prince; false bride motif,"Greek folktale, Megas, ATU 425G3",c. 1700s,20th c. (collected),Greece,Greek,Greek
The Magic Prince and the Enchanted Forest,Prince with magical powers helps others in enchanted land,"Modern fantasy, Story.com2",Modern,2023.0,Fictional,Fictional,English
The Frog Princess (Russia),Prince marries a frog who becomes a princess; transformation and magical trials,"Russian oral tradition, Afanasyev",c. 1600s,19th c. (collected),Russia,Russian,Russian
