Six Lamps of Dzogchen,,,,,
"(Zhangzhung Nyengyüd, Dzogchen tradition)",,,,,
#,Lamp Name,Description / Location,Symbolism / Function,Tradition / Source,
1.0,Flesh Heart Lamp,Cardiac channels (heart center),"Base-of-all consciousness (kun gzhi), primordial awareness",Zhangzhung Nyengyüd,
2.0,Eye Lamp,Visual faculty (eyes),Direct perception of appearances,,
3.0,Space Lamp,Empty space before the eyes,"Openness, the expanse of reality",,
4.0,Mirror Lamp,Surface of the eyes,"Reflective clarity, mirror-like awareness",,
5.0,Light Lamp,Natural radiance of awareness,"Spontaneous presence, luminous mind",,
6.0,Pure Lamp of Space,Ultimate space (dharmadhātu),"Dharmakāya, dissolution into clear light",,
,,,,,
Summary:,,,,,
"The Six Lamps are meditative supports for recognizing rigpa (pristine awareness). They represent the interplay between the physical body (channels, eyes), perception (space, mirror), and the nature of mind (light, pure space).",,,,,
,,,,,
Four Lamps of Thögal,,,,,
,,,,,
"(Dzogchen Thögal, Tibetan Book of the Dead)",,,,,
,,,,,
#,Lamp Name,Description / Location,Symbolism / Function,Tradition / Source,
1.0,Water Lamp,"Channels, subtle body fluids","Light emission, visionary phenomena",Tibetan Book of the Dead,
2.0,Butter Lamp,"Heart essence, vital energy","Inner luminosity, clarity",,
3.0,Mirror Lamp,Surface of the eyes,Reflective display of visions,,
4.0,Space Lamp,"Open sky, visual field","Boundless expanse, rainbow body signs",,
,,,,,
Summary:,,,,,
The Four Lamps of Thögal are visionary supports for the realization of the rainbow body and the direct perception of the luminous nature of mind during advanced Dzogchen practice.,,,,,
,,,,,
Combined Table: Lamp Symbolism in Esoteric Buddhism,,,,,
System,#,Lamp Name,Description / Location,Symbolism / Function,Tradition / Source
Six Lamps of Dzogchen,1.0,Flesh Heart Lamp,Cardiac channels,Base-of-all consciousness,Zhangzhung Nyengyüd
,2.0,Eye Lamp,Visual faculty (eyes),Direct perception of appearances,
,3.0,Space Lamp,Space before the eyes,"Openness, expanse of reality",
,4.0,Mirror Lamp,Surface of the eyes,"Reflective clarity, mirror-like awareness",
,5.0,Light Lamp,Radiance of awareness,"Spontaneous presence, luminous mind",
,6.0,Pure Lamp of Space,Ultimate space (dharmadhātu),"Dharmakāya, dissolution into clear light",
Four Lamps of Thögal,1.0,Water Lamp,"Channels, subtle body fluids","Light emission, visionary phenomena",Tibetan Book of the Dead
,2.0,Butter Lamp,"Heart essence, vital energy","Inner luminosity, clarity",
,3.0,Mirror Lamp,Surface of the eyes,Reflective display of visions,
,4.0,Space Lamp,"Open sky, visual field","Boundless expanse, rainbow body signs",
,,,,,
References:,,,,,
,,,,,
Self-Liberated Wisdom of the Lamps (Dzogchen),,,,,
,,,,,
The Tibetan Book of the Dead (Bardo Thödol),,,,,
,,,,,
Zhangzhung Nyengyüd (Bon Dzogchen tradition),,,,,
