,,,
#,Name,Transliteration,Meaning
1.0,ٱلرَّحْمَٰنُ,Ar-Rahmaan,The Most or Entirely Merciful
2.0,ٱلرَّحِيمُ,Ar-Raheem,The Bestower of Mercy
3.0,ٱلْمَلِكُ,Al-Malik,The King and Owner of Dominion
4.0,ٱلْقُدُّوسُ,Al-Quddus,The Absolutely Pure
5.0,ٱلسَّلَامُ,As-Salaam,The Perfection and Giver of Peace
6.0,ٱلْمُؤْمِنُ,Al-Mu’min,The One Who gives Emaan and Security
7.0,ٱلْمُهَيْمِنُ,Al-Muhaymin,"The Guardian, The Witness, The Overseer"
8.0,ٱلْعَزِيزُ,Al-Azeez,The All Mighty
9.0,ٱلْجَبَّارُ,Al-Jabbaar,"The Compeller, The Restorer"
10.0,ٱلْمُتَكَبِّرُ,Al-Mutakabbir,"The Supreme, The Majestic"
11.0,ٱلْخَٰلِقُ,Al-Khaaliq,"The Creator, The Maker"
12.0,ٱلْبَارِئُ,Al-Baari’,The Originator
13.0,ٱلْمُصَوِّرُ,Al-Musawwir,The Fashioner
14.0,ٱلْغَفَّارُ,Al-Ghaffaar,The All- and Oft-Forgiving
15.0,ٱلْقَهَّارُ,Al-Qahhaar,"The Subduer, The Ever-Dominating"
16.0,ٱلْوَهَّابُ,Al-Wahhaab,The Giver of Gifts
17.0,ٱلْرَّزَّاقُ,Ar-Razzaaq,The Provider
18.0,ٱلْفَتَّاحُ,Al-Fattah,"The Opener, The Judge"
19.0,ٱلْعَلِيمُ,Al-‘Aleem,"The All-Knowing, The Omniscient"
20.0,ٱلْقَابِضُ,Al-Qaabid,The Withholder
21.0,ٱلْبَاسِطُ,Al-Baasit,The Extender
22.0,ٱلْخَافِضُ,Al-Khaafidh,"The Reducer, The Abaser"
23.0,ٱلْرَّافِعُ,Ar-Raafi’,"The Exalter, The Elevator"
24.0,ٱلْمُعِزُّ,Al-Mu’izz,"The Honourer, The Bestower"
25.0,ٱلْمُذِلُّ,Al-Muzil,"The Dishonourer, The Humiliator"
26.0,ٱلسَّمِيعُ,As-Samee’,The All-Hearing
27.0,ٱلْبَصِيرُ,Al-Baseer,The All-Seeing
28.0,ٱلْحَكَمُ,Al-Hakam,"The Judge, The Giver of Justice"
29.0,ٱلْعَدْلُ,Al-‘Adl,The Utterly Just
30.0,ٱللَّطِيفُ,Al-Lateef,"The Subtle One, The Most Gentle"
31.0,ٱلْخَبِيرُ,Al-Khabeer,"The Acquainted, The All-Aware"
32.0,ٱلْحَلِيمُ,Al-Haleem,The Most Forbearing
33.0,ٱلْعَظِيمُ,Al-‘Azeem,"The Magnificent, The Supreme"
34.0,ٱلْغَفُورُ,Al-Ghafoor,"The Forgiving, The Exceedingly Forgiving"
35.0,ٱلشَّكُورُ,Ash-Shaakoor,The Most Appreciative
36.0,ٱلْعَلِيُّ,Al-‘Alee,"The Most High, The Exalted"
37.0,ٱلْكَبِيرُ,Al-Kabeer,"The Greatest, The Most Grand"
38.0,ٱلْحَفِيظُ,Al-Hafeedh,"The Preserver, The All-Heedful and All-Protecting"
39.0,ٱلْمُقيِتُ,Al-Muqeet,"The Sustainer, The Maintainer"
40.0,ٱلْحَسِيبُ,Al-Hasib,The Reckoner
41.0,ٱلْجَلِيلُ,Al-Jaleel,The Majestic
42.0,ٱلْكَرِيمُ,Al-Kareem,"The Most Generous, The Most Esteemed"
43.0,ٱلْرَّقِيبُ,Ar-Raqeeb,"The Watchful, The All-Watchful"
44.0,ٱلْمُجِيبُ,Al-Mujeeb,"The Responsive, The Answerer"
45.0,ٱلْوَاسِعُ,Al-Waasi’,"The All-Encompassing, the Boundless"
46.0,ٱلْحَكِيمُ,Al-Hakeem,The All-Wise
47.0,ٱلْوَدُودُ,Al-Wadud,The Most Loving
48.0,ٱلْمَجِيدُ,Al-Majeed,"The Glorious, The Most Honorable"
49.0,ٱلْبَاعِثُ,Al-Baa’ith,The Infuser of New Life
50.0,ٱلْشَّهِيدُ,As-Shaheed,The All Observing Witnessing
51.0,ٱلْحَقُّ,Al-Haqq,The Absolute Truth
52.0,ٱلْوَكِيلُ,Al-Wakeel,"The Trustee, The Disposer of Affairs"
53.0,ٱلْقَوِيِيُ,Al-Qawiyy,The All-Strong
54.0,ٱلْمَتِينُ,Al-Mateen,"The Firm, The Steadfast"
55.0,ٱلْوَلِيُ,Al-Walee,The Protecting Associate
56.0,ٱلْحَمِيدُ,Al-Hameed,The Praiseworthy
57.0,ٱلْمُحْصِي,Al-Muhsee,"The All-Enumerating, The Counter"
58.0,ٱلْمُبْدِئُ,Al-Mubdi’,"The Originator, The Initiator"
59.0,ٱلْمُعِيدُ,Al-Mu’id,"The Restorer, The Reinstater"
60.0,ٱلْمُحْيِي,Al-Muhyee,The Giver of Life
61.0,ٱلْمُمِيتُ,Al-Mumeet,The Creator of Death
62.0,ٱلْحَيِّيُ,Al-Hayy,The Ever-Living
63.0,ٱلْقَيُّومُ,Al-Qayyoom,"The Sustainer, The Self-Subsisting"
64.0,ٱلْوَاجِدُ,Al-Waajid,The Perceiver
65.0,ٱلْمَاجِدُ,Al-Maajid,"The Illustrious, The Magnificent"
66.0,ٱلْوَاحِدُ,Al-Waahid,"The One, The Indivisible"
67.0,ٱلْأَحَدُ,Al-Ahad,"The Unique, The Only One"
68.0,ٱلصَّمَدُ,As-Samad,"The Eternal, Satisfier of Needs"
69.0,ٱلْقَادِرُ,Al-Qaadir,The Omnipotent
70.0,ٱلْمُقْتَدِرُ,Al-Muqtadir,The Powerful
71.0,ٱلْمُقَدِّمُ,Al-Muqaddim,"The Expediter, The Promoter"
72.0,ٱلْمُؤَخِّرُ,Al-Mu’akhkhir,The Delayer
73.0,ٱلْأوَّلُ,Al-Awwal,The First
74.0,ٱلْآخِرُ,Al-Aakhir,"The Last, The Utmost"
75.0,ٱلظَّٰهِرُ,Az-Zaahir,"The Manifest, The All-Surpassing"
76.0,ٱلْبَاطِنُ,Al-Baatin,"The Hidden One, Knower of the Hidden"
77.0,ٱلْوَالِي,Al-Waalee,The Sole Governor
78.0,ٱلْمُتَعَالِي,Al-Muta’ali,The Self Exalted
79.0,ٱلْبَرُّ,Al-Barr,The Source of All Goodness
80.0,ٱلتَّوَابُ,At-Tawwaab,The Ever-Pardoning
81.0,ٱلْمُنْتَقِمُ,Al-Muntaqim,The Avenger
82.0,ٱلْعَفُوُ,Al-‘Afuww,The Pardoner
83.0,ٱلْرَّؤُوفُ,Ar-Ra’ooof,The Most Kind
84.0,مَالِكُ ٱلْمُلْكُ,Maalik-al-Mulk,"Master of the Dominion, Owner of the Kingdom"
85.0,ذُوالْجَلاَلِ وَالإكْرَامِ,Thul-Jalaali wal-Ikraam,Possessor of Glory and Honour
86.0,ٱلْمُقْسِطُ,Al-Muqsiṭ,The Just One
87.0,ٱلْجَامِعُ,Al-Jaami’,"The Gatherer, the Uniter"
88.0,ٱلْغَنيُّ,Al-Ghaniyy,"The Self-Sufficient, The Wealthy"
89.0,ٱلْمُغْنِيُ,Al-Mughniyy,The Enricher
90.0,ٱلْمَانِعُ,Al-Maani’,The Withholder
