Era/Year (BCE),Adjusted Year,Event/Battle,Key Figures/Founders,Winners,Losers,Significance,Others
Prehistory & Elamite Era,,,,,,,
c. 7200,-7200.0,Chogha Bonut Settlement,-,-,-,Earliest known settlement in the Iranian plateau2,
c. 4395,-4395.0,Foundation of Susa,Elamites,-,-,Susa established as major Elamite city2,
c. 2700–1600,-2700 to -1600,Elamite Kingdom,Elamites,Elamites,Mesopotamian rivals,Susa as regional power2,
Emergence of Iranian Peoples,,,,,,,
c. 1500–1000,-1500 to -1000,Indo-Iranian Migration,-,-,-,Ancestors of Medes and Persians enter Iranian plateau,
Median Period,,,,,,,
c. 715,-715.0,Deioces Founds Median Kingdom,Deioces (legendary),Medes,Local tribes,First Iranian political entity (Herodotus' account),
c. 625,-625.0,Cyaxares' Reforms,Cyaxares,Medes,Scythians,Created professional army; introduced cavalry tactics,
614.0,-614.0,Sack of Ashur,Cyaxares,Medes & Babylonians,Assyrians,Ended Assyrian dominance in Mesopotamia,
612.0,-612.0,Fall of Nineveh,Cyaxares,Medes & Babylonians,Assyrians,Destroyed Assyrian Empire,
Rise of the Achaemenids,,,,,,,
553.0,-553.0,Revolt Against Media,"Cyrus II, Harpagus",Persians,Medes (Astyages),Began Persian independence movement; Persian independence established56,Harpagus (general)
550.0,-550.0,Capture of Ecbatana,Cyrus II,Persians,Medes,Formalized Persian-Median union; Achaemenid dynasty established156,
Early Empire Building,,,,,,,
 ,-546/-547,Conquest of Lydia (Battle of Sardis/Thymbra),Cyrus II,Persians,Lydians (Croesus),Asia Minor conquered; Greek cities become Persian vassals6910,Croesus captured
539.0,-539.0,Battle of Opis & Capture of Babylon,"Cyrus II, Gobryas",Persians,Babylonians (Nabonidus),Babylon fell; Mesopotamia controlled; freed Jewish exiles6910,Gobryas (Babylonian defector)
539.0,-539.0,Entry into Babylon,Cyrus II,Persians,Babylonians,Babylon surrendered peacefully; start of Persian multicultural policy910,Ugbaru (general)
530.0,-530.0,Death of Cyrus II,Cambyses II,-,-,Cambyses II inherits throne; continues expansion56,
525.0,-525.0,Battle of Pelusium (Conquest of Egypt),"Cambyses II, Phanes of Halicarnassus",Persians,Egyptians (Psamtik III),Egypt annexed; completed Near Eastern domination5,
Imperial Consolidation,,,,,,,
522.0,-522.0,Overthrow of Bardiya (Gaumata),"Darius I, Seven Nobles",Darius I,Gaumata (impostor),Secured Achaemenid throne; imperial administration begins5,
521.0,-521.0,Babylonian Revolts,Darius I,Darius I,Nebuchadnezzar III/IV,Babylon permanently subjugated,
c. 517,-517.0,Indus Valley Campaign,"Darius I, Scylax of Caryanda",Persians,Gandhara/Indus tribes,Indus Valley annexed; empire reaches South Asia5,
Greco-Persian Wars,,,,,,,
499.0,-499.0,Ionian Revolt Begins (Burning of Sardis),"Darius I, Aristagoras",Persians,Ionians,Triggered Greco-Persian Wars5,
494.0,-494.0,Battle of Lade,"Darius I, Dionysius of Phocaea",Persians,Ionian fleet,Ended Ionian Revolt5,
490.0,-490.0,Battle of Marathon,"Darius I, Miltiades",Athenians/Plataeans,Persians,First major Persian defeat in Greece58,
480.0,-480.0,Battle of Thermopylae,"Xerxes I, Leonidas, Hydarnes",Persians,Greek coalition,Strategic pass captured after 3 days5,
480.0,-480.0,Battle of Salamis,"Xerxes I, Themistocles",Greeks,Persians,Persian naval power broken5,
479.0,-479.0,Battle of Plataea,"Xerxes I, Pausanias",Greeks,Persians (Mardonius),Persian land forces routed5,
Late Achaemenid Period,,,,,,,
469.0,-469.0,Battle of Eurymedon,"Artaxerxes I, Cimon",Delian League (Athens),Persians,Athenian naval dominance established,
401.0,-401.0,Battle of Cunaxa,"Artaxerxes II, Cyrus the Younger, Clearchus",Artaxerxes II,"Cyrus the Younger, Greek mercenaries",Secured Artaxerxes' throne,
396.0,-396.0,Corinthian War Begins,"Artaxerxes II, Conon",Persia (funding),Greek coalitions,Persian gold divides Greek city-states,
343.0,-343.0,Reconquest of Egypt,"Artaxerxes III, Mentor of Rhodes",Persians,Egyptians (Nectanebo II),Egypt reabsorbed after 60 years' independence,
Macedonian Conquest,,,,,,,
