Six Lamps of Dzogchen,,,,,
#,Lamp Name,Description / Location,Symbolism / Function,Tradition / Source,
1.0,Flesh Heart Lamp,Cardiac channels (heart center),"Base-of-all consciousness (kun gzhi), primordial awareness",Zhangzhung Nyengyüd,
2.0,Eye Lamp,Visual faculty (eyes),Direct perception of appearances,,
3.0,Space Lamp,Empty space before the eyes,"Openness, the expanse of reality",,
4.0,Mirror Lamp,Surface of the eyes,"Reflective clarity, mirror-like awareness",,
5.0,Light Lamp,Natural radiance of awareness,"Spontaneous presence, luminous mind",,
6.0,Pure Lamp of Space,Ultimate space (dharmadhātu),"Dharmakāya, dissolution into clear light",,
#,Lamp Name,Description / Location,Symbolism / Function,Tradition / Source,
1.0,Water Lamp,"Channels, subtle body fluids","Light emission, visionary phenomena",Tibetan Book of the Dead,
2.0,Butter Lamp,"Heart essence, vital energy","Inner luminosity, clarity",,
3.0,Mirror Lamp,Surface of the eyes,Reflective display of visions,,
4.0,Space Lamp,"Open sky, visual field","Boundless expanse, rainbow body signs",,
System,#,Lamp Name,Description / Location,Symbolism / Function,Tradition / Source
Six Lamps of Dzogchen,1.0,Flesh Heart Lamp,Cardiac channels,Base-of-all consciousness,Zhangzhung Nyengyüd
,2.0,Eye Lamp,Visual faculty (eyes),Direct perception of appearances,
,3.0,Space Lamp,Space before the eyes,"Openness, expanse of reality",
,4.0,Mirror Lamp,Surface of the eyes,"Reflective clarity, mirror-like awareness",
,5.0,Light Lamp,Radiance of awareness,"Spontaneous presence, luminous mind",
,6.0,Pure Lamp of Space,Ultimate space (dharmadhātu),"Dharmakāya, dissolution into clear light",
Four Lamps of Thögal,1.0,Water Lamp,"Channels, subtle body fluids","Light emission, visionary phenomena",Tibetan Book of the Dead
,2.0,Butter Lamp,"Heart essence, vital energy","Inner luminosity, clarity",
,3.0,Mirror Lamp,Surface of the eyes,Reflective display of visions,
,4.0,Space Lamp,"Open sky, visual field","Boundless expanse, rainbow body signs",
