Biblical Texts Comprehensive Index,,,,,,,,,
ID,Title,Category,Canonical Status,Traditional Author,Date Written (Approx.),Oldest Manuscript (Approx.),Main Topics/Themes,Religious Traditions,Notes
1.0,Genesis,Old Testament,Canonical,Moses (tradition),1400-500 BCE,200-100 BCE (DSS),"Creation, patriarchs, covenant","Judaism, Christianity, Islam",First book of Torah/Pentateuch
2.0,Exodus,Old Testament,Canonical,Moses (tradition),1400-500 BCE,200-100 BCE (DSS),"Exodus from Egypt, Ten Commandments","Judaism, Christianity, Islam",Second book of Torah/Pentateuch
3.0,Leviticus,Old Testament,Canonical,Moses (tradition),1400-500 BCE,200-100 BCE (DSS),"Priestly laws, rituals, holiness","Judaism, Christianity, Islam",Third book of Torah/Pentateuch
4.0,Numbers,Old Testament,Canonical,Moses (tradition),1400-500 BCE,200-100 BCE (DSS),"Census, wilderness journey","Judaism, Christianity, Islam",Fourth book of Torah/Pentateuch
5.0,Deuteronomy,Old Testament,Canonical,Moses (tradition),1400-500 BCE,200-100 BCE (DSS),"Law recapitulation, covenant renewal","Judaism, Christianity, Islam",Fifth book of Torah/Pentateuch
6.0,Joshua,Old Testament,Canonical,Joshua/Unknown,1200-600 BCE,200-100 BCE (DSS),Conquest of Canaan,"Judaism, Christianity",First of the Historical Books
7.0,Judges,Old Testament,Canonical,Samuel (tradition),1050-600 BCE,200-100 BCE (DSS),Cycles of apostasy and deliverance,"Judaism, Christianity",Historical Book
8.0,Ruth,Old Testament,Canonical,Unknown,1000-500 BCE,200-100 BCE (DSS),"Loyalty, kinsman-redeemer","Judaism, Christianity",Historical Book
9.0,1 Samuel,Old Testament,Canonical,Samuel/Others,900-600 BCE,200-100 BCE (DSS),"Samuel, Saul, David","Judaism, Christianity",Historical Book
10.0,2 Samuel,Old Testament,Canonical,Unknown,900-600 BCE,200-100 BCE (DSS),David's reign,"Judaism, Christianity",Historical Book
11.0,1 Kings,Old Testament,Canonical,Jeremiah (tradition),600-500 BCE,200-100 BCE (DSS),"Solomon, divided kingdom","Judaism, Christianity",Historical Book
12.0,2 Kings,Old Testament,Canonical,Jeremiah (tradition),600-500 BCE,200-100 BCE (DSS),"Divided kingdom, exile","Judaism, Christianity",Historical Book
13.0,1 Chronicles,Old Testament,Canonical,Ezra (tradition),400-300 BCE,200-100 BCE (DSS),"Genealogies, David","Judaism, Christianity",Historical Book
14.0,2 Chronicles,Old Testament,Canonical,Ezra (tradition),400-300 BCE,200-100 BCE (DSS),Solomon to exile,"Judaism, Christianity",Historical Book
15.0,Ezra,Old Testament,Canonical,Ezra,400-300 BCE,200-100 BCE (DSS),"Return from exile, temple","Judaism, Christianity",Historical Book
16.0,Nehemiah,Old Testament,Canonical,Nehemiah/Ezra,400-300 BCE,200-100 BCE (DSS),Rebuilding Jerusalem,"Judaism, Christianity",Historical Book
17.0,Esther,Old Testament,Canonical,Unknown,400-300 BCE,200-100 BCE (DSS),Jewish deliverance in Persia,"Judaism, Christianity",Historical Book
18.0,Job,Old Testament,Canonical,Unknown,1000-400 BCE,200-100 BCE (DSS),"Suffering, divine justice","Judaism, Christianity",Wisdom Literature
19.0,Psalms,Old Testament,Canonical,"David, others",1000-400 BCE,200-100 BCE (DSS),"Praise, lament, thanksgiving","Judaism, Christianity",Poetic/Wisdom Literature
20.0,Proverbs,Old Testament,Canonical,"Solomon, others",900-600 BCE,200-100 BCE (DSS),"Wisdom, practical living","Judaism, Christianity",Wisdom Literature
21.0,Ecclesiastes,Old Testament,Canonical,Solomon (tradition),500-200 BCE,200-100 BCE (DSS),"Meaning of life, vanity","Judaism, Christianity",Wisdom Literature
22.0,Song of Solomon,Old Testament,Canonical,Solomon (tradition),900-300 BCE,200-100 BCE (DSS),"Love, marriage","Judaism, Christianity",Poetic Literature
23.0,Isaiah,Old Testament,Canonical,"Isaiah, others",700-400 BCE,200-100 BCE (DSS),"Judgment, messianic prophecies","Judaism, Christianity",Major Prophet
24.0,Jeremiah,Old Testament,Canonical,Jeremiah,600-500 BCE,200-100 BCE (DSS),"Judgment, new covenant","Judaism, Christianity",Major Prophet
25.0,Lamentations,Old Testament,Canonical,Jeremiah (tradition),586-500 BCE,200-100 BCE (DSS),Mourning for Jerusalem,"Judaism, Christianity",Poetic Literature
26.0,Ezekiel,Old Testament,Canonical,Ezekiel,600-500 BCE,200-100 BCE (DSS),"Visions, restoration","Judaism, Christianity",Major Prophet
27.0,Daniel,Old Testament,Canonical,Daniel (tradition),600-165 BCE,200-100 BCE (DSS),"Apocalyptic visions, faithfulness","Judaism, Christianity",Prophetic/Apocalyptic
28.0,Hosea,Old Testament,Canonical,Hosea,750-700 BCE,200-100 BCE (DSS),"Unfaithfulness, God's love","Judaism, Christianity",Minor Prophet
29.0,Joel,Old Testament,Canonical,Joel,800-400 BCE,200-100 BCE (DSS),Day of the Lord,"Judaism, Christianity",Minor Prophet
30.0,Amos,Old Testament,Canonical,Amos,760-750 BCE,200-100 BCE (DSS),"Social justice, judgment","Judaism, Christianity",Minor Prophet
31.0,Obadiah,Old Testament,Canonical,Obadiah,586-400 BCE,200-100 BCE (DSS),Judgment of Edom,"Judaism, Christianity",Minor Prophet
32.0,Jonah,Old Testament,Canonical,Unknown,700-400 BCE,200-100 BCE (DSS),"Mercy, repentance","Judaism, Christianity",Minor Prophet
33.0,Micah,Old Testament,Canonical,Micah,740-700 BCE,200-100 BCE (DSS),"Justice, messianic prophecy","Judaism, Christianity",Minor Prophet
34.0,Nahum,Old Testament,Canonical,Nahum,650-600 BCE,200-100 BCE (DSS),Judgment of Nineveh,"Judaism, Christianity",Minor Prophet
35.0,Habakkuk,Old Testament,Canonical,Habakkuk,600-586 BCE,200-100 BCE (DSS),"Faith, divine justice","Judaism, Christianity",Minor Prophet
36.0,Zephaniah,Old Testament,Canonical,Zephaniah,640-612 BCE,200-100 BCE (DSS),"Day of the Lord, judgment","Judaism, Christianity",Minor Prophet
37.0,Haggai,Old Testament,Canonical,Haggai,520 BCE,200-100 BCE (DSS),Temple rebuilding,"Judaism, Christianity",Minor Prophet
38.0,Zechariah,Old Testament,Canonical,Zechariah,520-400 BCE,200-100 BCE (DSS),"Visions, messianic prophecy","Judaism, Christianity",Minor Prophet
39.0,Malachi,Old Testament,Canonical,Unknown,450-400 BCE,200-100 BCE (DSS),Covenant faithfulness,"Judaism, Christianity",Minor Prophet
40.0,Matthew,New Testament,Canonical,Matthew/Levi,70-90 CE,200 CE (P45),"Jesus' life, teachings for Jewish audience",Christianity,Gospel
41.0,Mark,New Testament,Canonical,John Mark,65-75 CE,200 CE (P45),"Jesus' life, action-oriented narrative",Christianity,Gospel
42.0,Luke,New Testament,Canonical,Luke,80-90 CE,"200 CE (P45, P75)","Jesus' life, universal message",Christianity,Gospel
43.0,John,New Testament,Canonical,John,90-100 CE,125-150 CE (P52),"Jesus' divinity, signs",Christianity,Gospel
44.0,Acts,New Testament,Canonical,Luke,80-90 CE,200 CE (P45),"Early church, spread of Christianity",Christianity,Historical
45.0,Romans,New Testament,Canonical,Paul,55-58 CE,200 CE (P46),"Justification by faith, Christian living",Christianity,Pauline Epistle
46.0,1 Corinthians,New Testament,Canonical,Paul,53-54 CE,200 CE (P46),"Church problems, spiritual gifts",Christianity,Pauline Epistle
47.0,2 Corinthians,New Testament,Canonical,Paul,55-56 CE,200 CE (P46),"Paul's ministry, reconciliation",Christianity,Pauline Epistle
48.0,Galatians,New Testament,Canonical,Paul,48-55 CE,200 CE (P46),"Faith vs. law, Christian freedom",Christianity,Pauline Epistle
49.0,Ephesians,New Testament,Canonical,Paul,60-62 CE,200 CE (P46),"Church unity, spiritual warfare",Christianity,Pauline Epistle
50.0,Philippians,New Testament,Canonical,Paul,60-62 CE,200 CE (P46),"Joy, Christ's humility",Christianity,Pauline Epistle
51.0,Colossians,New Testament,Canonical,Paul,60-62 CE,200 CE (P46),"Christ's supremacy, false teaching",Christianity,Pauline Epistle
52.0,1 Thessalonians,New Testament,Canonical,Paul,50-51 CE,200 CE (P46),"Christ's return, encouragement",Christianity,Pauline Epistle
53.0,2 Thessalonians,New Testament,Canonical,Paul,50-52 CE,200 CE (P46),"End times, discipline",Christianity,Pauline Epistle
54.0,1 Timothy,New Testament,Canonical,Paul,62-66 CE,200 CE,"Church leadership, sound doctrine",Christianity,Pastoral Epistle
55.0,2 Timothy,New Testament,Canonical,Paul,66-67 CE,200 CE,"Endurance, Scripture",Christianity,Pastoral Epistle
56.0,Titus,New Testament,Canonical,Paul,62-66 CE,200 CE,"Church order, good works",Christianity,Pastoral Epistle
57.0,Philemon,New Testament,Canonical,Paul,60-62 CE,200 CE (P46),"Forgiveness, reconciliation",Christianity,Pauline Epistle
58.0,Hebrews,New Testament,Canonical,Unknown,60-70 CE,200 CE (P46),"Christ's superiority, faith",Christianity,General Epistle
59.0,James,New Testament,Canonical,James (brother of Jesus),45-50 CE,200 CE,"Faith and works, practical wisdom",Christianity,General Epistle
60.0,1 Peter,New Testament,Canonical,Peter,60-64 CE,200 CE,"Suffering, hope",Christianity,General Epistle
61.0,2 Peter,New Testament,Canonical,Peter (disputed),65-68 CE,200 CE,"False teachers, Christ's return",Christianity,General Epistle
62.0,1 John,New Testament,Canonical,John,85-95 CE,200 CE,"Assurance, love, antichrists",Christianity,General Epistle
63.0,2 John,New Testament,Canonical,John,85-95 CE,200 CE,"Truth, false teachers",Christianity,General Epistle
64.0,3 John,New Testament,Canonical,John,85-95 CE,200 CE,"Hospitality, church leadership",Christianity,General Epistle
65.0,Jude,New Testament,Canonical,Jude (brother of Jesus),65-80 CE,200 CE,"False teachers, apostasy",Christianity,General Epistle
66.0,Revelation,New Testament,Canonical,John,90-95 CE,250 CE (P47),"Apocalyptic visions, Christ's return",Christianity,Apocalyptic
67.0,Tobit,Deuterocanonical,Deuterocanonical,Unknown,225-175 BCE,150 BCE (DSS),"Righteousness, angels, family","Catholic, Orthodox",Jewish novel
68.0,Judith,Deuterocanonical,Deuterocanonical,Unknown,150-100 BCE,150 BCE (DSS),"Heroism, faithfulness","Catholic, Orthodox",Historical fiction
69.0,1 Maccabees,Deuterocanonical,Deuterocanonical,Unknown,100 BCE,100 CE,"Jewish independence, Maccabean revolt","Catholic, Orthodox",Historical
