Tradition,Major Canons/Collections,Key Texts (Major & Minor),Approx. No. of Texts,Divisions/Notes,Online Resource
Buddhism: Theravāda,Pāli Canon (Tipiṭaka),"Vinaya Piṭaka (5 books), Sutta Piṭaka (5 Nikāyas, ~10,000 suttas), Abhidhamma Piṭaka (7 books)","40+ major books, thousands of suttas","Divided into 3 ""baskets"" (piṭaka)",SuttaCentral
Buddhism: Mahāyāna (Chinese),Chinese Buddhist Canon (大藏經 Dàzàngjīng),"Āgamas, Mahāyāna Sūtras (Lotus, Avataṃsaka, Vimalakīrti, etc.), Vinaya, Śāstras","~2,184 texts (Taishō Edition)",55 volumes in Taishō Shinshū Daizōkyō,CBETA
Buddhism: Tibetan (Vajrayāna),"Kangyur (Words of Buddha), Tengyur (Commentaries)","Kangyur: Prajñāpāramitā, Tantras, Vinaya, Sūtras; Tengyur: Works by Nāgārjuna, Asaṅga, etc.","Kangyur: ~1,100; Tengyur: ~3,600",Kangyur = 108 volumes; Tengyur = 225 vols,Asian Classics Input Project
Buddhism: Zen,"Koan Collections, Shōbōgenzō","Blue Cliff Record (100 cases), Gateless Gate (48 cases), Book of Equanimity (100 cases), Shōbōgenzō (~95 fascicles)",100+ koan collections,Japanese Sōtō & Rinzai schools,Zen Buddhist Texts
Buddhism: Japanese Esoteric (Shingon),Shingon Canon,"Mahāvairocana Sūtra, Vajraśekhara Sūtra, Susiddhikara Sūtra, Kūkai’s works","18+ major tantras, 50+ Kūkai texts",Mikkyō tradition,Shingon Digital Archive (Japanese)
Buddhism: Nichiren,"Lotus Sūtra, Writings of Nichiren","Lotus Sūtra, Gosho (letters/treatises)","1 major sūtra, 700+ letters","Nichiren-shū, Soka Gakkai",Nichiren Library
Bon (Tibetan Indigenous),Bon Kangyur & Tengyur,"Ma Gyud, Zhang Zhung Nyen Gyud",~600+ texts,"Pre-Buddhist, Nyingma-influenced",Bon Digital Library
Hinduism: Vedic,"Vedas (Saṃhitās, Brāhmaṇas, Āraṇyakas, Upaniṣads)","Ṛgveda, Sāmaveda, Yajurveda, Atharvaveda, 108 Upaniṣads","4 Vedas, 20+ Brāhmaṇas, 108 Upaniṣads","Śrauta, Smārta, Vedānta schools",Sanskrit Documents
"Hinduism: Tantric (Śaiva, Śākta, Vaiṣṇava)","Śaiva Tantras, Śākta Tantras, Vaiṣṇava Samhitās","Mālinīvijayottara, Tantrāloka, Vijñāna Bhairava, Devī Mahātmya, Kulārṇava Tantra, Pāñcarātra Saṃhitās",Śaiva: 64+; Śākta: 77+; Vaiṣṇava: 200+,"Trika, Kaula, Śrīvidyā, Pāñcarātra, Gaudiya traditions",Hindu Tantric Texts
"Hinduism: Smriti (Epics, Puranas, Dharmaśāstra)","Mahābhārata, Rāmāyaṇa, Purāṇas, Dharmaśāstra","Mahābhārata (100,000+ verses), Rāmāyaṇa (24,000 verses), 18 Mahāpurāṇas, 18 Upapurāṇas, Manusmṛti","36+ Purāṇas, 4 main Dharmaśāstras","Major: Vaiṣṇava, Śaiva, Śākta, Smārta",Gita Society
Jainism: Śvetāmbara,Āgamas (Siddhānta),"11 Aṅgas, 12 Upāṅgas, Chedasūtras, Mūlasūtras, Prakīrṇakas","45 core texts, ~50,000 verses",Canon fixed ~5th c. CE,Jain eLibrary
Jainism: Digambara,Digambara Canon,"Ṣaṭkhaṇḍāgama, Kasāyapāhuḍa, commentaries",20+ major texts,No surviving original canon,Jain eLibrary
Sikhism,"Guru Granth Sahib, Dasam Granth","Guru Granth Sahib (5,894 hymns, 1,430 pages), Dasam Granth (1,428 pages)",2 main scriptures,Guru Granth Sahib = primary,Sikh Scriptures
Zoroastrianism,Avesta,"Yasna, Visperad, Vendidad, Yashts, Khordeh Avesta","21 Nasks (most lost), ~20 extant books","Gathas (hymns), Pahlavi texts",Avesta Digital Archive
Judaism,"Tanakh (Hebrew Bible), Talmud","Torah (5 books), Nevi'im (8 books), Ketuvim (11 books), Mishnah, Gemara",Tanakh: 24 books; Talmud: 63 tractates,"Rabbinic: Mishnah, Talmud Bavli/Yerushalmi",Sefaria
Christianity: Catholic,"Old & New Testament, Deuterocanon","OT: 46 books; NT: 27 books; Deuterocanon: Tobit, Judith, Wisdom, Sirach, Baruch, 1-2 Maccabees, etc.",73 books,Council of Trent canonized,Bible Gateway
