Date,Stage/Variant,Form/Name,Language/Culture,Meaning/Interpretation,Evidence/Sources,Region,Syncretized/Related Deities/Figures
c. 3000–2000 BCE,Proto-Anatolian/Near Eastern,–,"Proto-Anatolian, Near East","No direct Apollo attestation; plague, purification, and oracular rites forerunners",Early Bronze Age Anatolian and Near Eastern cultic evidence,"Proto-Anatolian, Near East",Nergal (Mesopotamian plague god)
c. 2000–1500 BCE,Hurrian/Anatolian,Aplu / Apal,"Hurrian, Anatolian","Plague god, purification, protection; Hurrian Aplu means 'son'",Hurrian mythology; Hittite religious texts,"Hurrian territories, Anatolia","Nergal, Mesopotamian healing deities"
c. 1600–1200 BCE,Hittite,Appaliunas (Appaliunaš),Hittite (Wilusa/Troy),"Tutelary god, protector, plague-averting",Alaksandus Treaty (c. 1280 BCE); Hittite archives,"Wilusa/Troy, Hittite Anatolia","Hurrian Aplu, Nergal"
c. 1500–1200 BCE,Pre-Greek,Apal'un,Anatolian (Pre-Greek),Possibly 'protector'; etymology uncertain,Hittite treaties (Alaksandus Treaty); Anatolian linguistics,Western Anatolia,"Hurrian Aplu, Hittite plague gods"
c. 1500–1200 BCE,Luwian/Lydian/Carian,–,"Luwian, Lydian, Carian",Local guardian and healing deities; Leto (Apollo's mother) has Anatolian roots,Anatolian inscriptions; Luwian hieroglyphic texts,"Luwia, Lydia, Caria",Later Apollo (via Leto tradition)
c. 1400 BCE,Bronze Age Levant,Mikal (Reshef Mikal),Canaanite/Semitic,"Warrior, plague, protection deity; epithet of Reshef",Beth Shan stele; Phoenician inscriptions,"Levant, Cyprus","Reshef, Nergal, Apollo (Amyklos)"
c. 1400–1200 BCE,Minoan/Mycenaean,Minoan 'Master of Animals' / Kouros,Minoan Crete,Bow-wielding hunter deity; possible precursor to Artemis and Apollo,Minoan seals and iconography; Minoan bronze figurines,Minoan Crete,"Artemis (hunting), proto-Apollo"
c. 1350–1200 BCE,Mycenaean,A-pa-li-u,Mycenaean Greek,Early theonym; exact function unclear,"Linear B tablets (Knossos, Pylos)","Crete, Mainland Greece","Cretan hunting gods, Minoan Kouros"
c. 1200–900 BCE,Post-Mycenaean Aegean,–,Post-Mycenaean,"Transition period; Anatolian, Minoan, and Greek traits merge in regional cults",Collapse of Bronze Age palace culture; archaeological dark age evidence,Post-Mycenaean Aegean,Local transitional deities
c. 900–700 BCE,Doric Greek,Apellōn (Ἀπέλλων),Dorian Greek,'Assembly god' (from apella); also interpreted as 'Expeller',Spartan institutions; Doric month Apellaios; Doric epigraphic evidence,"Sparta, Arcadia",Arcadian Nomios (pastoral)
c. 900–400 BCE,Phoenician-Cypriot,Reshef Mikal,Phoenician/Cypriot,"Plague god, protector, solar attributes; identified with Apollo",Kition and Idalion inscriptions; bilingual dedications,Cyprus,"Apollo Amyklos, Apollo Hylates, local Cypriot gods"
