Spanish Inquisition and Religious Persecution in Church History,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Event,Location,Key Figures,Documents/Works,Additional Context,,,,,,,,,,,,,,,,,,,,
380 CE,Edict of Thessalonica,Roman Empire,Emperor Theodosius I,Cunctos populos,"Established Nicene Christianity as the state religion of the Roman Empire, beginning the era of state enforcement of religious orthodoxy.",,,,,,,,,,,,,,,,,,,,
385 CE,Execution of Priscillian,"Trier, Roman Empire","Priscillian of Avila, Emperor Magnus Maximus",None,"First recorded execution of a heretic by Christian authorities. Priscillian was condemned for heresy and sorcery. Many church leaders, including Martin of Tours, objected to the execution.",,,,,,,,,,,,,,,,,,,,
391-392 CE,Theodosian Decrees,Roman Empire,Emperor Theodosius I,Various imperial edicts,Banned pagan practices and ordered the closure or destruction of pagan temples throughout the Roman Empire.,,,,,,,,,,,,,,,,,,,,
415 CE,Murder of Hypatia,"Alexandria, Egypt","Hypatia, Patriarch Cyril of Alexandria",None,"Mob murder of female Neoplatonist philosopher Hypatia by Christian parabalani, possibly instigated by Alexandria's patriarch. Symbolized growing religious intolerance.",,,,,,,,,,,,,,,,,,,,
529 CE,Closing of the Academy of Athens,"Athens, Byzantine Empire",Emperor Justinian I,Codex Justinianus,"Justinian's closure of the last major pagan philosophical school, part of his campaign to enforce Christian orthodoxy.",,,,,,,,,,,,,,,,,,,,
553 CE,Second Council of Constantinople,"Constantinople, Byzantine Empire","Emperor Justinian I, Pope Vigilius",Council decrees,"Condemned the ""Three Chapters"" and various heresies, strengthening imperial control over religious doctrine.",,,,,,,,,,,,,,,,,,,,
722-723 CE,Prosecution of Adalbert and Clement,Francia,"Saint Boniface, Pope Gregory II",Synodal letters,Early example of organized suppression of heretical preachers in Western Europe.,,,,,,,,,,,,,,,,,,,,
1022 CE,Orléans heresy trials,"Orléans, France",King Robert II of France,Chronicles of Adémar de Chabannes,First burning of heretics in medieval Western Europe. Canons of the cathedral school and others were accused of Manichaeism and executed.,,,,,,,,,,,,,,,,,,,,
1088 CE,Founding of University of Bologna,"Bologna, Italy",Irnerius,None,"First university in Europe, became center for the study of canon and Roman law that would later be used in inquisitorial procedures.",,,,,,,,,,,,,,,,,,,,
1140 CE,Compilation of Gratian's Decretum,"Bologna, Italy",Gratian,Decretum Gratiani,"First systematic collection of canon law, provided legal framework for later inquisitorial procedures.",,,,,,,,,,,,,,,,,,,,
1143 CE,First mention of Cathars,"Cologne, Germany",Evervin of Steinfeld,Letter to Bernard of Clairvaux,First clear description of dualist heretics in Western Europe who would become primary targets of the later Inquisition.,,,,,,,,,,,,,,,,,,,,
1184 CE,Decretal Ad abolendam,"Verona, Papal States","Pope Lucius III, Emperor Frederick I",Ad abolendam,"Decretal that established procedures for identifying and combating heresy, sometimes considered the founding document of the medieval Inquisition.",,,,,,,,,,,,,,,,,,,,
1198 CE,Election of Pope Innocent III,"Rome, Papal States",Pope Innocent III,Various papal bulls,Beginning of pontificate that would expand papal power and intensify the fight against heresy.,,,,,,,,,,,,,,,,,,,,
1208 CE,Murder of Peter of Castelnau,"Saint-Gilles, France","Peter of Castelnau, Count Raymond VI of Toulouse",Papal letters,Murder of papal legate that triggered the Albigensian Crusade against Cathar heretics in southern France.,,,,,,,,,,,,,,,,,,,,
1209-1229 CE,Albigensian Crusade,Southern France,"Simon de Montfort, Pope Innocent III",Various chronicles,Military campaign against Cathar heretics that resulted in thousands of deaths and established precedent for violent suppression of heresy.,,,,,,,,,,,,,,,,,,,,
1215 CE,Fourth Lateran Council,"Rome, Papal States",Pope Innocent III,Council canons,"Established requirement for annual confession, defined procedure for prosecuting heretics, mandated Jews and Muslims to wear distinctive clothing.",,,,,,,,,,,,,,,,,,,,
1231 CE,Constitution Excommunicamus,"Rome, Papal States",Pope Gregory IX,Excommunicamus,"Formally established the Papal Inquisition, appointing the first ""inquisitors of heretical depravity.""",,,,,,,,,,,,,,,,,,,,
1233 CE,Appointment of first Dominican inquisitors,France,"Pope Gregory IX, Dominican Order",Papal bulls,"Dominicans appointed as the first official papal inquisitors in Toulouse, beginning specialized inquisitorial work.",,,,,,,,,,,,,,,,,,,,
1252 CE,Bull Ad extirpanda,Papal States,Pope Innocent IV,Ad extirpanda,"Authorized the use of torture in inquisitorial proceedings, though with limitations. Marked a significant procedural development in the Inquisition.",,,,,,,,,,,,,,,,,,,,
1307 CE,Arrest of the Knights Templar,France,"King Philip IV, Pope Clement V",Royal and papal orders,"Mass arrest of Knights Templar on charges of heresy, apostasy, and various blasphemies. Many were tortured into confession.",,,,,,,,,,,,,,,,,,,,
1310 CE,Execution of Marguerite Porete,"Paris, France","Marguerite Porete, Philip of Marigny",The Mirror of Simple Souls,Burning of mystical writer for heresy after refusing to recant her work or recognize the authority of the Inquisition.,,,,,,,,,,,,,,,,,,,,
1314 CE,Execution of Jacques de Molay,"Paris, France","Jacques de Molay, King Philip IV",None,"Burning of the last Grand Master of the Knights Templar, ending the Templar trials which exemplified the use of inquisitorial methods for political purposes.",,,,,,,,,,,,,,,,,,,,
1318 CE,Pope John XXII's witchcraft directive,"Avignon, France",Pope John XXII,Super illius specula,"Equated sorcery with heresy, expanding inquisitorial jurisdiction to include witchcraft cases.",,,,,,,,,,,,,,,,,,,,
1321 CE,Execution of Last Cathars,"Carcassonne, France",Guilhem Bélibaste,Inquisition records,"Execution of the last known Cathar perfectus, effectively ending the Cathar movement after a century of persecution.",,,,,,,,,,,,,,,,,,,,
1376-1391 CE,Anti-Jewish pogroms in Spain,Spain,Ferrand Martinez,None,Series of attacks against Jewish communities that created pressure for conversion and set the stage for the later Spanish Inquisition.,,,,,,,,,,,,,,,,,,,,
1391 CE,Widespread massacres of Jews,Spain,Various mob leaders,None,"Violent anti-Jewish riots across Spain resulting in thousands of deaths and forced conversions, creating the converso population later targeted by the Spanish Inquisition.",,,,,,,,,,,,,,,,,,,,
1414-1418 CE,Council of Constance,"Constance, Holy Roman Empire","Emperor Sigismund, Pope Martin V",Council decrees,Ended the Western Schism and condemned Jan Hus and John Wycliffe as heretics. Hus was burned at the stake despite having an imperial safe conduct.,,,,,,,,,,,,,,,,,,,,
1415 CE,Execution of Jan Hus,"Constance, Holy Roman Empire","Jan Hus, Emperor Sigismund",De Ecclesia,"Burning of Bohemian reformer for heresy, triggering the Hussite Wars. Became an important symbol for later Protestant movements.",,,,,,,,,,,,,,,,,,,,
1420-1431 CE,Hussite Wars,Bohemia (modern Czech Republic),"Jan Žižka, Emperor Sigismund",Various manifestos including the Four Articles of Prague,"Series of crusades against Hussite heretics in Bohemia, representing a large-scale military response to heresy.",,,,,,,,,,,,,,,,,,,,
1431 CE,Execution of Joan of Arc,"Rouen, France","Joan of Arc, Bishop Pierre Cauchon",Trial records,Execution of the French military leader on charges of heresy and cross-dressing following an inquisitorial trial with political motivations.,,,,,,,,,,,,,,,,,,,,
1453 CE,Fall of Constantinople,Constantinople (Istanbul),Ottoman Sultan Mehmed II,None,"Ottoman conquest that ended the Byzantine Empire and increased Western European fears of Muslim expansion, contributing to religious anxieties.",,,,,,,,,,,,,,,,,,,,
1455 CE,Printing of Gutenberg Bible,"Mainz, Holy Roman Empire",Johannes Gutenberg,Gutenberg Bible,"First major book printed with movable type in Europe, initiating a revolution in communication that would challenge church control of information.",,,,,,,,,,,,,,,,,,,,
1468 CE,First auto-da-fé in Toledo,"Toledo, Spain",Pedro González de Mendoza,None,Public ritual of the Spanish Inquisition in which penitents and heretics were brought forward for public penance or execution.,,,,,,,,,,,,,,,,,,,,
1470s CE,Anti-converso riots,Spain,Various mob leaders,None,"Violence against conversos (Jewish converts to Christianity) that increased pressure for establishing a formal inquisition to identify ""false converts.""",,,,,,,,,,,,,,,,,,,,
1478 CE,Establishment of Spanish Inquisition,Spain,"Ferdinand II of Aragon, Isabella I of Castile, Pope Sixtus IV",Exigit Sinceras Devotionis Affectus,"Papal bull authorizing the Spanish monarchs to appoint inquisitors within their domains, marking the beginning of the Spanish Inquisition.",,,,,,,,,,,,,,,,,,,,
